ml;pH;sec;°C
0.000;7.985;0.0;23.7
0.000;7.985;0.4;23.7
0.000;7.985;0.8;23.7
0.007;7.986;1.9;23.7
0.015;7.985;3.0;23.7
0.022;7.980;4.2;23.7
0.030;7.972;5.3;23.7
0.037;7.961;6.5;23.7
0.045;7.948;7.6;23.7
0.053;7.933;8.7;23.7
0.060;7.916;9.9;23.7
0.068;7.898;11.0;23.7
0.075;7.878;12.2;23.7
0.083;7.858;13.3;23.7
0.091;7.834;14.4;23.7
0.098;7.811;15.6;23.7
0.106;7.779;16.7;23.7
0.113;7.755;17.9;23.7
0.121;7.730;19.0;23.7
0.129;7.703;20.2;23.7
0.136;7.674;21.3;23.7
0.144;7.643;22.4;23.7
0.152;7.612;23.6;23.7
0.159;7.579;24.7;23.7
0.167;7.544;25.9;23.7
0.174;7.510;27.0;23.7
0.182;7.476;28.1;23.7
0.190;7.443;29.3;23.7
0.197;7.405;30.4;23.7
0.205;7.374;31.6;23.7
0.212;7.345;32.7;23.7
0.220;7.318;33.8;23.7
0.228;7.290;35.0;23.7
0.235;7.260;36.1;23.7
0.243;7.236;37.3;23.7
0.250;7.205;38.4;23.7
0.258;7.182;39.5;23.7
0.266;7.161;40.7;23.7
0.273;7.141;41.8;23.7
0.281;7.121;43.0;23.7
0.289;7.103;44.1;23.7
0.296;7.084;45.3;23.7
0.304;7.065;46.4;23.7
0.311;7.048;47.5;23.7
0.319;7.031;48.7;23.7
0.327;7.014;49.8;23.7
0.334;6.987;51.0;23.7
0.342;6.970;52.1;23.7
0.349;6.954;53.2;23.7
0.357;6.938;54.4;23.7
0.365;6.921;55.5;23.7
0.372;6.906;56.7;23.7
0.380;6.890;57.8;23.7
0.387;6.875;58.9;23.7
0.395;6.860;60.1;23.7
0.403;6.844;61.2;23.7
0.410;6.829;62.4;23.7
0.418;6.812;63.5;23.7
0.426;6.797;64.6;23.7
0.433;6.781;65.8;23.7
0.441;6.766;66.9;23.7
0.448;6.752;68.1;23.7
0.456;6.735;69.2;23.7
0.464;6.719;70.4;23.7
0.471;6.705;71.5;23.7
0.479;6.691;72.6;23.7
0.486;6.677;73.8;23.7
0.494;6.663;74.9;23.7
0.502;6.649;76.1;23.7
0.509;6.595;77.2;23.7
0.517;6.582;78.3;23.7
0.524;6.568;79.5;23.7
0.532;6.552;80.6;23.7
0.540;6.537;81.8;23.7
0.547;6.523;82.9;23.7
0.555;6.493;84.0;23.7
0.563;6.460;85.2;23.7
0.570;6.449;86.3;23.7
0.578;6.414;87.5;23.7
0.585;6.388;88.6;23.7
0.593;6.372;89.7;23.7
0.601;6.359;90.9;23.7
0.608;6.350;92.0;23.7
0.616;6.339;93.2;23.7
0.623;6.328;94.3;23.7
0.631;6.317;95.4;23.7
0.639;6.303;96.6;23.7
0.646;6.292;97.7;23.7
0.654;6.280;98.9;23.7
0.661;6.267;100.0;23.7
0.669;6.255;101.1;23.7
0.677;6.237;102.3;23.7
0.684;6.224;103.4;23.7
0.692;6.210;104.6;23.7
0.700;6.197;105.7;23.7
0.707;6.183;106.9;23.7
0.715;6.170;108.0;23.7
0.722;6.154;109.1;23.7
0.730;6.139;110.3;23.7
0.738;6.125;111.4;23.7
0.745;6.105;112.6;23.7
0.753;6.087;113.7;23.7
0.760;6.069;114.8;23.7
0.768;6.044;116.0;23.7
0.776;6.030;117.1;23.7
0.783;6.016;118.3;23.7
0.791;5.996;119.4;23.7
0.798;5.981;120.5;23.7
0.806;5.963;121.7;23.7
0.814;5.948;122.8;23.7
0.821;5.932;124.0;23.7
0.829;5.914;125.1;23.7
0.837;5.897;126.2;23.7
0.844;5.879;127.4;23.7
0.852;5.862;128.5;23.7
0.859;5.845;129.7;23.7
0.867;5.822;130.8;23.7
0.875;5.802;131.9;23.7
0.882;5.776;133.1;23.7
0.890;5.743;134.2;23.7
0.897;5.727;135.4;23.7
0.905;5.709;136.5;23.7
0.913;5.691;137.6;23.7
0.920;5.664;138.8;23.7
0.928;5.640;139.9;23.7
0.935;5.612;141.1;23.7
0.943;5.592;142.2;23.7
0.951;5.567;143.4;23.7
0.958;5.546;144.5;23.7
0.966;5.523;145.6;23.7
0.973;5.499;146.8;23.7
0.981;5.464;147.9;23.7
0.989;5.437;149.1;23.7
0.996;5.409;150.2;23.7
1.004;5.381;151.3;23.7
1.012;5.351;152.5;23.7
1.019;5.313;153.6;23.7
1.027;5.280;154.8;23.7
1.034;5.243;155.9;23.7
1.042;5.203;157.0;23.7
1.050;5.164;158.2;23.7
1.057;5.117;159.3;23.7
1.065;5.066;160.5;23.7
1.072;5.020;161.6;23.7
1.080;4.954;162.7;23.7
1.082;4.930;163.1;23.7
1.092;4.648;184.8;23.9
1.102;4.568;196.4;23.9
1.112;4.477;208.0;23.9
1.122;4.389;219.6;23.9
1.132;4.299;231.2;23.9
1.142;4.220;242.7;24.0
1.152;4.143;254.3;24.0
1.162;4.077;265.9;24.0
1.172;4.015;277.5;24.0
1.182;3.962;289.1;24.0
1.192;3.910;300.7;24.0
1.202;3.867;312.3;24.0
1.212;3.823;323.9;24.0
1.222;3.787;335.5;24.0
1.232;3.753;347.1;24.0
1.242;3.722;358.7;24.0
1.252;3.692;370.3;24.0
1.262;3.665;381.9;24.0
1.272;3.639;393.4;24.0
1.282;3.615;405.0;24.1
1.292;3.591;416.6;24.0
1.302;3.568;428.2;24.0
1.312;3.545;439.8;24.1
1.322;3.524;451.4;24.1
1.332;3.502;463.0;24.0
1.342;3.483;474.6;24.1
1.342;3.483;484.7;24.1
