ml;pH;sec;°C
0.000;8.015;0.0;23.1
0.000;8.015;0.4;23.1
0.000;8.015;0.8;23.1
0.007;8.016;1.9;23.1
0.015;8.015;3.0;23.1
0.022;8.012;4.2;23.1
0.030;8.006;5.3;23.1
0.038;7.997;6.5;23.1
0.045;7.986;7.6;23.1
0.053;7.972;8.7;23.1
0.060;7.958;9.9;23.1
0.068;7.942;11.0;23.1
0.076;7.925;12.2;23.1
0.083;7.907;13.3;23.1
0.091;7.887;14.5;23.1
0.098;7.866;15.6;23.1
0.106;7.844;16.7;23.1
0.114;7.821;17.9;23.1
0.121;7.797;19.0;23.1
0.129;7.773;20.2;23.1
0.136;7.745;21.3;23.1
0.144;7.716;22.4;23.1
0.152;7.687;23.6;23.1
0.159;7.657;24.7;23.1
0.167;7.626;25.9;23.1
0.175;7.594;27.0;23.1
0.182;7.561;28.1;23.1
0.190;7.528;29.3;23.1
0.197;7.496;30.4;23.1
0.205;7.463;31.6;23.1
0.213;7.431;32.7;23.1
0.220;7.400;33.8;23.1
0.228;7.372;35.0;23.1
0.235;7.345;36.1;23.1
0.243;7.319;37.3;23.1
0.251;7.294;38.4;23.1
0.258;7.270;39.5;23.1
0.266;7.248;40.7;23.1
0.273;7.226;41.8;23.1
0.281;7.205;43.0;23.1
0.289;7.184;44.1;23.1
0.296;7.163;45.3;23.1
0.304;7.144;46.4;23.1
0.312;7.124;47.5;23.1
0.319;7.105;48.7;23.1
0.327;7.086;49.8;23.1
0.334;7.068;51.0;23.1
0.342;7.050;52.1;23.1
0.350;7.032;53.2;23.1
0.357;7.014;54.4;23.1
0.365;6.997;55.5;23.1
0.372;6.980;56.7;23.1
0.380;6.962;57.8;23.1
0.388;6.946;58.9;23.1
0.395;6.929;60.1;23.1
0.403;6.913;61.2;23.1
0.410;6.897;62.4;23.1
0.418;6.881;63.5;23.1
0.426;6.865;64.6;23.1
0.433;6.848;65.8;23.1
0.441;6.833;66.9;23.1
0.449;6.817;68.1;23.1
0.456;6.800;69.2;23.1
0.464;6.785;70.3;23.1
0.471;6.769;71.5;23.1
0.479;6.753;72.6;23.1
0.487;6.738;73.8;23.1
0.494;6.723;74.9;23.1
0.502;6.708;76.1;23.1
0.509;6.693;77.2;23.1
0.517;6.678;78.3;23.1
0.525;6.663;79.5;23.1
0.532;6.648;80.6;23.1
0.540;6.632;81.8;23.1
0.547;6.617;82.9;23.1
0.555;6.602;84.0;23.1
0.563;6.587;85.2;23.1
0.570;6.572;86.3;23.1
0.578;6.557;87.5;23.1
0.586;6.541;88.6;23.1
0.593;6.524;89.7;23.1
0.601;6.507;90.9;23.1
0.608;6.492;92.0;23.1
0.616;6.477;93.2;23.1
0.624;6.461;94.3;23.1
0.631;6.443;95.4;23.1
0.639;6.425;96.6;23.1
0.646;6.409;97.7;23.1
0.654;6.394;98.9;23.1
0.662;6.379;100.0;23.1
0.669;6.363;101.1;23.1
0.677;6.343;102.3;23.1
0.684;6.322;103.4;23.1
0.692;6.306;104.6;23.1
0.700;6.291;105.7;23.1
0.707;6.270;106.9;23.1
0.715;6.251;108.0;23.1
0.723;6.235;109.1;23.1
0.730;6.219;110.3;23.1
0.738;6.203;111.4;23.1
0.745;6.187;112.6;23.1
0.753;6.171;113.7;23.1
0.761;6.153;114.8;23.1
0.768;6.127;116.0;23.1
0.776;6.100;117.1;23.1
0.783;6.083;118.3;23.1
0.791;6.062;119.4;23.1
0.799;6.046;120.5;23.1
0.806;6.029;121.7;23.1
0.814;6.010;122.8;23.1
0.822;5.992;124.0;23.1
0.829;5.975;125.1;23.1
0.837;5.958;126.3;23.1
0.844;5.940;127.4;23.1
0.852;5.920;128.5;23.1
0.860;5.892;129.7;23.1
0.867;5.875;130.8;23.1
0.875;5.857;132.0;23.1
0.882;5.839;133.1;23.1
0.890;5.822;134.2;23.1
0.898;5.797;135.4;23.1
0.905;5.778;136.5;23.1
0.913;5.759;137.7;23.1
0.920;5.732;138.8;23.1
0.928;5.710;139.9;23.1
0.936;5.689;141.1;23.1
0.943;5.658;142.2;23.1
0.951;5.634;143.4;23.1
0.959;5.609;144.5;23.1
0.966;5.583;145.6;23.1
0.974;5.560;146.8;23.1
0.981;5.535;147.9;23.1
0.989;5.510;149.1;23.1
0.997;5.480;150.2;23.1
1.004;5.452;151.3;23.1
1.012;5.419;152.5;23.1
1.019;5.390;153.6;23.1
1.027;5.354;154.8;23.1
1.035;5.322;155.9;23.1
1.042;5.285;157.1;23.1
1.050;5.247;158.2;23.1
1.057;5.210;159.3;23.1
1.065;5.171;160.5;23.1
1.073;5.124;161.6;23.1
1.080;5.085;162.8;23.1
1.088;5.031;163.9;23.1
1.096;4.983;165.0;23.1
1.103;4.932;166.2;23.1
1.113;4.618;187.9;23.2
1.123;4.533;199.5;23.2
1.133;4.432;211.1;23.2
1.143;4.351;222.6;23.2
1.153;4.257;234.2;23.2
1.163;4.187;245.8;23.2
1.173;4.110;257.4;23.3
1.183;4.054;269.0;23.3
1.193;3.991;280.6;23.3
1.203;3.944;292.2;23.3
1.213;3.893;303.8;23.3
1.223;3.855;315.4;23.3
1.233;3.813;327.0;23.3
1.243;3.781;338.6;23.3
