ml;pH;sec;°C
0.000;8.017;0.0;23.6
0.000;8.017;0.4;23.6
0.000;8.018;0.8;23.6
0.007;8.017;1.9;23.6
0.015;8.017;3.0;23.6
0.022;8.014;4.2;23.6
0.030;8.008;5.3;23.6
0.037;7.998;6.5;23.6
0.045;7.986;7.6;23.6
0.053;7.973;8.7;23.6
0.060;7.958;9.9;23.6
0.068;7.941;11.0;23.6
0.075;7.924;12.2;23.6
0.083;7.905;13.3;23.6
0.091;7.886;14.4;23.6
0.098;7.866;15.6;23.6
0.106;7.844;16.7;23.6
0.113;7.821;17.9;23.6
0.121;7.798;19.0;23.6
0.129;7.773;20.2;23.6
0.136;7.747;21.3;23.6
0.144;7.719;22.4;23.6
0.152;7.689;23.6;23.6
0.159;7.659;24.7;23.6
0.167;7.627;25.9;23.6
0.174;7.595;27.0;23.6
0.182;7.561;28.1;23.6
0.190;7.528;29.3;23.6
0.197;7.494;30.4;23.6
0.205;7.462;31.6;23.6
0.212;7.429;32.7;23.6
0.220;7.397;33.8;23.6
0.228;7.366;35.0;23.6
0.235;7.336;36.1;23.6
0.243;7.309;37.3;23.6
0.250;7.282;38.4;23.6
0.258;7.257;39.5;23.6
0.266;7.233;40.7;23.6
0.273;7.210;41.8;23.6
0.281;7.188;43.0;23.6
0.289;7.167;44.1;23.6
0.296;7.147;45.2;23.6
0.304;7.126;46.4;23.6
0.311;7.105;47.5;23.6
0.319;7.086;48.7;23.6
0.327;7.066;49.8;23.6
0.334;7.048;50.9;23.6
0.342;7.030;52.1;23.6
0.349;7.013;53.2;23.6
0.357;6.995;54.4;23.6
0.365;6.978;55.5;23.6
0.372;6.962;56.6;23.6
0.380;6.945;57.8;23.6
0.387;6.929;58.9;23.6
0.395;6.912;60.1;23.6
0.403;6.896;61.2;23.6
0.410;6.880;62.4;23.6
0.418;6.863;63.5;23.6
0.425;6.847;64.6;23.6
0.433;6.831;65.8;23.6
0.441;6.815;66.9;23.6
0.448;6.800;68.1;23.6
0.456;6.785;69.2;23.6
0.464;6.770;70.3;23.6
0.471;6.754;71.5;23.6
0.479;6.739;72.6;23.6
0.486;6.724;73.8;23.6
0.494;6.709;74.9;23.6
0.502;6.694;76.0;23.6
0.509;6.678;77.2;23.6
0.517;6.663;78.3;23.6
0.524;6.648;79.5;23.6
0.532;6.633;80.6;23.6
0.540;6.619;81.7;23.6
0.547;6.604;82.9;23.6
0.555;6.586;84.0;23.6
0.562;6.571;85.2;23.6
0.570;6.556;86.3;23.6
0.578;6.540;87.4;23.6
0.585;6.525;88.6;23.6
0.593;6.509;89.7;23.6
0.601;6.492;90.9;23.6
0.608;6.477;92.0;23.6
0.616;6.461;93.2;23.6
0.623;6.446;94.3;23.6
0.631;6.430;95.4;23.6
0.639;6.414;96.6;23.6
0.646;6.398;97.7;23.6
0.654;6.383;98.9;23.6
0.661;6.367;100.0;23.6
0.669;6.351;101.1;23.6
0.677;6.335;102.3;23.6
0.684;6.320;103.4;23.6
0.692;6.304;104.6;23.6
0.699;6.286;105.7;23.6
0.707;6.270;106.8;23.6
0.715;6.253;108.0;23.6
0.722;6.237;109.1;23.6
0.730;6.220;110.3;23.6
0.738;6.203;111.4;23.6
0.745;6.186;112.5;23.6
0.753;6.168;113.7;23.6
0.760;6.151;114.8;23.6
0.768;6.133;116.0;23.6
0.776;6.114;117.1;23.6
0.783;6.096;118.2;23.6
0.791;6.077;119.4;23.6
0.798;6.058;120.5;23.6
0.806;6.039;121.7;23.6
0.814;6.020;122.8;23.6
0.821;5.999;123.9;23.6
0.829;5.979;125.1;23.6
0.836;5.960;126.2;23.6
0.844;5.940;127.4;23.6
0.852;5.920;128.5;23.6
0.859;5.899;129.7;23.6
0.867;5.879;130.8;23.6
0.874;5.858;131.9;23.6
0.882;5.836;133.1;23.6
0.890;5.812;134.2;23.6
0.897;5.792;135.4;23.6
0.905;5.769;136.5;23.6
0.913;5.746;137.6;23.6
0.920;5.721;138.8;23.6
0.928;5.697;139.9;23.6
0.935;5.673;141.1;23.6
0.943;5.649;142.2;23.6
0.951;5.623;143.3;23.6
0.958;5.596;144.5;23.6
0.966;5.566;145.6;23.6
0.973;5.538;146.8;23.6
0.981;5.511;147.9;23.6
0.989;5.481;149.0;23.6
0.996;5.448;150.2;23.6
1.004;5.415;151.3;23.6
1.011;5.381;152.5;23.6
1.019;5.344;153.6;23.6
1.027;5.305;154.7;23.6
1.034;5.265;155.9;23.6
1.042;5.218;157.0;23.6
1.050;5.176;158.2;23.6
1.057;5.127;159.3;23.6
1.065;5.080;160.4;23.6
1.072;5.032;161.6;23.6
1.080;4.980;162.7;23.6
1.085;4.931;163.5;23.6
1.095;4.593;185.2;23.8
1.105;4.514;196.7;23.8
1.115;4.416;208.3;23.7
1.125;4.336;219.9;23.7
1.135;4.242;231.5;23.8
1.145;4.172;243.1;23.8
1.155;4.094;254.7;23.8
1.165;4.038;266.3;23.8
1.175;3.974;277.9;23.8
1.185;3.928;289.5;23.8
1.195;3.877;301.1;23.8
1.205;3.839;312.7;23.8
1.215;3.795;324.3;23.8
1.225;3.763;335.8;23.8
1.235;3.728;347.4;23.8
1.245;3.701;359.0;23.8
1.255;3.670;370.6;23.8
1.265;3.647;382.2;23.8
1.275;3.620;393.8;23.8
1.285;3.599;405.4;23.9
1.295;3.573;417.0;23.9
1.305;3.553;428.6;23.9
1.315;3.529;440.2;23.9
1.325;3.510;451.8;23.9
1.335;3.487;463.4;23.9
1.335;3.487;473.4;23.9
