ml;pH;sec;°C
0.000;7.977;0.0;23.6
0.000;7.977;0.4;23.6
0.000;7.977;0.8;23.6
0.007;7.977;1.9;23.6
0.014;7.977;3.0;23.6
0.022;7.974;4.2;23.6
0.030;7.967;5.3;23.6
0.037;7.957;6.5;23.6
0.045;7.945;7.6;23.6
0.052;7.931;8.7;23.6
0.060;7.915;9.9;23.6
0.068;7.898;11.0;23.6
0.075;7.880;12.2;23.6
0.083;7.860;13.3;23.6
0.090;7.839;14.4;23.6
0.098;7.817;15.6;23.6
0.106;7.795;16.7;23.6
0.113;7.770;17.9;23.6
0.121;7.744;19.0;23.6
0.128;7.716;20.1;23.6
0.136;7.688;21.3;23.6
0.144;7.659;22.4;23.6
0.151;7.629;23.6;23.6
0.159;7.597;24.7;23.6
0.167;7.564;25.9;23.6
0.174;7.532;27.0;23.6
0.182;7.498;28.1;23.6
0.189;7.466;29.3;23.6
0.197;7.432;30.4;23.6
0.205;7.401;31.6;23.6
0.212;7.372;32.7;23.6
0.220;7.344;33.8;23.6
0.227;7.316;35.0;23.6
0.235;7.290;36.1;23.6
0.243;7.265;37.3;23.6
0.250;7.240;38.4;23.6
0.258;7.217;39.5;23.6
0.265;7.194;40.7;23.6
0.273;7.173;41.8;23.6
0.281;7.151;43.0;23.6
0.288;7.131;44.1;23.6
0.296;7.112;45.2;23.6
0.304;7.092;46.4;23.6
0.311;7.073;47.5;23.6
0.319;7.055;48.7;23.6
0.326;7.037;49.8;23.6
0.334;7.020;50.9;23.6
0.342;7.002;52.1;23.6
0.349;6.985;53.2;23.6
0.357;6.968;54.4;23.6
0.364;6.951;55.5;23.6
0.372;6.935;56.6;23.6
0.380;6.919;57.8;23.6
0.387;6.903;58.9;23.6
0.395;6.886;60.1;23.6
0.402;6.871;61.2;23.6
0.410;6.855;62.3;23.6
0.418;6.839;63.5;23.6
0.425;6.823;64.6;23.6
0.433;6.808;65.8;23.6
0.440;6.793;66.9;23.6
0.448;6.778;68.1;23.6
0.456;6.762;69.2;23.6
0.463;6.747;70.3;23.6
0.471;6.732;71.5;23.6
0.479;6.717;72.6;23.6
0.486;6.702;73.8;23.6
0.494;6.687;74.9;23.6
0.501;6.673;76.0;23.6
0.509;6.658;77.2;23.6
0.517;6.643;78.3;23.6
0.524;6.628;79.5;23.6
0.532;6.613;80.6;23.6
0.539;6.598;81.7;23.6
0.547;6.583;82.9;23.6
0.555;6.568;84.0;23.6
0.562;6.553;85.2;23.6
0.570;6.538;86.3;23.6
0.577;6.523;87.4;23.6
0.585;6.508;88.6;23.6
0.593;6.493;89.7;23.6
0.600;6.477;90.9;23.6
0.608;6.462;92.0;23.6
0.616;6.447;93.1;23.6
0.623;6.432;94.3;23.6
0.631;6.416;95.4;23.6
0.638;6.401;96.6;23.6
0.646;6.385;97.7;23.6
0.654;6.369;98.8;23.6
0.661;6.353;100.0;23.6
0.669;6.338;101.1;23.6
0.676;6.322;102.3;23.6
0.684;6.306;103.4;23.6
0.692;6.289;104.6;23.6
0.699;6.274;105.7;23.6
0.707;6.258;106.8;23.6
0.714;6.242;108.0;23.6
0.722;6.225;109.1;23.6
0.730;6.208;110.3;23.6
0.737;6.192;111.4;23.6
0.745;6.175;112.5;23.6
0.752;6.158;113.7;23.6
0.760;6.140;114.8;23.6
0.768;6.122;116.0;23.6
0.775;6.104;117.1;23.6
0.783;6.085;118.2;23.6
0.791;6.068;119.4;23.6
0.798;6.049;120.5;23.6
0.806;6.031;121.7;23.6
0.813;6.013;122.8;23.6
0.821;5.995;123.9;23.6
0.829;5.976;125.1;23.6
0.836;5.956;126.2;23.6
0.844;5.937;127.4;23.6
0.851;5.918;128.5;23.6
0.859;5.898;129.6;23.6
0.867;5.878;130.8;23.6
0.874;5.857;131.9;23.6
0.882;5.837;133.1;23.6
0.889;5.815;134.2;23.6
0.897;5.794;135.3;23.6
0.905;5.773;136.5;23.6
0.912;5.750;137.6;23.6
0.920;5.729;138.8;23.6
0.928;5.706;139.9;23.6
0.935;5.682;141.0;23.6
0.943;5.659;142.2;23.6
0.950;5.634;143.3;23.6
0.958;5.609;144.5;23.6
0.966;5.583;145.6;23.6
0.973;5.556;146.8;23.6
0.981;5.528;147.9;23.6
0.988;5.500;149.0;23.6
0.996;5.470;150.2;23.6
1.004;5.439;151.3;23.6
1.011;5.406;152.5;23.6
1.019;5.371;153.6;23.6
1.026;5.335;154.7;23.6
1.034;5.298;155.9;23.6
1.042;5.259;157.0;23.6
1.049;5.220;158.2;23.6
1.057;5.176;159.3;23.6
1.064;5.129;160.4;23.6
1.072;5.081;161.6;23.6
1.080;5.027;162.7;23.6
1.087;4.972;163.9;23.6
1.092;4.933;164.6;23.6
1.102;4.587;186.3;23.8
1.112;4.494;197.9;23.8
1.122;4.407;209.5;23.8
1.132;4.316;221.1;23.8
1.142;4.236;232.7;23.8
1.152;4.157;244.2;23.8
1.162;4.089;255.8;23.8
1.172;4.025;267.4;23.8
1.182;3.972;279.0;23.9
1.192;3.919;290.6;23.9
1.202;3.874;302.2;23.8
1.212;3.831;313.8;23.8
1.222;3.794;325.4;23.9
1.232;3.758;337.0;23.9
1.242;3.727;348.6;23.9
1.252;3.697;360.2;23.9
1.262;3.670;371.8;23.9
1.272;3.643;383.4;23.9
1.282;3.619;394.9;23.9
1.292;3.595;406.5;23.9
1.302;3.572;418.1;23.9
1.312;3.549;429.7;23.9
1.322;3.527;441.3;23.9
1.332;3.506;452.9;23.9
1.342;3.486;464.5;24.0
1.342;3.486;474.6;24.0
