ml;pH;sec;°C
0.000;7.983;0.0;23.6
0.000;7.983;0.4;23.6
0.000;7.983;0.8;23.6
0.007;7.983;1.9;23.6
0.014;7.983;3.0;23.6
0.022;7.979;4.2;23.6
0.030;7.971;5.3;23.6
0.037;7.961;6.5;23.6
0.045;7.948;7.6;23.6
0.052;7.934;8.7;23.6
0.060;7.918;9.9;23.6
0.068;7.900;11.0;23.6
0.075;7.881;12.2;23.6
0.083;7.860;13.3;23.6
0.091;7.839;14.4;23.6
0.098;7.815;15.6;23.6
0.106;7.791;16.7;23.6
0.113;7.766;17.9;23.6
0.121;7.739;19.0;23.6
0.129;7.710;20.1;23.6
0.136;7.680;21.3;23.6
0.144;7.649;22.4;23.6
0.151;7.617;23.6;23.6
0.159;7.585;24.7;23.6
0.167;7.551;25.9;23.6
0.174;7.517;27.0;23.6
0.182;7.484;28.1;23.6
0.189;7.451;29.3;23.6
0.197;7.419;30.4;23.6
0.205;7.389;31.6;23.6
0.212;7.359;32.7;23.6
0.220;7.331;33.8;23.6
0.227;7.305;35.0;23.6
0.235;7.280;36.1;23.6
0.243;7.256;37.3;23.6
0.250;7.233;38.4;23.6
0.258;7.211;39.5;23.6
0.266;7.190;40.7;23.6
0.273;7.169;41.8;23.6
0.281;7.149;43.0;23.6
0.288;7.130;44.1;23.6
0.296;7.111;45.2;23.6
0.304;7.092;46.4;23.6
0.311;7.074;47.5;23.6
0.319;7.056;48.7;23.6
0.326;7.039;49.8;23.6
0.334;7.021;50.9;23.6
0.342;7.004;52.1;23.6
0.349;6.988;53.2;23.6
0.357;6.971;54.4;23.6
0.364;6.955;55.5;23.6
0.372;6.939;56.6;23.6
0.380;6.923;57.8;23.6
0.387;6.907;58.9;23.6
0.395;6.892;60.1;23.6
0.403;6.876;61.2;23.6
0.410;6.861;62.4;23.6
0.418;6.846;63.5;23.6
0.425;6.831;64.6;23.6
0.433;6.816;65.8;23.6
0.441;6.801;66.9;23.6
0.448;6.786;68.1;23.6
0.456;6.771;69.2;23.6
0.463;6.757;70.3;23.6
0.471;6.742;71.5;23.6
0.479;6.727;72.6;23.6
0.486;6.713;73.8;23.6
0.494;6.698;74.9;23.6
0.501;6.684;76.0;23.6
0.509;6.669;77.2;23.6
0.517;6.654;78.3;23.6
0.524;6.640;79.5;23.6
0.532;6.625;80.6;23.6
0.539;6.611;81.7;23.6
0.547;6.596;82.9;23.6
0.555;6.581;84.0;23.6
0.562;6.566;85.2;23.6
0.570;6.552;86.3;23.6
0.578;6.537;87.4;23.6
0.585;6.522;88.6;23.6
0.593;6.507;89.7;23.6
0.600;6.490;90.9;23.6
0.608;6.475;92.0;23.6
0.616;6.460;93.1;23.6
0.623;6.445;94.3;23.6
0.631;6.429;95.4;23.6
0.638;6.414;96.6;23.6
0.646;6.398;97.7;23.6
0.654;6.383;98.9;23.6
0.661;6.368;100.0;23.6
0.669;6.352;101.1;23.6
0.676;6.336;102.3;23.6
0.684;6.321;103.4;23.6
0.692;6.305;104.6;23.6
0.699;6.289;105.7;23.6
0.707;6.274;106.8;23.6
0.715;6.257;108.0;23.6
0.722;6.241;109.1;23.6
0.730;6.225;110.3;23.6
0.737;6.209;111.4;23.6
0.745;6.188;112.5;23.6
0.753;6.170;113.7;23.6
0.760;6.154;114.8;23.6
0.768;6.137;116.0;23.6
0.775;6.120;117.1;23.6
0.783;6.102;118.2;23.6
0.791;6.085;119.4;23.6
0.798;6.067;120.5;23.6
0.806;6.049;121.7;23.6
0.813;6.031;122.8;23.6
0.821;6.012;123.9;23.6
0.829;5.994;125.1;23.6
0.836;5.975;126.2;23.6
0.844;5.956;127.4;23.6
0.851;5.936;128.5;23.6
0.859;5.917;129.6;23.6
0.867;5.897;130.8;23.6
0.874;5.877;131.9;23.6
0.882;5.856;133.1;23.6
0.890;5.836;134.2;23.6
0.897;5.815;135.3;23.6
0.905;5.794;136.5;23.6
0.912;5.772;137.6;23.6
0.920;5.750;138.8;23.6
0.928;5.728;139.9;23.6
0.935;5.705;141.1;23.6
0.943;5.681;142.2;23.6
0.950;5.656;143.3;23.6
0.958;5.630;144.5;23.6
0.966;5.603;145.6;23.6
0.973;5.577;146.8;23.6
0.981;5.549;147.9;23.6
0.988;5.520;149.0;23.6
0.996;5.485;150.2;23.6
1.004;5.454;151.3;23.6
1.011;5.421;152.5;23.6
1.019;5.388;153.6;23.6
1.027;5.353;154.7;23.6
1.034;5.315;155.9;23.6
1.042;5.277;157.0;23.6
1.049;5.236;158.2;23.6
1.057;5.194;159.3;23.6
1.065;5.148;160.4;23.6
1.072;5.099;161.6;23.6
1.080;5.047;162.7;23.6
1.087;4.992;163.9;23.6
1.095;4.930;165.0;23.6
1.105;4.572;186.7;23.8
1.115;4.473;198.3;23.8
1.125;4.391;209.8;23.8
1.135;4.293;221.4;23.8
1.145;4.218;233.0;23.8
1.155;4.137;244.6;23.8
1.165;4.078;256.2;23.9
1.175;4.010;267.8;23.9
1.185;3.961;279.4;23.8
1.195;3.906;291.0;23.9
1.205;3.866;302.6;23.9
1.215;3.820;314.2;23.9
1.225;3.787;325.8;23.9
1.235;3.749;337.4;23.9
1.245;3.722;349.0;23.9
1.255;3.689;360.6;23.9
1.265;3.665;372.1;23.9
1.275;3.637;383.7;23.9
1.285;3.615;395.3;23.9
1.295;3.589;406.9;24.0
1.305;3.568;418.5;23.9
1.315;3.543;430.1;24.0
1.325;3.524;441.7;24.0
1.335;3.500;453.3;24.0
1.345;3.482;464.9;24.0
1.345;3.482;475.0;24.0
