ml;pH;sec;°C
0.000;7.978;0.0;23.4
0.000;7.978;0.4;23.4
0.000;7.978;0.8;23.4
0.007;7.978;1.9;23.4
0.015;7.977;3.0;23.4
0.022;7.974;4.2;23.4
0.030;7.966;5.3;23.4
0.037;7.956;6.5;23.4
0.045;7.942;7.6;23.4
0.053;7.926;8.7;23.4
0.060;7.910;9.9;23.4
0.068;7.892;11.0;23.4
0.075;7.873;12.2;23.4
0.083;7.853;13.3;23.4
0.091;7.832;14.4;23.4
0.098;7.809;15.6;23.4
0.106;7.785;16.7;23.4
0.113;7.759;17.9;23.4
0.121;7.733;19.0;23.4
0.129;7.704;20.2;23.4
0.136;7.674;21.3;23.4
0.144;7.644;22.4;23.4
0.152;7.611;23.6;23.4
0.159;7.579;24.7;23.4
0.167;7.545;25.9;23.4
0.174;7.512;27.0;23.4
0.182;7.478;28.1;23.4
0.190;7.444;29.3;23.4
0.197;7.411;30.4;23.4
0.205;7.378;31.6;23.4
0.212;7.349;32.7;23.4
0.220;7.321;33.8;23.4
0.228;7.295;35.0;23.4
0.235;7.269;36.1;23.4
0.243;7.244;37.3;23.4
0.250;7.219;38.4;23.4
0.258;7.196;39.5;23.4
0.266;7.175;40.7;23.4
0.273;7.154;41.8;23.4
0.281;7.133;43.0;23.4
0.289;7.110;44.1;23.4
0.296;7.091;45.2;23.4
0.304;7.072;46.4;23.4
0.311;7.053;47.5;23.4
0.319;7.036;48.7;23.4
0.327;7.019;49.8;23.4
0.334;7.002;50.9;23.4
0.342;6.985;52.1;23.4
0.349;6.968;53.2;23.4
0.357;6.951;54.4;23.4
0.365;6.935;55.5;23.4
0.372;6.919;56.7;23.4
0.380;6.902;57.8;23.4
0.387;6.886;58.9;23.4
0.395;6.871;60.1;23.4
0.403;6.855;61.2;23.4
0.410;6.840;62.4;23.4
0.418;6.824;63.5;23.4
0.426;6.810;64.6;23.4
0.433;6.795;65.8;23.4
0.441;6.780;66.9;23.4
0.448;6.765;68.1;23.4
0.456;6.750;69.2;23.4
0.464;6.735;70.3;23.4
0.471;6.721;71.5;23.4
0.479;6.705;72.6;23.4
0.486;6.691;73.8;23.4
0.494;6.676;74.9;23.4
0.502;6.661;76.0;23.4
0.509;6.647;77.2;23.4
0.517;6.633;78.3;23.4
0.524;6.618;79.5;23.4
0.532;6.603;80.6;23.4
0.540;6.589;81.8;23.4
0.547;6.574;82.9;23.4
0.555;6.559;84.0;23.4
0.563;6.543;85.2;23.4
0.570;6.527;86.3;23.4
0.578;6.513;87.5;23.4
0.585;6.498;88.6;23.4
0.593;6.483;89.7;23.4
0.601;6.468;90.9;23.4
0.608;6.453;92.0;23.4
0.616;6.436;93.2;23.4
0.623;6.421;94.3;23.4
0.631;6.406;95.4;23.4
0.639;6.391;96.6;23.4
0.646;6.376;97.7;23.4
0.654;6.361;98.9;23.4
0.661;6.345;100.0;23.4
0.669;6.329;101.1;23.4
0.677;6.313;102.3;23.4
0.684;6.298;103.4;23.4
0.692;6.282;104.6;23.4
0.699;6.266;105.7;23.4
0.707;6.250;106.8;23.4
0.715;6.234;108.0;23.4
0.722;6.218;109.1;23.4
0.730;6.196;110.3;23.4
0.738;6.180;111.4;23.4
0.745;6.163;112.5;23.4
0.753;6.146;113.7;23.4
0.760;6.128;114.8;23.4
0.768;6.110;116.0;23.4
0.776;6.092;117.1;23.4
0.783;6.074;118.3;23.4
0.791;6.057;119.4;23.4
0.798;6.038;120.5;23.4
0.806;6.020;121.7;23.4
0.814;6.001;122.8;23.4
0.821;5.982;124.0;23.4
0.829;5.963;125.1;23.4
0.836;5.945;126.2;23.4
0.844;5.926;127.4;23.4
0.852;5.907;128.5;23.4
0.859;5.886;129.7;23.4
0.867;5.864;130.8;23.4
0.875;5.844;131.9;23.4
0.882;5.824;133.1;23.4
0.890;5.803;134.2;23.4
0.897;5.781;135.4;23.4
0.905;5.760;136.5;23.4
0.913;5.739;137.6;23.4
0.920;5.714;138.8;23.4
0.928;5.692;139.9;23.4
0.935;5.669;141.1;23.4
0.943;5.646;142.2;23.4
0.951;5.619;143.3;23.4
0.958;5.593;144.5;23.4
0.966;5.566;145.6;23.4
0.973;5.538;146.8;23.4
0.981;5.510;147.9;23.4
0.989;5.480;149.1;23.4
0.996;5.450;150.2;23.4
1.004;5.407;151.3;23.4
1.012;5.376;152.5;23.4
1.019;5.343;153.6;23.4
1.027;5.306;154.8;23.4
1.034;5.268;155.9;23.4
1.042;5.228;157.0;23.4
1.050;5.186;158.2;23.4
1.057;5.143;159.3;23.4
1.065;5.096;160.5;23.4
1.072;5.046;161.6;23.4
1.080;4.995;162.7;23.4
1.089;4.929;164.1;23.4
1.099;4.593;185.7;23.5
1.109;4.515;197.3;23.6
1.119;4.415;208.9;23.6
1.129;4.335;220.5;23.6
1.139;4.243;232.1;23.6
1.149;4.174;243.7;23.6
1.159;4.095;255.3;23.6
1.169;4.037;266.9;23.6
1.179;3.974;278.5;23.6
1.189;3.929;290.1;23.6
1.199;3.877;301.7;23.6
1.209;3.838;313.3;23.6
1.219;3.795;324.8;23.6
1.229;3.763;336.4;23.6
1.239;3.728;348.0;23.6
1.249;3.700;359.6;23.6
1.259;3.670;371.2;23.6
1.269;3.647;382.8;23.6
1.279;3.620;394.4;23.7
1.289;3.597;406.0;23.6
1.299;3.572;417.6;23.6
1.309;3.552;429.2;23.7
1.319;3.527;440.8;23.7
1.329;3.508;452.4;23.6
1.339;3.485;464.0;23.7
1.339;3.485;474.0;23.7
