ml;pH;sec;°C
0.000;7.989;0.0;23.6
0.000;7.989;0.4;23.6
0.000;7.989;0.8;23.6
0.007;7.989;1.9;23.6
0.015;7.989;3.0;23.6
0.022;7.984;4.2;23.6
0.030;7.977;5.3;23.6
0.038;7.966;6.5;23.6
0.045;7.954;7.6;23.6
0.053;7.940;8.7;23.6
0.060;7.925;9.9;23.6
0.068;7.909;11.0;23.6
0.076;7.891;12.2;23.6
0.083;7.872;13.3;23.6
0.091;7.851;14.5;23.6
0.098;7.829;15.6;23.6
0.106;7.806;16.7;23.6
0.114;7.782;17.9;23.6
0.121;7.757;19.0;23.6
0.129;7.730;20.2;23.6
0.137;7.702;21.3;23.6
0.144;7.671;22.4;23.6
0.152;7.641;23.6;23.6
0.159;7.610;24.7;23.6
0.167;7.576;25.9;23.6
0.175;7.543;27.0;23.6
0.182;7.509;28.2;23.6
0.190;7.476;29.3;23.6
0.197;7.442;30.4;23.6
0.205;7.408;31.6;23.6
0.213;7.377;32.7;23.6
0.220;7.347;33.9;23.6
0.228;7.319;35.0;23.6
0.236;7.293;36.1;23.6
0.243;7.267;37.3;23.6
0.251;7.242;38.4;23.6
0.258;7.219;39.6;23.6
0.266;7.197;40.7;23.6
0.274;7.175;41.8;23.6
0.281;7.154;43.0;23.6
0.289;7.133;44.1;23.6
0.296;7.114;45.3;23.6
0.304;7.094;46.4;23.6
0.312;7.072;47.6;23.6
0.319;7.053;48.7;23.6
0.327;7.035;49.8;23.6
0.334;7.018;51.0;23.6
0.342;7.000;52.1;23.6
0.350;6.981;53.3;23.6
0.357;6.965;54.4;23.6
0.365;6.948;55.5;23.6
0.373;6.932;56.7;23.6
0.380;6.915;57.8;23.6
0.388;6.899;59.0;23.6
0.395;6.883;60.1;23.6
0.403;6.866;61.2;23.6
0.411;6.850;62.4;23.6
0.418;6.834;63.5;23.6
0.426;6.819;64.7;23.6
0.433;6.804;65.8;23.6
0.441;6.782;66.9;23.6
0.449;6.767;68.1;23.6
0.456;6.751;69.2;23.6
0.464;6.736;70.4;23.6
0.472;6.720;71.5;23.6
0.479;6.706;72.7;23.6
0.487;6.691;73.8;23.6
0.494;6.676;74.9;23.6
0.502;6.662;76.1;23.6
0.510;6.647;77.2;23.6
0.517;6.633;78.4;23.6
0.525;6.618;79.5;23.6
0.532;6.603;80.6;23.6
0.540;6.589;81.8;23.6
0.548;6.574;82.9;23.6
0.555;6.560;84.1;23.6
0.563;6.544;85.2;23.6
0.570;6.529;86.3;23.6
0.578;6.514;87.5;23.6
0.586;6.499;88.6;23.6
0.593;6.484;89.8;23.6
0.601;6.468;90.9;23.6
0.608;6.453;92.0;23.6
0.616;6.437;93.2;23.6
0.624;6.391;94.3;23.6
0.631;6.364;95.5;23.6
0.639;6.351;96.6;23.6
0.647;6.324;97.7;23.6
0.654;6.310;98.9;23.6
0.662;6.297;100.0;23.6
0.669;6.284;101.2;23.6
0.677;6.271;102.3;23.6
0.685;6.256;103.4;23.6
0.692;6.240;104.6;23.6
0.700;6.215;105.7;23.6
0.707;6.202;106.9;23.6
0.715;6.173;108.0;23.6
0.723;6.160;109.1;23.6
0.730;6.145;110.3;23.6
0.738;6.130;111.4;23.6
0.745;6.114;112.6;23.6
0.753;6.099;113.7;23.6
0.761;6.084;114.9;23.6
0.768;6.069;116.0;23.6
0.776;6.053;117.1;23.6
0.784;6.038;118.3;23.6
0.791;6.020;119.4;23.6
0.799;6.002;120.6;23.6
0.806;5.984;121.7;23.6
0.814;5.963;122.8;23.6
0.822;5.946;124.0;23.6
0.829;5.929;125.1;23.6
0.837;5.911;126.3;23.6
0.844;5.892;127.4;23.6
0.852;5.874;128.5;23.6
0.860;5.856;129.7;23.6
0.867;5.837;130.8;23.6
0.875;5.818;132.0;23.6
0.882;5.798;133.1;23.6
0.890;5.777;134.2;23.6
0.898;5.757;135.4;23.6
0.905;5.737;136.5;23.6
0.913;5.715;137.7;23.6
0.921;5.691;138.8;23.6
0.928;5.665;139.9;23.6
0.936;5.638;141.1;23.6
0.943;5.613;142.2;23.6
0.951;5.585;143.4;23.6
0.959;5.560;144.5;23.6
0.966;5.534;145.7;23.6
0.974;5.508;146.8;23.6
0.981;5.480;147.9;23.6
0.989;5.450;149.1;23.6
0.997;5.417;150.2;23.6
1.004;5.382;151.4;23.6
1.012;5.350;152.5;23.6
1.020;5.316;153.6;23.6
1.027;5.280;154.8;23.6
1.035;5.242;155.9;23.6
1.042;5.200;157.1;23.6
1.050;5.157;158.2;23.6
1.058;5.106;159.3;23.6
1.065;5.063;160.5;23.6
1.073;5.013;161.6;23.6
1.081;4.928;163.0;23.6
1.091;4.644;184.6;23.7
1.101;4.561;196.2;23.7
1.111;4.469;207.8;23.7
1.121;4.382;219.4;23.7
1.131;4.293;231.0;23.8
1.141;4.214;242.6;23.7
1.151;4.137;254.2;23.8
1.161;4.071;265.8;23.8
1.171;4.009;277.4;23.8
1.181;3.957;289.0;23.8
1.191;3.906;300.6;23.8
1.201;3.862;312.2;23.8
1.211;3.820;323.8;23.8
1.221;3.783;335.4;23.8
1.231;3.748;347.0;23.8
1.241;3.717;358.6;23.8
1.251;3.688;370.2;23.8
1.261;3.662;381.8;23.8
1.271;3.635;393.4;23.8
1.281;3.612;405.0;23.8
1.291;3.588;416.6;23.9
1.301;3.566;428.2;23.8
1.311;3.543;439.8;23.9
1.321;3.521;451.4;23.8
1.331;3.499;463.0;23.8
1.341;3.480;474.6;23.9
1.341;3.480;484.7;23.9
