ml;pH;sec;°C
0.000;7.956;0.0;23.4
0.000;7.957;0.4;23.4
0.000;7.957;0.8;23.4
0.007;7.957;1.9;23.4
0.015;7.956;3.0;23.4
0.022;7.955;4.2;23.4
0.030;7.951;5.3;23.4
0.037;7.943;6.5;23.4
0.045;7.934;7.6;23.4
0.053;7.922;8.7;23.4
0.060;7.910;9.9;23.4
0.068;7.896;11.0;23.4
0.075;7.880;12.2;23.4
0.083;7.863;13.3;23.4
0.091;7.845;14.4;23.4
0.098;7.826;15.6;23.4
0.106;7.806;16.7;23.4
0.113;7.784;17.9;23.4
0.121;7.761;19.0;23.4
0.129;7.737;20.2;23.4
0.136;7.712;21.3;23.4
0.144;7.687;22.4;23.4
0.152;7.660;23.6;23.4
0.159;7.633;24.7;23.4
0.167;7.604;25.9;23.4
0.174;7.574;27.0;23.4
0.182;7.543;28.1;23.4
0.190;7.512;29.3;23.4
0.197;7.481;30.4;23.4
0.205;7.451;31.6;23.4
0.212;7.420;32.7;23.4
0.220;7.391;33.8;23.4
0.228;7.362;35.0;23.4
0.235;7.335;36.1;23.4
0.243;7.308;37.3;23.4
0.250;7.283;38.4;23.4
0.258;7.259;39.5;23.4
0.266;7.236;40.7;23.4
0.273;7.213;41.8;23.4
0.281;7.191;43.0;23.4
0.289;7.171;44.1;23.4
0.296;7.150;45.3;23.4
0.304;7.131;46.4;23.4
0.311;7.111;47.5;23.4
0.319;7.092;48.7;23.4
0.327;7.074;49.8;23.4
0.334;7.056;51.0;23.4
0.342;7.038;52.1;23.4
0.349;7.021;53.2;23.4
0.357;7.004;54.4;23.4
0.365;6.986;55.5;23.4
0.372;6.969;56.7;23.4
0.380;6.952;57.8;23.4
0.387;6.935;58.9;23.4
0.395;6.919;60.1;23.4
0.403;6.903;61.2;23.4
0.410;6.887;62.4;23.4
0.418;6.871;63.5;23.4
0.426;6.855;64.6;23.4
0.433;6.840;65.8;23.4
0.441;6.824;66.9;23.4
0.448;6.808;68.1;23.4
0.456;6.793;69.2;23.4
0.464;6.778;70.3;23.4
0.471;6.762;71.5;23.4
0.479;6.747;72.6;23.4
0.486;6.732;73.8;23.4
0.494;6.716;74.9;23.4
0.502;6.701;76.1;23.4
0.509;6.686;77.2;23.4
0.517;6.671;78.3;23.4
0.524;6.655;79.5;23.4
0.532;6.640;80.6;23.4
0.540;6.625;81.8;23.4
0.547;6.609;82.9;23.4
0.555;6.594;84.0;23.4
0.563;6.579;85.2;23.4
0.570;6.563;86.3;23.4
0.578;6.548;87.5;23.4
0.585;6.532;88.6;23.4
0.593;6.517;89.7;23.4
0.601;6.501;90.9;23.4
0.608;6.486;92.0;23.4
0.616;6.470;93.2;23.4
0.623;6.454;94.3;23.4
0.631;6.439;95.4;23.4
0.639;6.419;96.6;23.4
0.646;6.402;97.7;23.4
0.654;6.387;98.9;23.4
0.661;6.372;100.0;23.4
0.669;6.356;101.1;23.4
0.677;6.340;102.3;23.4
0.684;6.324;103.4;23.4
0.692;6.308;104.6;23.4
0.700;6.292;105.7;23.4
0.707;6.275;106.9;23.4
0.715;6.259;108.0;23.4
0.722;6.242;109.1;23.4
0.730;6.225;110.3;23.4
0.738;6.208;111.4;23.4
0.745;6.191;112.6;23.4
0.753;6.173;113.7;23.4
0.760;6.156;114.8;23.4
0.768;6.138;116.0;23.4
0.776;6.120;117.1;23.4
0.783;6.102;118.3;23.4
0.791;6.084;119.4;23.4
0.798;6.066;120.5;23.4
0.806;6.048;121.7;23.4
0.814;6.029;122.8;23.4
0.821;6.010;124.0;23.4
0.829;5.991;125.1;23.4
0.837;5.972;126.2;23.4
0.844;5.951;127.4;23.4
0.852;5.932;128.5;23.4
0.859;5.912;129.7;23.4
0.867;5.892;130.8;23.4
0.875;5.872;131.9;23.4
0.882;5.851;133.1;23.4
0.890;5.829;134.2;23.4
0.897;5.808;135.4;23.4
0.905;5.786;136.5;23.4
0.913;5.765;137.7;23.4
0.920;5.742;138.8;23.4
0.928;5.720;139.9;23.4
0.935;5.694;141.1;23.4
0.943;5.670;142.2;23.4
0.951;5.643;143.4;23.4
0.958;5.618;144.5;23.4
0.966;5.592;145.6;23.4
0.973;5.566;146.8;23.4
0.981;5.537;147.9;23.4
0.989;5.508;149.1;23.4
0.996;5.479;150.2;23.4
1.004;5.448;151.3;23.4
1.012;5.417;152.5;23.4
1.019;5.385;153.6;23.4
1.027;5.351;154.8;23.4
1.034;5.314;155.9;23.4
1.042;5.277;157.0;23.4
1.050;5.238;158.2;23.4
1.057;5.193;159.3;23.4
1.065;5.149;160.5;23.4
1.072;5.102;161.6;23.4
1.080;5.046;162.7;23.4
1.088;4.993;163.9;23.4
1.095;4.935;165.0;23.4
1.105;4.553;186.7;23.7
1.115;4.454;198.3;23.7
1.125;4.374;209.9;23.8
1.135;4.277;221.5;23.8
1.145;4.204;233.1;23.8
1.155;4.124;244.7;23.8
1.165;4.065;256.2;23.8
1.175;3.998;267.8;23.8
1.185;3.951;279.4;23.8
1.195;3.898;291.0;23.9
1.205;3.858;302.6;23.9
1.215;3.813;314.2;23.9
1.225;3.779;325.8;23.9
1.235;3.743;337.4;23.9
1.245;3.715;349.0;23.9
1.255;3.684;360.6;23.9
1.265;3.659;372.2;23.9
1.275;3.632;383.8;23.9
1.285;3.610;395.4;23.9
1.295;3.584;406.9;23.9
1.305;3.563;418.5;23.9
1.315;3.539;430.1;23.9
1.325;3.519;441.7;23.9
1.335;3.496;453.3;24.0
1.345;3.478;464.9;23.9
1.345;3.478;475.0;23.9
