ml;pH;sec;°C
0.000;8.159;0.0;23.4
0.000;8.159;0.4;23.4
0.000;8.159;0.8;23.4
0.007;8.159;1.9;23.4
0.015;8.158;3.0;23.4
0.022;8.154;4.2;23.4
0.030;8.146;5.3;23.4
0.037;8.138;6.5;23.4
0.045;8.127;7.6;23.4
0.053;8.116;8.8;23.4
0.060;8.104;9.9;23.4
0.068;8.089;11.0;23.4
0.076;8.074;12.2;23.4
0.083;8.054;13.3;23.4
0.091;8.038;14.5;23.4
0.098;8.020;15.6;23.4
0.106;8.001;16.7;23.4
0.114;7.981;17.9;23.4
0.121;7.957;19.0;23.4
0.129;7.935;20.2;23.4
0.137;7.913;21.3;23.4
0.144;7.890;22.5;23.4
0.152;7.865;23.6;23.4
0.159;7.840;24.7;23.4
0.167;7.812;25.9;23.4
0.175;7.783;27.0;23.4
0.182;7.753;28.2;23.4
0.190;7.723;29.3;23.4
0.197;7.684;30.4;23.4
0.205;7.648;31.6;23.4
0.213;7.614;32.7;23.4
0.220;7.578;33.9;23.4
0.228;7.543;35.0;23.4
0.236;7.505;36.1;23.4
0.243;7.468;37.3;23.4
0.251;7.433;38.4;23.4
0.258;7.399;39.6;23.4
0.266;7.366;40.7;23.4
0.274;7.334;41.8;23.4
0.281;7.305;43.0;23.4
0.289;7.276;44.1;23.4
0.296;7.251;45.3;23.4
0.304;7.226;46.4;23.4
0.312;7.203;47.6;23.4
0.319;7.180;48.7;23.4
0.327;7.158;49.8;23.4
0.334;7.136;51.0;23.4
0.342;7.115;52.1;23.4
0.350;7.093;53.3;23.4
0.357;7.073;54.4;23.4
0.365;7.052;55.5;23.4
0.373;7.032;56.7;23.4
0.380;7.013;57.8;23.4
0.388;6.994;59.0;23.4
0.395;6.975;60.1;23.4
0.403;6.956;61.2;23.4
0.411;6.937;62.4;23.4
0.418;6.920;63.5;23.4
0.426;6.902;64.7;23.4
0.433;6.884;65.8;23.4
0.441;6.867;66.9;23.4
0.449;6.849;68.1;23.4
0.456;6.832;69.2;23.4
0.464;6.815;70.4;23.4
0.471;6.798;71.5;23.4
0.479;6.781;72.6;23.4
0.487;6.764;73.8;23.4
0.494;6.748;74.9;23.4
0.502;6.730;76.1;23.4
0.509;6.713;77.2;23.4
0.517;6.697;78.4;23.4
0.525;6.680;79.5;23.4
0.532;6.662;80.6;23.4
0.540;6.645;81.8;23.4
0.548;6.626;82.9;23.4
0.555;6.609;84.1;23.4
0.563;6.592;85.2;23.4
0.570;6.574;86.3;23.4
0.578;6.558;87.5;23.4
0.586;6.541;88.6;23.4
0.593;6.524;89.8;23.4
0.601;6.506;90.9;23.4
0.608;6.488;92.0;23.4
0.616;6.472;93.2;23.4
0.624;6.456;94.3;23.4
0.631;6.440;95.5;23.4
0.639;6.424;96.6;23.4
0.646;6.402;97.7;23.4
0.654;6.383;98.9;23.4
0.662;6.359;100.0;23.4
0.669;6.338;101.2;23.4
0.677;6.321;102.3;23.4
0.685;6.304;103.5;23.4
0.692;6.288;104.6;23.4
0.700;6.271;105.7;23.4
0.707;6.253;106.9;23.4
0.715;6.236;108.0;23.4
0.723;6.217;109.2;23.4
0.730;6.200;110.3;23.4
0.738;6.183;111.4;23.4
0.745;6.165;112.6;23.4
0.753;6.148;113.7;23.4
0.761;6.126;114.9;23.4
0.768;6.101;116.0;23.4
0.776;6.082;117.1;23.4
0.784;6.062;118.3;23.4
0.791;6.016;119.4;23.4
0.799;5.999;120.6;23.4
0.806;5.980;121.7;23.4
0.814;5.962;122.8;23.4
0.822;5.941;124.0;23.4
0.829;5.918;125.1;23.4
0.837;5.893;126.3;23.4
0.844;5.874;127.4;23.4
0.852;5.852;128.6;23.4
0.860;5.823;129.7;23.4
0.867;5.800;130.8;23.4
0.875;5.778;132.0;23.4
0.882;5.749;133.1;23.4
0.890;5.730;134.3;23.4
0.898;5.710;135.4;23.4
0.905;5.691;136.5;23.4
0.913;5.670;137.7;23.4
0.921;5.647;138.8;23.4
0.928;5.622;140.0;23.4
0.936;5.595;141.1;23.4
0.943;5.561;142.2;23.4
0.951;5.530;143.4;23.4
0.959;5.502;144.5;23.4
0.966;5.467;145.7;23.4
0.974;5.438;146.8;23.4
0.981;5.403;147.9;23.4
0.989;5.368;149.1;23.4
0.997;5.329;150.2;23.4
1.004;5.273;151.4;23.4
1.012;5.237;152.5;23.4
1.020;5.203;153.7;23.4
1.027;5.167;154.8;23.4
1.035;5.125;155.9;23.4
1.042;5.078;157.1;23.4
1.050;5.026;158.2;23.4
1.058;4.974;159.4;23.4
1.064;4.923;160.3;23.4
1.074;4.610;182.0;23.5
1.084;4.526;193.6;23.5
1.094;4.437;205.2;23.5
1.104;4.352;216.8;23.5
1.114;4.263;228.4;23.5
1.124;4.185;240.0;23.5
1.134;4.109;251.6;23.5
1.144;4.045;263.2;23.5
1.154;3.983;274.8;23.6
1.164;3.932;286.4;23.6
1.174;3.883;298.0;23.6
1.184;3.840;309.6;23.6
1.194;3.799;321.2;23.6
1.204;3.763;332.8;23.6
1.214;3.728;344.4;23.6
1.224;3.697;356.0;23.6
1.234;3.668;367.6;23.6
1.244;3.642;379.2;23.6
1.254;3.616;390.8;23.6
1.264;3.593;402.4;23.6
1.274;3.570;414.0;23.6
1.284;3.550;425.6;23.6
1.294;3.528;437.2;23.6
1.304;3.509;448.8;23.7
1.314;3.488;460.4;23.6
1.314;3.488;470.4;23.6
