ml;pH;sec;°C
0.000;8.033;0.0;22.5
0.000;8.033;0.4;22.5
0.000;8.033;0.8;22.5
0.007;8.033;1.9;22.5
0.015;8.033;3.0;22.5
0.022;8.028;4.2;22.5
0.030;8.021;5.3;22.5
0.038;8.010;6.5;22.5
0.045;7.998;7.6;22.5
0.053;7.983;8.8;22.5
0.060;7.967;9.9;22.5
0.068;7.949;11.0;22.5
0.076;7.930;12.2;22.5
0.083;7.910;13.3;22.5
0.091;7.889;14.5;22.5
0.098;7.867;15.6;22.5
0.106;7.842;16.7;22.5
0.114;7.818;17.9;22.5
0.121;7.792;19.0;22.5
0.129;7.764;20.2;22.5
0.137;7.735;21.3;22.5
0.144;7.705;22.4;22.5
0.152;7.675;23.6;22.5
0.159;7.642;24.7;22.5
0.167;7.608;25.9;22.5
0.175;7.574;27.0;22.5
0.182;7.540;28.1;22.5
0.190;7.506;29.3;22.5
0.197;7.471;30.4;22.5
0.205;7.437;31.6;22.5
0.213;7.404;32.7;22.5
0.220;7.373;33.9;22.5
0.228;7.344;35.0;22.5
0.235;7.318;36.1;22.5
0.243;7.292;37.3;22.5
0.251;7.268;38.4;22.5
0.258;7.245;39.6;22.5
0.266;7.222;40.7;22.5
0.274;7.200;41.8;22.5
0.281;7.179;43.0;22.5
0.289;7.159;44.1;22.5
0.296;7.139;45.3;22.5
0.304;7.120;46.4;22.5
0.312;7.102;47.5;22.5
0.319;7.083;48.7;22.5
0.327;7.065;49.8;22.5
0.334;7.046;51.0;22.5
0.342;7.029;52.1;22.5
0.350;7.012;53.3;22.5
0.357;6.994;54.4;22.5
0.365;6.977;55.5;22.5
0.373;6.961;56.7;22.5
0.380;6.945;57.8;22.5
0.388;6.928;59.0;22.5
0.395;6.912;60.1;22.5
0.403;6.896;61.2;22.5
0.411;6.880;62.4;22.5
0.418;6.862;63.5;22.5
0.426;6.846;64.7;22.5
0.433;6.831;65.8;22.5
0.441;6.815;66.9;22.5
0.449;6.800;68.1;22.5
0.456;6.785;69.2;22.5
0.464;6.770;70.4;22.5
0.471;6.755;71.5;22.5
0.479;6.740;72.6;22.5
0.487;6.721;73.8;22.5
0.494;6.706;74.9;22.5
0.502;6.692;76.1;22.5
0.510;6.677;77.2;22.5
0.517;6.662;78.3;22.5
0.525;6.647;79.5;22.5
0.532;6.632;80.6;22.5
0.540;6.617;81.8;22.5
0.548;6.602;82.9;22.5
0.555;6.587;84.1;22.5
0.563;6.572;85.2;22.5
0.570;6.556;86.3;22.5
0.578;6.541;87.5;22.5
0.586;6.525;88.6;22.5
0.593;6.509;89.8;22.5
0.601;6.493;90.9;22.5
0.608;6.478;92.0;22.5
0.616;6.462;93.2;22.5
0.624;6.446;94.3;22.5
0.631;6.430;95.5;22.5
0.639;6.413;96.6;22.5
0.647;6.397;97.7;22.5
0.654;6.381;98.9;22.5
0.662;6.365;100.0;22.5
0.669;6.348;101.2;22.5
0.677;6.331;102.3;22.5
0.685;6.314;103.4;22.5
0.692;6.297;104.6;22.5
0.700;6.280;105.7;22.5
0.707;6.263;106.9;22.5
0.715;6.245;108.0;22.5
0.723;6.228;109.2;22.5
0.730;6.209;110.3;22.5
0.738;6.188;111.4;22.5
0.745;6.170;112.6;22.5
0.753;6.152;113.7;22.5
0.761;6.134;114.9;22.5
0.768;6.114;116.0;22.5
0.776;6.095;117.1;22.5
0.784;6.075;118.3;22.5
0.791;6.056;119.4;22.5
0.799;6.035;120.6;22.5
0.806;6.015;121.7;22.5
0.814;5.994;122.8;22.5
0.822;5.973;124.0;22.5
0.829;5.951;125.1;22.5
0.837;5.929;126.3;22.5
0.844;5.906;127.4;22.5
0.852;5.884;128.5;22.5
0.860;5.861;129.7;22.5
0.867;5.838;130.8;22.5
0.875;5.815;132.0;22.5
0.882;5.790;133.1;22.5
0.890;5.766;134.2;22.5
0.898;5.740;135.4;22.5
0.905;5.714;136.5;22.5
0.913;5.688;137.7;22.5
0.921;5.661;138.8;22.5
0.928;5.633;139.9;22.5
0.936;5.602;141.1;22.5
0.943;5.572;142.2;22.5
0.951;5.540;143.4;22.5
0.959;5.506;144.5;22.5
0.966;5.470;145.7;22.5
0.974;5.434;146.8;22.5
0.981;5.393;147.9;22.5
0.989;5.352;149.1;22.5
0.997;5.307;150.2;22.5
1.004;5.258;151.4;22.5
1.012;5.203;152.5;22.5
1.019;5.154;153.6;22.5
1.027;5.097;154.8;22.5
1.035;5.031;155.9;22.5
1.042;4.965;157.1;22.5
1.046;4.930;157.6;22.5
1.056;4.528;179.3;22.7
1.066;4.443;190.9;22.7
1.076;4.359;202.5;22.7
1.086;4.280;214.1;22.7
1.096;4.199;225.7;22.7
1.106;4.129;237.3;22.7
1.116;4.060;248.9;22.7
1.126;4.000;260.5;22.7
1.136;3.941;272.1;22.7
1.146;3.893;283.7;22.7
1.156;3.847;295.3;22.8
1.166;3.806;306.8;22.8
1.176;3.766;318.4;22.8
1.186;3.732;330.0;22.8
1.196;3.699;341.6;22.8
1.206;3.669;353.2;22.8
1.216;3.640;364.8;22.8
1.226;3.615;376.4;22.8
1.236;3.590;388.0;22.8
1.246;3.568;399.6;22.8
1.256;3.545;411.2;22.8
1.266;3.526;422.8;22.9
1.276;3.506;434.4;22.9
1.286;3.488;446.0;22.9
1.286;3.488;456.1;22.9
