ml;pH;sec;°C
0.000;7.991;0.0;23.5
0.000;7.991;0.4;23.5
0.000;7.991;0.8;23.5
0.007;7.991;1.9;23.5
0.015;7.990;3.0;23.5
0.022;7.987;4.2;23.5
0.030;7.980;5.3;23.5
0.037;7.971;6.5;23.5
0.045;7.960;7.6;23.5
0.053;7.947;8.7;23.5
0.060;7.931;9.9;23.5
0.068;7.915;11.0;23.5
0.076;7.897;12.2;23.5
0.083;7.878;13.3;23.5
0.091;7.858;14.5;23.5
0.098;7.837;15.6;23.5
0.106;7.814;16.7;23.5
0.114;7.789;17.9;23.5
0.121;7.762;19.0;23.5
0.129;7.735;20.2;23.5
0.136;7.707;21.3;23.5
0.144;7.678;22.4;23.5
0.152;7.648;23.6;23.5
0.159;7.617;24.7;23.5
0.167;7.585;25.9;23.5
0.174;7.553;27.0;23.5
0.182;7.519;28.1;23.5
0.190;7.485;29.3;23.5
0.197;7.451;30.4;23.5
0.205;7.420;31.6;23.5
0.213;7.390;32.7;23.5
0.220;7.361;33.8;23.5
0.228;7.334;35.0;23.5
0.235;7.308;36.1;23.5
0.243;7.284;37.3;23.5
0.251;7.260;38.4;23.5
0.258;7.237;39.5;23.5
0.266;7.215;40.7;23.5
0.273;7.193;41.8;23.5
0.281;7.172;43.0;23.5
0.289;7.151;44.1;23.5
0.296;7.132;45.3;23.5
0.304;7.112;46.4;23.5
0.311;7.093;47.5;23.5
0.319;7.075;48.7;23.5
0.327;7.057;49.8;23.5
0.334;7.038;51.0;23.5
0.342;7.018;52.1;23.5
0.350;7.001;53.2;23.5
0.357;6.984;54.4;23.5
0.365;6.966;55.5;23.5
0.372;6.949;56.7;23.5
0.380;6.932;57.8;23.5
0.388;6.916;58.9;23.5
0.395;6.898;60.1;23.5
0.403;6.882;61.2;23.5
0.410;6.866;62.4;23.5
0.418;6.850;63.5;23.5
0.426;6.835;64.6;23.5
0.433;6.819;65.8;23.5
0.441;6.802;66.9;23.5
0.448;6.786;68.1;23.5
0.456;6.771;69.2;23.5
0.464;6.756;70.3;23.5
0.471;6.741;71.5;23.5
0.479;6.726;72.6;23.5
0.486;6.711;73.8;23.5
0.494;6.696;74.9;23.5
0.502;6.680;76.0;23.5
0.509;6.664;77.2;23.5
0.517;6.649;78.3;23.5
0.525;6.634;79.5;23.5
0.532;6.620;80.6;23.5
0.540;6.597;81.8;23.5
0.547;6.581;82.9;23.5
0.555;6.565;84.0;23.5
0.563;6.551;85.2;23.5
0.570;6.536;86.3;23.5
0.578;6.520;87.5;23.5
0.585;6.503;88.6;23.5
0.593;6.487;89.7;23.5
0.601;6.472;90.9;23.5
0.608;6.457;92.0;23.5
0.616;6.441;93.2;23.5
0.623;6.426;94.3;23.5
0.631;6.411;95.4;23.5
0.639;6.394;96.6;23.5
0.646;6.376;97.7;23.5
0.654;6.360;98.9;23.5
0.662;6.345;100.0;23.5
0.669;6.329;101.1;23.5
0.677;6.313;102.3;23.5
0.684;6.296;103.4;23.5
0.692;6.279;104.6;23.5
0.700;6.262;105.7;23.5
0.707;6.246;106.8;23.5
0.715;6.226;108.0;23.5
0.722;6.210;109.1;23.5
0.730;6.193;110.3;23.5
0.738;6.176;111.4;23.5
0.745;6.151;112.5;23.5
0.753;6.134;113.7;23.5
0.760;6.118;114.8;23.5
0.768;6.101;116.0;23.5
0.776;6.083;117.1;23.5
0.783;6.063;118.3;23.5
0.791;6.045;119.4;23.5
0.799;6.027;120.5;23.5
0.806;6.009;121.7;23.5
0.814;5.990;122.8;23.5
0.821;5.972;124.0;23.5
0.829;5.952;125.1;23.5
0.837;5.934;126.2;23.5
0.844;5.912;127.4;23.5
0.852;5.892;128.5;23.5
0.859;5.872;129.7;23.5
0.867;5.852;130.8;23.5
0.875;5.831;131.9;23.5
0.882;5.810;133.1;23.5
0.890;5.786;134.2;23.5
0.897;5.762;135.4;23.5
0.905;5.741;136.5;23.5
0.913;5.717;137.6;23.5
0.920;5.691;138.8;23.5
0.928;5.667;139.9;23.5
0.935;5.643;141.1;23.5
0.943;5.620;142.2;23.5
0.951;5.597;143.3;23.5
0.958;5.568;144.5;23.5
0.966;5.540;145.6;23.5
0.974;5.512;146.8;23.5
0.981;5.481;147.9;23.5
0.989;5.453;149.1;23.5
0.996;5.419;150.2;23.5
1.004;5.389;151.3;23.5
1.012;5.357;152.5;23.5
1.019;5.320;153.6;23.5
1.027;5.280;154.8;23.5
1.034;5.243;155.9;23.5
1.042;5.197;157.0;23.5
1.050;5.152;158.2;23.5
1.057;5.103;159.3;23.5
1.065;5.056;160.5;23.5
1.073;5.008;161.6;23.5
1.080;4.953;162.7;23.5
1.082;4.933;163.1;23.5
1.092;4.597;184.8;23.6
1.102;4.513;196.4;23.6
1.112;4.421;208.0;23.6
1.122;4.334;219.6;23.6
1.132;4.248;231.2;23.6
1.142;4.173;242.8;23.7
1.152;4.099;254.3;23.6
1.162;4.036;265.9;23.7
1.172;3.978;277.5;23.6
1.182;3.928;289.1;23.7
1.192;3.880;300.7;23.7
1.202;3.838;312.3;23.7
1.212;3.797;323.9;23.7
1.222;3.762;335.5;23.7
1.232;3.729;347.1;23.7
1.242;3.699;358.7;23.7
1.252;3.671;370.3;23.7
1.262;3.645;381.9;23.7
1.272;3.619;393.4;23.7
1.282;3.597;405.0;23.7
1.292;3.573;416.6;23.7
1.302;3.551;428.2;23.7
1.312;3.529;439.8;23.7
1.322;3.508;451.4;23.7
1.332;3.487;463.0;23.7
1.332;3.487;473.1;23.7
