ml;pH;sec;°C
0.000;7.968;0.0;23.9
0.000;7.968;0.4;23.9
0.000;7.968;0.8;23.9
0.007;7.968;1.9;23.9
0.015;7.962;3.0;23.9
0.022;7.931;4.2;23.9
0.030;7.921;5.3;23.9
0.038;7.891;6.5;23.9
0.045;7.880;7.6;23.9
0.053;7.871;8.7;23.9
0.060;7.851;9.9;23.9
0.068;7.815;11.0;23.9
0.076;7.804;12.2;23.9
0.083;7.788;13.3;23.9
0.091;7.743;14.5;23.9
0.098;7.707;15.6;23.9
0.106;7.684;16.7;23.9
0.114;7.578;17.9;23.9
0.121;7.534;19.0;23.9
0.129;7.462;20.2;23.9
0.136;7.385;21.3;23.9
0.144;7.344;22.4;23.9
0.152;7.329;23.6;23.9
0.159;7.282;24.7;23.9
0.167;7.265;25.9;23.9
0.175;7.231;27.0;23.9
0.182;7.196;28.1;23.9
0.190;7.113;29.3;23.9
0.197;7.029;30.4;23.9
0.205;6.989;31.6;23.9
0.213;6.975;32.7;23.9
0.220;6.950;33.8;23.9
0.228;6.918;35.0;23.9
0.235;6.884;36.1;23.9
0.243;6.835;37.3;23.9
0.251;6.799;38.4;23.9
0.258;6.790;39.5;23.9
0.266;6.729;40.7;23.9
0.273;6.718;41.8;23.9
0.281;6.709;43.0;23.9
0.289;6.700;44.1;23.9
0.296;6.691;45.2;23.9
0.304;6.683;46.4;23.9
0.312;6.657;47.5;23.9
0.319;6.629;48.7;23.9
0.327;6.612;49.8;23.9
0.334;6.602;51.0;23.9
0.342;6.561;52.1;23.9
0.350;6.549;53.2;23.9
0.357;6.503;54.4;23.9
0.365;6.481;55.5;23.9
0.372;6.462;56.7;23.9
0.380;6.397;57.8;23.9
0.388;6.398;58.9;23.9
0.395;6.403;60.1;23.9
0.403;6.357;61.2;23.9
0.410;6.362;62.4;23.9
0.418;6.338;63.5;23.9
0.426;6.315;64.6;23.9
0.433;6.308;65.8;23.9
0.441;6.145;66.9;23.9
0.449;6.168;68.1;23.9
0.456;6.187;69.2;23.9
0.464;6.145;70.3;23.9
0.471;6.160;71.5;23.9
0.479;6.170;72.6;23.9
0.487;6.129;73.8;23.9
0.494;6.125;74.9;23.9
0.502;6.091;76.0;23.9
0.509;5.994;77.2;23.9
0.517;5.995;78.3;23.9
0.525;6.007;79.5;23.9
0.532;6.020;80.6;23.9
0.540;6.011;81.8;23.9
0.547;5.963;82.9;23.9
