ml;pH;sec;°C
0.000;7.972;0.0;23.5
0.000;7.972;0.4;23.5
0.000;7.972;0.8;23.5
0.007;7.972;1.9;23.5
0.015;7.973;3.0;23.5
0.022;7.970;4.2;23.5
0.030;7.965;5.3;23.5
0.037;7.957;6.5;23.5
0.045;7.946;7.6;23.5
0.053;7.932;8.7;23.5
0.060;7.917;9.9;23.5
0.068;7.901;11.0;23.5
0.076;7.884;12.2;23.5
0.083;7.865;13.3;23.5
0.091;7.845;14.4;23.5
0.098;7.825;15.6;23.5
0.106;7.803;16.7;23.5
0.114;7.780;17.9;23.5
0.121;7.755;19.0;23.5
0.129;7.729;20.2;23.5
0.136;7.703;21.3;23.5
0.144;7.674;22.4;23.5
0.152;7.644;23.6;23.5
0.159;7.613;24.7;23.5
0.167;7.582;25.9;23.5
0.174;7.551;27.0;23.5
0.182;7.518;28.1;23.5
0.190;7.486;29.3;23.5
0.197;7.455;30.4;23.5
0.205;7.424;31.6;23.5
0.212;7.395;32.7;23.5
0.220;7.367;33.8;23.5
0.228;7.341;35.0;23.5
0.235;7.315;36.1;23.5
0.243;7.290;37.3;23.5
0.251;7.267;38.4;23.5
0.258;7.244;39.5;23.5
0.266;7.222;40.7;23.5
0.273;7.201;41.8;23.5
0.281;7.181;43.0;23.5
0.289;7.161;44.1;23.5
0.296;7.141;45.2;23.5
0.304;7.123;46.4;23.5
0.311;7.105;47.5;23.5
0.319;7.087;48.7;23.5
0.327;7.069;49.8;23.5
0.334;7.051;51.0;23.5
0.342;7.034;52.1;23.5
0.349;7.018;53.2;23.5
0.357;7.001;54.4;23.5
0.365;6.984;55.5;23.5
0.372;6.967;56.7;23.5
0.380;6.951;57.8;23.5
0.388;6.934;58.9;23.5
0.395;6.918;60.1;23.5
0.403;6.902;61.2;23.5
0.410;6.886;62.4;23.5
0.418;6.871;63.5;23.5
0.426;6.854;64.6;23.5
0.433;6.839;65.8;23.5
0.441;6.823;66.9;23.5
0.448;6.808;68.1;23.5
0.456;6.792;69.2;23.5
0.464;6.777;70.3;23.5
0.471;6.762;71.5;23.5
0.479;6.747;72.6;23.5
0.486;6.732;73.8;23.5
0.494;6.717;74.9;23.5
0.502;6.701;76.0;23.5
0.509;6.687;77.2;23.5
0.517;6.672;78.3;23.5
0.525;6.657;79.5;23.5
0.532;6.642;80.6;23.5
0.540;6.627;81.8;23.5
0.547;6.612;82.9;23.5
0.555;6.596;84.0;23.5
0.563;6.581;85.2;23.5
0.570;6.566;86.3;23.5
0.578;6.550;87.5;23.5
0.585;6.535;88.6;23.5
0.593;6.519;89.7;23.5
0.601;6.504;90.9;23.5
0.608;6.488;92.0;23.5
0.616;6.472;93.2;23.5
0.624;6.456;94.3;23.5
0.631;6.441;95.4;23.5
0.639;6.425;96.6;23.5
0.646;6.409;97.7;23.5
0.654;6.393;98.9;23.5
0.662;6.377;100.0;23.5
0.669;6.361;101.2;23.5
0.677;6.345;102.3;23.5
0.684;6.329;103.4;23.5
0.692;6.312;104.6;23.5
0.700;6.296;105.7;23.5
0.707;6.280;106.9;23.5
0.715;6.263;108.0;23.5
0.722;6.246;109.1;23.5
0.730;6.230;110.3;23.5
0.738;6.213;111.4;23.5
0.745;6.195;112.6;23.5
0.753;6.178;113.7;23.5
0.761;6.161;114.8;23.5
0.768;6.143;116.0;23.5
0.776;6.125;117.1;23.5
0.783;6.107;118.3;23.5
0.791;6.089;119.4;23.5
0.799;6.069;120.5;23.5
0.806;6.051;121.7;23.5
0.814;6.031;122.8;23.5
0.821;6.012;124.0;23.5
0.829;5.992;125.1;23.5
0.837;5.973;126.2;23.5
0.844;5.953;127.4;23.5
0.852;5.933;128.5;23.5
0.859;5.913;129.7;23.5
0.867;5.893;130.8;23.5
0.875;5.873;132.0;23.5
0.882;5.851;133.1;23.5
0.890;5.830;134.2;23.5
0.898;5.809;135.4;23.5
0.905;5.787;136.5;23.5
0.913;5.765;137.7;23.5
0.920;5.741;138.8;23.5
0.928;5.717;139.9;23.5
0.936;5.693;141.1;23.5
0.943;5.670;142.2;23.5
0.951;5.645;143.4;23.5
0.958;5.620;144.5;23.5
0.966;5.592;145.6;23.5
0.974;5.565;146.8;23.5
0.981;5.537;147.9;23.5
0.989;5.509;149.1;23.5
0.996;5.479;150.2;23.5
1.004;5.448;151.3;23.5
1.012;5.417;152.5;23.5
1.019;5.382;153.6;23.5
1.027;5.348;154.8;23.5
1.035;5.313;155.9;23.5
1.042;5.274;157.1;23.5
1.050;5.232;158.2;23.5
1.057;5.189;159.3;23.5
1.065;5.143;160.5;23.5
1.073;5.090;161.6;23.5
1.080;5.040;162.8;23.5
1.088;4.985;163.9;23.5
1.095;4.929;165.0;23.5
1.105;4.552;186.7;23.8
1.115;4.453;198.3;23.8
1.125;4.371;209.9;23.8
1.135;4.274;221.5;23.8
1.145;4.202;233.1;23.8
1.155;4.123;244.7;23.8
1.165;4.065;256.3;23.8
1.175;3.998;267.8;23.8
1.185;3.950;279.4;23.8
1.195;3.897;291.0;23.8
1.205;3.858;302.6;23.9
1.215;3.812;314.2;23.9
1.225;3.779;325.8;23.9
1.235;3.742;337.4;23.9
1.245;3.715;349.0;23.9
1.255;3.683;360.6;23.9
1.265;3.659;372.2;23.9
1.275;3.632;383.8;23.9
1.285;3.610;395.4;23.9
1.295;3.584;407.0;23.9
1.305;3.563;418.5;23.9
1.315;3.539;430.1;23.9
1.325;3.519;441.7;24.0
1.335;3.496;453.3;23.9
1.345;3.478;464.9;23.9
1.345;3.478;475.0;23.9
