ml;pH;sec;°C
0.000;8.057;0.0;23.5
0.000;8.057;0.4;23.5
0.000;8.057;0.8;23.5
0.007;8.058;1.9;23.5
0.015;8.057;3.0;23.5
0.022;8.054;4.2;23.5
0.030;8.048;5.3;23.5
0.038;8.039;6.5;23.5
0.045;8.028;7.6;23.5
0.053;8.015;8.7;23.5
0.060;8.001;9.9;23.5
0.068;7.986;11.0;23.5
0.076;7.969;12.2;23.5
0.083;7.952;13.3;23.5
0.091;7.934;14.5;23.5
0.098;7.915;15.6;23.5
0.106;7.895;16.7;23.5
0.114;7.874;17.9;23.5
0.121;7.852;19.0;23.5
0.129;7.828;20.2;23.5
0.137;7.802;21.3;23.5
0.144;7.775;22.4;23.5
0.152;7.746;23.6;23.5
0.159;7.716;24.7;23.5
0.167;7.685;25.9;23.5
0.175;7.653;27.0;23.5
0.182;7.620;28.1;23.5
0.190;7.584;29.3;23.5
0.197;7.550;30.4;23.5
0.205;7.515;31.6;23.5
0.213;7.481;32.7;23.5
0.220;7.446;33.9;23.5
0.228;7.413;35.0;23.5
0.235;7.382;36.1;23.5
0.243;7.352;37.3;23.5
0.251;7.323;38.4;23.5
0.258;7.296;39.6;23.5
0.266;7.270;40.7;23.5
0.274;7.246;41.8;23.5
0.281;7.223;43.0;23.5
0.289;7.201;44.1;23.5
0.296;7.179;45.3;23.5
0.304;7.157;46.4;23.5
0.312;7.137;47.5;23.5
0.319;7.117;48.7;23.5
0.327;7.098;49.8;23.5
0.334;7.079;51.0;23.5
0.342;7.058;52.1;23.5
0.350;7.040;53.3;23.5
0.357;7.022;54.4;23.5
0.365;7.004;55.5;23.5
0.373;6.987;56.7;23.5
0.380;6.969;57.8;23.5
0.388;6.952;59.0;23.5
0.395;6.935;60.1;23.5
0.403;6.918;61.2;23.5
0.411;6.902;62.4;23.5
0.418;6.886;63.5;23.5
0.426;6.870;64.7;23.5
0.433;6.854;65.8;23.5
0.441;6.839;66.9;23.5
0.449;6.823;68.1;23.5
0.456;6.807;69.2;23.5
0.464;6.791;70.4;23.5
0.472;6.775;71.5;23.5
0.479;6.760;72.7;23.5
0.487;6.744;73.8;23.5
0.494;6.729;74.9;23.5
0.502;6.714;76.1;23.5
0.510;6.698;77.2;23.5
0.517;6.683;78.4;23.5
0.525;6.667;79.5;23.5
0.532;6.651;80.6;23.5
0.540;6.636;81.8;23.5
0.548;6.621;82.9;23.5
0.555;6.606;84.1;23.5
0.563;6.591;85.2;23.5
0.570;6.574;86.3;23.5
0.578;6.559;87.5;23.5
0.586;6.543;88.6;23.5
0.593;6.527;89.8;23.5
0.601;6.512;90.9;23.5
0.608;6.496;92.0;23.5
0.616;6.480;93.2;23.5
0.624;6.464;94.3;23.5
0.631;6.448;95.5;23.5
0.639;6.430;96.6;23.5
0.647;6.414;97.7;23.5
0.654;6.398;98.9;23.5
0.662;6.383;100.0;23.5
0.669;6.367;101.2;23.5
0.677;6.350;102.3;23.5
0.685;6.334;103.4;23.5
0.692;6.313;104.6;23.5
0.700;6.297;105.7;23.5
0.707;6.281;106.9;23.5
0.715;6.265;108.0;23.5
0.723;6.249;109.1;23.5
0.730;6.232;110.3;23.5
0.738;6.215;111.4;23.5
0.745;6.199;112.6;23.5
0.753;6.182;113.7;23.5
0.761;6.164;114.9;23.5
0.768;6.146;116.0;23.5
0.776;6.129;117.1;23.5
0.784;6.111;118.3;23.5
0.791;6.093;119.4;23.5
0.799;6.074;120.6;23.5
0.806;6.055;121.7;23.5
0.814;6.037;122.8;23.5
0.822;6.017;124.0;23.5
0.829;5.997;125.1;23.5
0.837;5.978;126.3;23.5
0.844;5.959;127.4;23.5
0.852;5.939;128.5;23.5
0.860;5.919;129.7;23.5
0.867;5.900;130.8;23.5
0.875;5.879;132.0;23.5
0.882;5.858;133.1;23.5
0.890;5.838;134.3;23.5
0.898;5.816;135.4;23.5
0.905;5.794;136.5;23.5
0.913;5.771;137.7;23.5
0.921;5.749;138.8;23.5
0.928;5.725;140.0;23.5
0.936;5.697;141.1;23.5
0.943;5.671;142.2;23.5
0.951;5.642;143.4;23.5
0.959;5.617;144.5;23.5
0.966;5.588;145.7;23.5
0.974;5.561;146.8;23.5
0.981;5.532;147.9;23.5
0.989;5.499;149.1;23.5
0.997;5.380;150.2;23.5
1.004;5.356;151.4;23.5
1.012;5.337;152.5;23.5
1.019;5.306;153.6;23.5
1.027;5.282;154.8;23.5
1.035;5.253;155.9;23.5
1.042;5.221;157.1;23.5
1.050;5.187;158.2;23.5
1.058;5.151;159.3;23.5
1.065;5.112;160.5;23.5
1.073;5.064;161.6;23.5
1.080;5.020;162.8;23.5
1.088;4.959;163.9;23.5
1.092;4.935;164.5;23.5
1.102;4.614;186.1;23.7
1.112;4.528;197.7;23.7
1.122;4.434;209.3;23.7
1.132;4.345;220.9;23.7
1.142;4.257;232.5;23.7
1.152;4.181;244.1;23.7
1.162;4.107;255.7;23.7
1.172;4.044;267.3;23.7
1.182;3.985;278.9;23.7
1.192;3.935;290.5;23.7
1.202;3.886;302.1;23.7
1.212;3.843;313.7;23.7
1.222;3.803;325.3;23.7
1.232;3.768;336.9;23.7
1.242;3.735;348.5;23.8
1.252;3.706;360.1;23.8
1.262;3.677;371.7;23.7
1.272;3.651;383.3;23.8
1.282;3.625;394.9;23.8
1.292;3.602;406.5;23.8
1.302;3.578;418.1;23.8
1.312;3.556;429.7;23.8
1.322;3.533;441.3;23.8
1.332;3.512;452.9;23.8
1.342;3.490;464.5;23.8
1.342;3.490;474.6;23.8
