ml;pH;sec;°C
0.000;7.975;0.0;23.8
0.000;7.974;0.4;23.8
0.000;7.975;0.8;23.8
0.007;7.975;1.9;23.8
0.015;7.972;3.0;23.8
0.022;7.967;4.2;23.8
0.030;7.956;5.3;23.8
0.038;7.946;6.5;23.8
0.045;7.934;7.6;23.8
0.053;7.922;8.8;23.8
0.060;7.907;9.9;23.8
0.068;7.888;11.0;23.8
0.076;7.871;12.2;23.8
0.083;7.853;13.3;23.8
0.091;7.830;14.5;23.8
0.098;7.752;15.6;23.8
0.106;7.733;16.7;23.8
0.114;7.719;17.9;23.8
0.121;7.702;19.0;23.8
0.129;7.679;20.2;23.8
0.136;7.652;21.3;23.8
0.144;7.628;22.4;23.8
0.152;7.593;23.6;23.8
0.159;7.561;24.7;23.8
0.167;7.534;25.9;23.8
0.175;7.505;27.0;23.8
0.182;7.475;28.1;23.8
0.190;7.441;29.3;23.8
0.197;7.405;30.4;23.8
0.205;7.372;31.6;23.8
0.213;7.341;32.7;23.8
0.220;7.308;33.9;23.8
0.228;7.280;35.0;23.8
0.235;7.245;36.1;23.8
0.243;7.222;37.3;23.8
0.251;7.188;38.4;23.8
0.258;7.167;39.6;23.8
0.266;7.140;40.7;23.8
0.274;7.115;41.8;23.8
0.281;7.086;43.0;23.8
0.289;7.043;44.1;23.8
0.296;7.027;45.3;23.8
0.304;7.010;46.4;23.8
0.312;6.992;47.5;23.8
0.319;6.974;48.7;23.8
0.327;6.949;49.8;23.8
0.334;6.902;51.0;23.8
0.342;6.882;52.1;23.8
0.350;6.833;53.3;23.8
0.357;6.709;54.4;23.8
0.365;6.690;55.5;23.8
0.372;6.678;56.7;23.8
0.380;6.675;57.8;23.8
0.388;6.668;59.0;23.8
0.395;6.655;60.1;23.8
0.403;6.625;61.2;23.8
0.411;6.617;62.4;23.8
0.418;6.611;63.5;23.8
0.426;6.600;64.7;23.8
0.433;6.593;65.8;23.8
0.441;6.585;66.9;23.8
0.449;6.578;68.1;23.8
0.456;6.569;69.2;23.8
0.464;6.561;70.4;23.8
0.471;6.553;71.5;23.8
0.479;6.544;72.6;23.8
0.487;6.535;73.8;23.8
0.494;6.526;74.9;23.8
0.502;6.516;76.1;23.8
0.509;6.499;77.2;23.8
0.517;6.490;78.4;23.8
0.525;6.480;79.5;23.8
0.532;6.470;80.6;23.8
0.540;6.459;81.8;23.8
0.548;6.445;82.9;23.8
0.555;6.434;84.1;23.8
0.563;6.423;85.2;23.8
0.570;6.412;86.3;23.8
0.578;6.401;87.5;23.8
0.586;6.386;88.6;23.8
0.593;6.373;89.8;23.8
0.601;6.361;90.9;23.8
0.608;6.349;92.0;23.8
0.616;6.337;93.2;23.8
0.624;6.325;94.3;23.8
0.631;6.313;95.5;23.8
0.639;6.295;96.6;23.8
0.647;6.279;97.7;23.8
0.654;6.265;98.9;23.8
0.662;6.253;100.0;23.8
0.669;6.240;101.2;23.8
0.677;6.227;102.3;23.8
0.685;6.206;103.5;23.8
0.692;6.194;104.6;23.8
0.700;6.181;105.7;23.8
0.707;6.168;106.9;23.8
0.715;6.154;108.0;23.8
0.723;6.138;109.2;23.8
0.730;6.124;110.3;23.8
0.738;6.110;111.4;23.8
0.746;6.094;112.6;23.8
0.753;6.077;113.7;23.8
0.761;6.061;114.9;23.8
0.768;6.046;116.0;23.8
0.776;6.031;117.1;23.8
0.784;6.014;118.3;23.8
0.791;5.997;119.4;23.8
0.799;5.980;120.6;23.8
0.806;5.962;121.7;23.8
0.814;5.945;122.8;23.8
0.822;5.927;124.0;23.8
0.829;5.906;125.1;23.8
0.837;5.884;126.3;23.8
0.844;5.864;127.4;23.8
0.852;5.843;128.6;23.8
0.860;5.824;129.7;23.8
0.867;5.806;130.8;23.8
0.875;5.782;132.0;23.8
0.882;5.763;133.1;23.8
0.890;5.744;134.3;23.8
0.898;5.726;135.4;23.8
0.905;5.706;136.5;23.8
0.913;5.685;137.7;23.8
0.921;5.665;138.8;23.8
0.928;5.641;140.0;23.8
0.936;5.616;141.1;23.8
0.943;5.586;142.2;23.8
0.951;5.563;143.4;23.8
0.959;5.541;144.5;23.8
0.966;5.516;145.7;23.8
0.974;5.488;146.8;23.8
0.981;5.461;147.9;23.8
0.989;5.434;149.1;23.8
0.997;5.404;150.2;23.8
1.004;5.376;151.4;23.8
1.012;5.343;152.5;23.8
1.020;5.305;153.7;23.8
1.027;5.268;154.8;23.8
1.035;5.228;155.9;23.8
1.042;5.187;157.1;23.8
1.050;5.142;158.2;23.8
1.058;5.092;159.4;23.8
1.065;5.040;160.5;23.8
1.073;4.991;161.6;23.8
1.081;4.927;163.0;23.8
1.091;4.601;184.6;23.9
1.101;4.520;196.2;23.9
1.111;4.424;207.8;23.9
1.121;4.343;219.4;23.9
1.131;4.249;231.0;23.9
1.141;4.179;242.6;23.9
1.151;4.099;254.2;23.9
1.161;4.041;265.8;23.9
1.171;3.978;277.4;23.9
1.181;3.931;289.0;24.0
1.191;3.878;300.6;23.9
1.201;3.840;312.2;24.0
1.211;3.796;323.8;24.0
1.221;3.763;335.4;24.0
1.231;3.727;347.0;24.0
1.241;3.700;358.6;24.0
1.251;3.669;370.2;24.0
1.261;3.645;381.8;24.0
1.271;3.618;393.4;24.0
1.281;3.597;405.0;24.0
1.291;3.572;416.6;24.0
1.301;3.552;428.2;24.0
1.311;3.528;439.8;24.0
1.321;3.508;451.4;24.0
1.331;3.486;463.0;24.0
1.331;3.486;473.1;24.0
