ml;pH;sec;°C
0.000;7.993;0.0;22.5
0.000;7.993;0.4;22.5
0.000;7.993;0.8;22.5
0.007;7.993;1.9;22.5
0.014;7.993;3.0;22.5
0.022;7.986;4.2;22.5
0.030;7.978;5.3;22.5
0.037;7.968;6.5;22.5
0.045;7.954;7.6;22.5
0.052;7.938;8.7;22.5
0.060;7.921;9.9;22.5
0.068;7.902;11.0;22.5
0.075;7.883;12.2;22.5
0.083;7.861;13.3;22.5
0.091;7.837;14.4;22.5
0.098;7.813;15.6;22.5
0.106;7.787;16.7;22.5
0.113;7.761;17.9;22.5
0.121;7.734;19.0;22.5
0.129;7.703;20.2;22.5
0.136;7.672;21.3;22.5
0.144;7.640;22.4;22.5
0.151;7.608;23.6;22.5
0.159;7.573;24.7;22.5
0.167;7.538;25.9;22.5
0.174;7.501;27.0;22.5
0.182;7.464;28.1;22.5
0.189;7.430;29.3;22.5
0.197;7.398;30.4;22.5
0.205;7.360;31.6;22.5
0.212;7.331;32.7;22.5
0.220;7.304;33.8;22.5
0.228;7.271;35.0;22.5
0.235;7.246;36.1;22.5
0.243;7.223;37.3;22.5
0.250;7.199;38.4;22.5
0.258;7.178;39.5;22.5
0.266;7.157;40.7;22.5
0.273;7.136;41.8;22.5
0.281;7.116;43.0;22.5
0.288;7.098;44.1;22.5
0.296;7.077;45.2;22.5
0.304;7.055;46.4;22.5
0.311;7.038;47.5;22.5
0.319;7.018;48.7;22.5
0.326;7.001;49.8;22.5
0.334;6.985;51.0;22.5
0.342;6.968;52.1;22.5
0.349;6.951;53.2;22.5
0.357;6.935;54.4;22.5
0.365;6.920;55.5;22.5
0.372;6.904;56.7;22.5
0.380;6.888;57.8;22.5
0.387;6.873;58.9;22.5
0.395;6.855;60.1;22.5
0.403;6.840;61.2;22.5
0.410;6.824;62.4;22.5
0.418;6.809;63.5;22.5
0.425;6.793;64.6;22.5
0.433;6.778;65.8;22.5
0.441;6.764;66.9;22.5
0.448;6.749;68.1;22.5
0.456;6.734;69.2;22.5
0.463;6.720;70.3;22.5
0.471;6.705;71.5;22.5
0.479;6.691;72.6;22.5
0.486;6.677;73.8;22.5
0.494;6.662;74.9;22.5
0.502;6.647;76.0;22.5
0.509;6.632;77.2;22.5
0.517;6.617;78.3;22.5
0.524;6.602;79.5;22.5
0.532;6.586;80.6;22.5
0.540;6.568;81.7;22.5
0.547;6.553;82.9;22.5
0.555;6.531;84.0;22.5
0.562;6.515;85.2;22.5
0.570;6.501;86.3;22.5
0.578;6.487;87.4;22.5
0.585;6.470;88.6;22.5
0.593;6.453;89.7;22.5
0.600;6.437;90.9;22.5
0.608;6.423;92.0;22.5
0.616;6.405;93.2;22.5
0.623;6.385;94.3;22.5
0.631;6.369;95.4;22.5
0.638;6.350;96.6;22.5
0.646;6.335;97.7;22.5
0.654;6.318;98.9;22.5
0.661;6.302;100.0;22.5
0.669;6.280;101.1;22.5
0.677;6.264;102.3;22.5
0.684;6.248;103.4;22.5
0.692;6.231;104.6;22.5
0.699;6.214;105.7;22.5
0.707;6.196;106.8;22.5
0.715;6.180;108.0;22.5
0.722;6.164;109.1;22.5
0.730;6.147;110.3;22.5
0.737;6.130;111.4;22.5
0.745;6.113;112.5;22.5
0.753;6.095;113.7;22.5
0.760;6.075;114.8;22.5
0.768;6.056;116.0;22.5
0.775;6.036;117.1;22.5
0.783;6.017;118.2;22.5
0.791;5.996;119.4;22.5
0.798;5.977;120.5;22.5
0.806;5.957;121.7;22.5
0.814;5.937;122.8;22.5
0.821;5.916;124.0;22.5
0.829;5.895;125.1;22.5
0.836;5.871;126.2;22.5
0.844;5.851;127.4;22.5
0.852;5.826;128.5;22.5
0.859;5.805;129.7;22.5
0.867;5.781;130.8;22.5
0.874;5.753;131.9;22.5
0.882;5.729;133.1;22.5
0.890;5.704;134.2;22.5
0.897;5.674;135.4;22.5
0.905;5.626;136.5;22.5
0.912;5.591;137.6;22.5
0.920;5.571;138.8;22.5
0.928;5.548;139.9;22.5
0.935;5.524;141.1;22.5
0.943;5.471;142.2;22.5
0.951;5.428;143.3;22.5
0.958;5.400;144.5;22.5
0.966;5.372;145.6;22.5
0.973;5.333;146.8;22.5
0.981;5.299;147.9;22.5
0.989;5.262;149.0;22.5
0.996;5.218;150.2;22.5
1.004;5.177;151.3;22.5
1.011;5.136;152.5;22.5
1.019;5.081;153.6;22.5
1.027;5.028;154.7;22.5
1.034;4.974;155.9;22.5
1.040;4.922;156.8;22.5
1.050;4.595;178.5;22.7
1.060;4.520;190.1;22.7
1.070;4.426;201.7;22.7
1.080;4.351;213.3;22.7
1.090;4.264;224.9;22.7
1.100;4.194;236.5;22.7
1.110;4.114;248.1;22.7
1.120;4.054;259.6;22.7
1.130;3.987;271.2;22.7
1.140;3.938;282.8;22.7
1.150;3.883;294.4;22.7
1.160;3.843;306.0;22.7
1.170;3.799;317.6;22.8
1.180;3.765;329.2;22.7
1.190;3.726;340.8;22.8
1.200;3.697;352.4;22.8
1.210;3.664;364.0;22.8
1.220;3.639;375.6;22.8
1.230;3.610;387.2;22.8
1.240;3.589;398.8;22.8
1.250;3.565;410.4;22.8
1.260;3.545;421.9;22.8
1.270;3.523;433.5;22.8
1.280;3.506;445.1;22.8
1.290;3.485;456.7;22.8
1.290;3.485;466.8;22.8
