ml;pH;sec;°C
0.000;7.955;0.0;23.9
0.000;7.955;0.4;23.9
0.000;7.955;0.8;23.9
0.007;7.953;1.9;23.9
0.015;7.947;3.0;23.9
0.022;7.912;4.2;23.9
0.030;7.806;5.3;23.9
0.037;7.780;6.5;23.9
0.045;7.782;7.6;23.9
0.053;7.775;8.7;23.9
0.060;7.748;9.9;23.9
0.068;7.678;11.0;23.9
0.075;7.656;12.2;23.9
0.083;7.651;13.3;23.9
0.091;7.601;14.4;23.9
0.098;7.567;15.6;23.9
0.106;7.551;16.7;23.9
0.114;7.552;17.9;23.9
0.121;7.507;19.0;23.9
0.129;7.462;20.2;23.9
0.136;7.433;21.3;23.9
0.144;7.415;22.4;23.9
0.152;7.391;23.6;23.9
0.159;7.351;24.7;23.9
0.167;7.302;25.9;23.9
0.174;7.255;27.0;23.9
0.182;7.201;28.1;23.9
0.190;7.174;29.3;23.9
0.197;7.151;30.4;23.9
0.205;7.121;31.6;23.9
0.212;6.976;32.7;23.9
0.220;6.937;33.8;23.9
0.228;6.885;35.0;23.9
0.235;6.871;36.1;23.9
0.243;6.757;37.3;23.9
0.251;6.749;38.4;23.9
0.258;6.709;39.5;23.9
0.266;6.705;40.7;23.9
0.273;6.697;41.8;23.9
0.281;6.679;43.0;23.9
0.289;6.626;44.1;23.9
0.296;6.605;45.3;23.9
0.304;6.549;46.4;23.9
0.311;6.471;47.5;23.9
0.319;6.439;48.7;23.9
0.327;6.429;49.8;23.9
0.334;6.451;51.0;23.9
0.342;6.398;52.1;23.9
0.349;6.411;53.2;23.9
0.357;6.387;54.4;23.9
0.365;6.383;55.5;23.9
0.372;6.384;56.7;23.9
0.380;6.384;57.8;23.9
0.388;6.370;58.9;23.9
0.395;6.337;60.1;23.9
0.403;6.341;61.2;23.9
0.410;6.340;62.4;23.9
0.418;6.336;63.5;23.9
0.426;6.336;64.6;23.9
0.433;6.334;65.8;23.9
0.441;6.334;66.9;23.9
0.448;6.334;68.1;23.9
0.456;6.330;69.2;23.9
0.464;6.328;70.3;23.9
0.471;6.324;71.5;23.9
0.479;6.317;72.6;23.9
0.486;6.306;73.8;23.9
0.494;6.302;74.9;23.9
0.502;6.293;76.0;23.9
0.509;6.288;77.2;23.9
0.517;6.280;78.3;23.9
0.524;6.269;79.5;23.9
0.532;6.255;80.6;23.9
0.540;6.247;81.7;23.9
0.547;6.222;82.9;23.9
0.555;6.211;84.0;23.9
0.563;6.201;85.2;23.9
0.570;6.195;86.3;23.9
0.578;6.174;87.4;23.9
0.585;6.167;88.6;23.9
0.593;6.152;89.7;23.9
0.601;6.112;90.9;23.9
0.608;6.096;92.0;23.9
0.616;6.085;93.2;23.9
0.623;6.075;94.3;23.9
0.631;6.068;95.4;23.9
0.639;6.054;96.6;23.9
0.646;6.050;97.7;23.9
0.654;6.043;98.9;23.9
0.661;6.029;100.0;23.9
0.669;5.995;101.1;23.9
0.677;5.949;102.3;23.9
0.684;5.941;103.4;23.9
0.692;5.928;104.6;23.9
0.700;5.920;105.7;23.9
0.707;5.920;106.8;23.9
0.715;5.914;108.0;23.9
0.722;5.890;109.1;23.9
0.730;5.860;110.3;23.9
0.738;5.845;111.4;23.9
0.745;5.826;112.5;23.9
0.753;5.800;113.7;23.9
0.760;5.786;114.8;23.9
0.768;5.744;116.0;23.9
0.776;5.735;117.1;23.9
0.783;5.711;118.2;23.9
0.791;5.703;119.4;23.9
0.798;5.696;120.5;23.9
0.806;5.695;121.7;23.9
0.814;5.676;122.8;23.9
0.821;5.643;123.9;23.9
0.829;5.644;125.1;23.9
0.836;5.621;126.2;23.9
0.844;5.609;127.4;23.9
0.852;5.612;128.5;23.9
0.859;5.546;129.6;23.9
0.867;5.501;130.8;23.9
0.875;5.491;131.9;23.9
0.882;5.488;133.1;23.9
0.890;5.439;134.2;23.9
0.897;5.437;135.4;23.9
0.905;5.423;136.5;23.9
0.913;5.397;137.6;23.9
0.920;5.366;138.8;23.9
0.928;5.363;139.9;23.9
0.935;5.336;141.1;23.9
0.943;5.338;142.2;23.9
0.951;5.321;143.3;23.9
0.958;5.294;144.5;23.9
0.966;5.290;145.6;23.9
0.973;5.265;146.8;23.9
0.981;5.224;147.9;23.9
0.989;5.170;149.0;23.9
0.996;5.091;150.2;23.9
1.004;5.084;151.3;23.9
1.011;5.085;152.5;23.9
1.019;5.075;153.6;23.9
1.027;5.058;154.7;23.9
1.034;4.973;155.9;23.9
1.042;4.963;157.0;23.9
1.047;4.920;157.8;23.9
1.057;4.884;179.4;24.0
1.067;4.828;191.0;24.0
1.077;4.773;202.6;24.0
1.087;4.697;214.2;24.0
1.097;4.628;225.8;24.0
1.107;4.538;237.4;24.0
1.117;4.459;249.0;24.0
1.127;4.359;260.6;24.0
1.137;4.280;272.2;24.0
1.147;4.193;283.8;24.0
1.157;4.129;295.4;24.0
1.167;4.056;307.0;24.0
1.177;4.002;318.6;24.0
1.187;3.944;330.1;24.1
1.197;3.901;341.7;24.0
1.207;3.852;353.3;24.1
1.217;3.816;364.9;24.1
1.227;3.776;376.5;24.1
1.237;3.746;388.1;24.1
1.247;3.712;399.7;24.1
1.257;3.686;411.3;24.1
1.267;3.657;422.9;24.1
1.277;3.634;434.5;24.1
1.287;3.608;446.1;24.1
1.297;3.586;457.7;24.1
1.307;3.561;469.3;24.1
1.317;3.541;480.9;24.1
1.327;3.517;492.4;24.1
1.337;3.498;504.0;24.1
1.347;3.477;515.6;24.1
1.347;3.476;525.7;24.1
