ml;pH;sec;°C
0.000;8.156;0.0;22.9
0.000;8.156;0.4;22.9
0.000;8.156;0.8;22.9
0.007;8.157;1.9;22.9
0.015;8.156;3.0;22.9
0.022;8.153;4.2;22.9
0.030;8.147;5.3;22.9
0.038;8.138;6.5;22.9
0.045;8.128;7.6;22.9
0.053;8.117;8.7;22.9
0.060;8.105;9.9;22.9
0.068;8.091;11.0;22.9
0.076;8.077;12.2;22.9
0.083;8.061;13.3;22.9
0.091;8.044;14.4;22.9
0.098;8.026;15.6;22.9
0.106;8.004;16.7;22.9
0.114;7.984;17.9;22.9
0.121;7.964;19.0;22.9
0.129;7.942;20.2;22.9
0.136;7.919;21.3;22.9
0.144;7.894;22.4;22.9
0.152;7.869;23.6;22.9
0.159;7.843;24.7;22.9
0.167;7.815;25.9;22.9
0.175;7.784;27.0;22.9
0.182;7.744;28.1;22.9
0.190;7.713;29.3;22.9
0.197;7.681;30.4;22.9
0.205;7.648;31.6;22.9
0.213;7.615;32.7;22.9
0.220;7.578;33.8;22.9
0.228;7.543;35.0;22.9
0.235;7.506;36.1;22.9
0.243;7.470;37.3;22.9
0.251;7.435;38.4;22.9
0.258;7.401;39.5;22.9
0.266;7.368;40.7;22.9
0.273;7.336;41.8;22.9
0.281;7.307;43.0;22.9
0.289;7.277;44.1;22.9
0.296;7.251;45.2;22.9
0.304;7.224;46.4;22.9
0.312;7.199;47.5;22.9
0.319;7.175;48.7;22.9
0.327;7.152;49.8;22.9
0.334;7.129;51.0;22.9
0.342;7.107;52.1;22.9
0.350;7.082;53.2;22.9
0.357;7.060;54.4;22.9
0.365;7.039;55.5;22.9
0.372;7.020;56.7;22.9
0.380;7.000;57.8;22.9
0.388;6.981;58.9;22.9
0.395;6.962;60.1;22.9
0.403;6.944;61.2;22.9
0.410;6.926;62.4;22.9
0.418;6.907;63.5;22.9
0.426;6.889;64.6;22.9
0.433;6.868;65.8;22.9
0.441;6.851;66.9;22.9
0.448;6.834;68.1;22.9
0.456;6.817;69.2;22.9
0.464;6.800;70.3;22.9
0.471;6.782;71.5;22.9
0.479;6.766;72.6;22.9
0.487;6.749;73.8;22.9
0.494;6.732;74.9;22.9
0.502;6.716;76.0;22.9
0.509;6.700;77.2;22.9
0.517;6.684;78.3;22.9
0.525;6.663;79.5;22.9
0.532;6.646;80.6;22.9
0.540;6.630;81.7;22.9
0.547;6.615;82.9;22.9
0.555;6.598;84.0;22.9
0.563;6.582;85.2;22.9
0.570;6.565;86.3;22.9
0.578;6.549;87.5;22.9
0.585;6.532;88.6;22.9
0.593;6.516;89.7;22.9
0.601;6.500;90.9;22.9
0.608;6.484;92.0;22.9
0.616;6.467;93.2;22.9
0.624;6.451;94.3;22.9
0.631;6.435;95.4;22.9
0.639;6.418;96.6;22.9
0.646;6.402;97.7;22.9
0.654;6.386;98.9;22.9
0.662;6.369;100.0;22.9
0.669;6.353;101.1;22.9
0.677;6.330;102.3;22.9
0.684;6.314;103.4;22.9
0.692;6.297;104.6;22.9
0.700;6.281;105.7;22.9
0.707;6.264;106.8;22.9
0.715;6.247;108.0;22.9
0.722;6.230;109.1;22.9
0.730;6.214;110.3;22.9
0.738;6.196;111.4;22.9
0.745;6.178;112.5;22.9
0.753;6.154;113.7;22.9
0.761;6.128;114.8;22.9
0.768;6.110;116.0;22.9
0.776;6.091;117.1;22.9
0.783;6.072;118.3;22.9
0.791;6.054;119.4;22.9
0.799;6.034;120.5;22.9
0.806;6.015;121.7;22.9
0.814;5.996;122.8;22.9
0.821;5.975;124.0;22.9
0.829;5.955;125.1;22.9
0.837;5.936;126.2;22.9
0.844;5.915;127.4;22.9
0.852;5.895;128.5;22.9
0.859;5.875;129.7;22.9
0.867;5.854;130.8;22.9
0.875;5.828;131.9;22.9
0.882;5.804;133.1;22.9
0.890;5.782;134.2;22.9
0.898;5.759;135.4;22.9
0.905;5.736;136.5;22.9
0.913;5.714;137.6;22.9
0.920;5.690;138.8;22.9
0.928;5.664;139.9;22.9
0.936;5.637;141.1;22.9
0.943;5.609;142.2;22.9
0.951;5.581;143.4;22.9
0.958;5.553;144.5;22.9
0.966;5.523;145.6;22.9
0.974;5.486;146.8;22.9
0.981;5.452;147.9;22.9
0.989;5.413;149.1;22.9
0.996;5.379;150.2;22.9
1.004;5.342;151.3;22.9
1.012;5.305;152.5;22.9
1.019;5.265;153.6;22.9
1.027;5.224;154.8;22.9
1.035;5.180;155.9;22.9
1.042;5.118;157.0;22.9
1.050;5.069;158.2;22.9
1.057;5.018;159.3;22.9
1.065;4.963;160.5;22.9
1.069;4.932;161.0;22.9
1.079;4.586;182.7;23.0
1.089;4.496;194.3;23.1
1.099;4.409;205.9;23.1
1.109;4.317;217.5;23.1
1.119;4.233;229.1;23.1
1.129;4.152;240.7;23.1
1.139;4.083;252.3;23.1
1.149;4.016;263.9;23.1
1.159;3.960;275.5;23.1
1.169;3.908;287.1;23.1
1.179;3.863;298.7;23.1
1.189;3.819;310.3;23.1
1.199;3.781;321.9;23.1
1.209;3.744;333.5;23.1
1.219;3.712;345.1;23.2
1.229;3.681;356.7;23.1
1.239;3.653;368.3;23.2
1.249;3.627;379.9;23.2
1.259;3.603;391.5;23.2
1.269;3.579;403.1;23.2
1.279;3.558;414.7;23.2
1.289;3.537;426.3;23.2
1.299;3.517;437.9;23.2
1.309;3.496;449.5;23.2
1.319;3.477;461.1;23.2
1.319;3.477;471.2;23.2
