ml;pH;sec;°C
0.000;8.164;0.0;23.1
0.000;8.164;0.4;23.1
0.000;8.164;0.8;23.1
0.007;8.164;1.9;23.1
0.015;8.163;3.0;23.1
0.022;8.159;4.2;23.1
0.030;8.154;5.3;23.1
0.038;8.146;6.5;23.1
0.045;8.137;7.6;23.1
0.053;8.128;8.8;23.1
0.060;8.114;9.9;23.1
0.068;8.097;11.0;23.1
0.076;8.084;12.2;23.1
0.083;8.070;13.3;23.1
0.091;8.054;14.5;23.1
0.098;8.038;15.6;23.1
0.106;8.020;16.7;23.1
0.114;8.001;17.9;23.1
0.121;7.980;19.0;23.1
0.129;7.960;20.2;23.1
0.137;7.931;21.3;23.1
0.144;7.907;22.4;23.1
0.152;7.884;23.6;23.1
0.159;7.858;24.7;23.1
0.167;7.833;25.9;23.1
0.175;7.807;27.0;23.1
0.182;7.780;28.2;23.1
0.190;7.751;29.3;23.1
0.197;7.722;30.4;23.1
0.205;7.691;31.6;23.1
0.213;7.659;32.7;23.1
0.220;7.625;33.9;23.1
0.228;7.587;35.0;23.1
0.236;7.552;36.1;23.1
0.243;7.515;37.3;23.1
0.251;7.480;38.4;23.1
0.258;7.443;39.6;23.1
0.266;7.388;40.7;23.1
0.274;7.355;41.8;23.1
0.281;7.326;43.0;23.1
0.289;7.299;44.1;23.1
0.296;7.272;45.3;23.1
0.304;7.246;46.4;23.1
0.312;7.222;47.5;23.1
0.319;7.199;48.7;23.1
0.327;7.177;49.8;23.1
0.334;7.154;51.0;23.1
0.342;7.132;52.1;23.1
0.350;7.107;53.3;23.1
0.357;7.085;54.4;23.1
0.365;7.063;55.5;23.1
0.373;7.043;56.7;23.1
0.380;7.024;57.8;23.1
0.388;7.005;59.0;23.1
0.395;6.985;60.1;23.1
0.403;6.966;61.2;23.1
0.411;6.948;62.4;23.1
0.418;6.929;63.5;23.1
0.426;6.907;64.7;23.1
0.434;6.889;65.8;23.1
0.441;6.870;67.0;23.1
0.449;6.853;68.1;23.1
0.456;6.835;69.2;23.1
0.464;6.819;70.4;23.1
0.472;6.801;71.5;23.1
0.479;6.785;72.7;23.1
0.487;6.769;73.8;23.1
0.494;6.751;74.9;23.1
0.502;6.735;76.1;23.1
0.510;6.718;77.2;23.1
0.517;6.697;78.4;23.1
0.525;6.682;79.5;23.1
0.532;6.665;80.6;23.1
0.540;6.644;81.8;23.1
0.548;6.627;82.9;23.1
0.555;6.555;84.1;23.1
0.563;6.544;85.2;23.1
0.571;6.531;86.4;23.1
0.578;6.518;87.5;23.1
0.586;6.505;88.6;23.1
0.593;6.488;89.8;23.1
0.601;6.468;90.9;23.1
0.609;6.455;92.1;23.1
0.616;6.441;93.2;23.1
0.624;6.427;94.3;23.1
0.631;6.412;95.5;23.1
0.639;6.396;96.6;23.1
0.647;6.381;97.8;23.1
0.654;6.353;98.9;23.1
0.662;6.329;100.1;23.1
0.670;6.315;101.2;23.1
0.677;6.299;102.3;23.1
0.685;6.284;103.5;23.1
0.692;6.268;104.6;23.1
0.700;6.255;105.8;23.1
0.708;6.239;106.9;23.1
0.715;6.223;108.0;23.1
0.723;6.202;109.2;23.1
0.730;6.186;110.3;23.1
0.738;6.168;111.5;23.1
0.746;6.149;112.6;23.1
0.753;6.131;113.7;23.1
0.761;6.115;114.9;23.1
0.768;6.096;116.0;23.1
0.776;6.078;117.2;23.1
0.784;6.061;118.3;23.1
0.791;6.042;119.4;23.1
0.799;6.013;120.6;23.1
0.807;5.992;121.7;23.1
0.814;5.974;122.9;23.1
0.822;5.954;124.0;23.1
0.829;5.936;125.1;23.1
0.837;5.914;126.3;23.1
0.845;5.890;127.4;23.1
0.852;5.870;128.6;23.1
0.860;5.850;129.7;23.1
0.867;5.827;130.9;23.1
0.875;5.805;132.0;23.1
0.883;5.784;133.1;23.1
0.890;5.759;134.3;23.1
0.898;5.735;135.4;23.1
0.905;5.710;136.6;23.1
0.913;5.687;137.7;23.1
0.921;5.663;138.8;23.1
0.928;5.633;140.0;23.1
0.936;5.602;141.1;23.1
0.944;5.578;142.3;23.1
0.951;5.543;143.4;23.1
0.959;5.514;144.5;23.1
0.966;5.485;145.7;23.1
0.974;5.446;146.8;23.1
0.982;5.417;148.0;23.1
0.989;5.387;149.1;23.1
0.997;5.348;150.2;23.1
1.004;5.308;151.4;23.1
1.012;5.272;152.5;23.1
1.020;5.235;153.7;23.1
1.027;5.189;154.8;23.1
1.035;5.141;155.9;23.1
1.042;5.095;157.1;23.1
1.050;5.046;158.2;23.1
1.058;4.996;159.4;23.1
1.065;4.932;160.5;23.1
1.075;4.593;182.2;23.3
1.085;4.515;193.8;23.3
1.095;4.419;205.4;23.3
1.105;4.341;217.0;23.3
1.115;4.248;228.6;23.3
1.125;4.176;240.2;23.3
1.135;4.095;251.8;23.3
1.145;4.038;263.4;23.3
1.155;3.972;275.0;23.3
1.165;3.925;286.6;23.3
1.175;3.873;298.2;23.3
1.185;3.835;309.8;23.3
1.195;3.791;321.4;23.3
1.205;3.758;333.0;23.4
1.215;3.721;344.6;23.4
1.225;3.693;356.2;23.4
1.235;3.661;367.8;23.4
1.245;3.637;379.4;23.4
1.255;3.610;391.0;23.4
1.265;3.589;402.6;23.4
1.275;3.564;414.2;23.4
1.285;3.545;425.8;23.4
1.295;3.523;437.4;23.4
1.305;3.505;449.0;23.4
1.315;3.483;460.6;23.4
1.315;3.483;470.7;23.4
