ml;pH;sec;°C
0.000;8.034;0.0;23.5
0.000;8.034;0.4;23.5
0.000;8.034;0.8;23.5
0.007;8.034;1.9;23.5
0.015;8.034;3.0;23.5
0.022;8.031;4.2;23.5
0.030;8.025;5.3;23.5
0.038;8.016;6.5;23.5
0.045;8.007;7.6;23.5
0.053;7.996;8.7;23.5
0.060;7.984;9.9;23.5
0.068;7.970;11.0;23.5
0.076;7.955;12.2;23.5
0.083;7.939;13.3;23.5
0.091;7.923;14.4;23.5
0.098;7.906;15.6;23.5
0.106;7.886;16.7;23.5
0.114;7.867;17.9;23.5
0.121;7.846;19.0;23.5
0.129;7.823;20.2;23.5
0.136;7.799;21.3;23.5
0.144;7.774;22.4;23.5
0.152;7.747;23.6;23.5
0.159;7.720;24.7;23.5
0.167;7.691;25.9;23.5
0.175;7.661;27.0;23.5
0.182;7.631;28.1;23.5
0.190;7.589;29.3;23.5
0.197;7.557;30.4;23.5
0.205;7.526;31.6;23.5
0.213;7.495;32.7;23.5
0.220;7.463;33.8;23.5
0.228;7.428;35.0;23.5
0.235;7.396;36.1;23.5
0.243;7.366;37.3;23.5
0.251;7.338;38.4;23.5
0.258;7.308;39.6;23.5
0.266;7.280;40.7;23.5
0.273;7.255;41.8;23.5
0.281;7.230;43.0;23.5
0.289;7.207;44.1;23.5
0.296;7.186;45.3;23.5
0.304;7.164;46.4;23.5
0.312;7.143;47.5;23.5
0.319;7.121;48.7;23.5
0.327;7.101;49.8;23.5
0.334;7.081;51.0;23.5
0.342;7.062;52.1;23.5
0.350;7.043;53.2;23.5
0.357;7.025;54.4;23.5
0.365;7.007;55.5;23.5
0.372;6.989;56.7;23.5
0.380;6.971;57.8;23.5
0.388;6.953;59.0;23.5
0.395;6.935;60.1;23.5
0.403;6.918;61.2;23.5
0.411;6.902;62.4;23.5
0.418;6.882;63.5;23.5
0.426;6.866;64.7;23.5
0.433;6.849;65.8;23.5
0.441;6.833;66.9;23.5
0.449;6.817;68.1;23.5
0.456;6.801;69.2;23.5
0.464;6.784;70.4;23.5
0.471;6.769;71.5;23.5
0.479;6.752;72.6;23.5
0.487;6.736;73.8;23.5
0.494;6.720;74.9;23.5
0.502;6.705;76.1;23.5
0.509;6.690;77.2;23.5
0.517;6.674;78.3;23.5
0.525;6.657;79.5;23.5
0.532;6.641;80.6;23.5
0.540;6.626;81.8;23.5
0.548;6.610;82.9;23.5
0.555;6.592;84.1;23.5
0.563;6.574;85.2;23.5
0.570;6.558;86.3;23.5
0.578;6.542;87.5;23.5
0.586;6.523;88.6;23.5
0.593;6.506;89.8;23.5
0.601;6.491;90.9;23.5
0.608;6.475;92.0;23.5
0.616;6.460;93.2;23.5
0.624;6.444;94.3;23.5
0.631;6.428;95.5;23.5
0.639;6.412;96.6;23.5
0.647;6.395;97.7;23.5
0.654;6.380;98.9;23.5
0.662;6.362;100.0;23.5
0.669;6.344;101.2;23.5
0.677;6.329;102.3;23.5
0.685;6.312;103.5;23.5
0.692;6.296;104.6;23.5
0.700;6.279;105.7;23.5
0.707;6.262;106.9;23.5
0.715;6.246;108.0;23.5
0.723;6.218;109.2;23.5
0.730;6.203;110.3;23.5
0.738;6.185;111.4;23.5
0.745;6.165;112.6;23.5
0.753;6.149;113.7;23.5
0.761;6.132;114.9;23.5
0.768;6.113;116.0;23.5
0.776;6.095;117.1;23.5
0.784;6.074;118.3;23.5
0.791;6.048;119.4;23.5
0.799;6.031;120.6;23.5
0.806;6.013;121.7;23.5
0.814;5.996;122.9;23.5
0.822;5.977;124.0;23.5
0.829;5.959;125.1;23.5
0.837;5.941;126.3;23.5
0.844;5.918;127.4;23.5
0.852;5.899;128.6;23.5
0.860;5.881;129.7;23.5
0.867;5.862;130.8;23.5
0.875;5.842;132.0;23.5
0.883;5.823;133.1;23.5
0.890;5.804;134.3;23.5
0.898;5.785;135.4;23.5
0.905;5.764;136.5;23.5
0.913;5.740;137.7;23.5
0.921;5.719;138.8;23.5
0.928;5.699;140.0;23.5
0.936;5.677;141.1;23.5
0.943;5.655;142.3;23.5
0.951;5.627;143.4;23.5
0.959;5.602;144.5;23.5
0.966;5.573;145.7;23.5
0.974;5.538;146.8;23.5
0.982;5.508;148.0;23.5
0.989;5.473;149.1;23.5
0.997;5.443;150.2;23.5
1.004;5.401;151.4;23.5
1.012;5.369;152.5;23.5
1.020;5.340;153.7;23.5
1.027;5.304;154.8;23.5
1.035;5.267;155.9;23.5
1.042;5.224;157.1;23.5
1.050;5.187;158.2;23.5
1.058;5.146;159.4;23.5
1.065;5.105;160.5;23.5
1.073;5.038;161.6;23.5
1.080;5.003;162.8;23.5
1.088;4.966;163.9;23.5
1.093;4.934;164.7;23.5
1.103;4.630;186.4;23.6
1.113;4.550;198.0;23.6
1.123;4.450;209.6;23.6
1.133;4.368;221.2;23.6
1.143;4.272;232.8;23.6
1.153;4.200;244.4;23.6
1.163;4.120;256.0;23.7
1.173;4.062;267.6;23.6
1.183;3.997;279.1;23.6
1.193;3.948;290.7;23.7
1.203;3.896;302.3;23.7
1.213;3.856;313.9;23.7
1.223;3.812;325.5;23.7
1.233;3.780;337.1;23.7
1.243;3.743;348.7;23.7
1.253;3.716;360.3;23.7
1.263;3.684;371.9;23.7
1.273;3.660;383.5;23.7
1.283;3.631;395.1;23.7
1.293;3.610;406.7;23.7
1.303;3.583;418.3;23.7
1.313;3.562;429.9;23.7
1.323;3.537;441.5;23.8
1.333;3.518;453.1;23.8
1.343;3.494;464.7;23.7
1.343;3.494;474.8;23.7
