ml;pH;sec;°C
0.000;7.976;0.0;23.6
0.000;7.976;0.4;23.6
0.000;7.976;0.8;23.6
0.007;7.976;1.9;23.6
0.015;7.976;3.0;23.6
0.022;7.973;4.2;23.6
0.030;7.967;5.3;23.6
0.037;7.958;6.5;23.6
0.045;7.947;7.6;23.6
0.053;7.933;8.7;23.6
0.060;7.918;9.9;23.6
0.068;7.902;11.0;23.6
0.075;7.884;12.2;23.6
0.083;7.865;13.3;23.6
0.091;7.845;14.4;23.6
0.098;7.823;15.6;23.6
0.106;7.800;16.7;23.6
0.114;7.775;17.9;23.6
0.121;7.751;19.0;23.6
0.129;7.725;20.1;23.6
0.136;7.696;21.3;23.6
0.144;7.666;22.4;23.6
0.152;7.635;23.6;23.6
0.159;7.604;24.7;23.6
0.167;7.572;25.9;23.6
0.174;7.541;27.0;23.6
0.182;7.510;28.1;23.6
0.190;7.477;29.3;23.6
0.197;7.444;30.4;23.6
0.205;7.412;31.6;23.6
0.212;7.383;32.7;23.6
0.220;7.355;33.8;23.6
0.228;7.327;35.0;23.6
0.235;7.301;36.1;23.6
0.243;7.276;37.3;23.6
0.250;7.251;38.4;23.6
0.258;7.229;39.5;23.6
0.266;7.207;40.7;23.6
0.273;7.186;41.8;23.6
0.281;7.166;43.0;23.6
0.289;7.146;44.1;23.6
0.296;7.126;45.2;23.6
0.304;7.107;46.4;23.6
0.311;7.089;47.5;23.6
0.319;7.071;48.7;23.6
0.327;7.053;49.8;23.6
0.334;7.036;50.9;23.6
0.342;7.018;52.1;23.6
0.349;7.000;53.2;23.6
0.357;6.983;54.4;23.6
0.365;6.966;55.5;23.6
0.372;6.950;56.6;23.6
0.380;6.933;57.8;23.6
0.387;6.917;58.9;23.6
0.395;6.901;60.1;23.6
0.403;6.886;61.2;23.6
0.410;6.870;62.4;23.6
0.418;6.854;63.5;23.6
0.426;6.839;64.6;23.6
0.433;6.824;65.8;23.6
0.441;6.808;66.9;23.6
0.448;6.793;68.1;23.6
0.456;6.777;69.2;23.6
0.464;6.762;70.3;23.6
0.471;6.747;71.5;23.6
0.479;6.732;72.6;23.6
0.486;6.717;73.8;23.6
0.494;6.702;74.9;23.6
0.502;6.688;76.0;23.6
0.509;6.673;77.2;23.6
0.517;6.658;78.3;23.6
0.524;6.643;79.5;23.6
0.532;6.629;80.6;23.6
0.540;6.614;81.7;23.6
0.547;6.599;82.9;23.6
0.555;6.583;84.0;23.6
0.562;6.567;85.2;23.6
0.570;6.552;86.3;23.6
0.578;6.537;87.4;23.6
0.585;6.522;88.6;23.6
0.593;6.506;89.7;23.6
0.601;6.491;90.9;23.6
0.608;6.476;92.0;23.6
0.616;6.460;93.1;23.6
0.623;6.444;94.3;23.6
0.631;6.429;95.4;23.6
0.639;6.413;96.6;23.6
0.646;6.397;97.7;23.6
0.654;6.382;98.8;23.6
0.661;6.366;100.0;23.6
0.669;6.350;101.1;23.6
0.677;6.333;102.3;23.6
0.684;6.316;103.4;23.6
0.692;6.301;104.6;23.6
0.699;6.285;105.7;23.6
0.707;6.269;106.8;23.6
0.715;6.253;108.0;23.6
0.722;6.236;109.1;23.6
0.730;6.219;110.3;23.6
0.738;6.203;111.4;23.6
0.745;6.186;112.5;23.6
0.753;6.169;113.7;23.6
0.760;6.152;114.8;23.6
0.768;6.135;116.0;23.6
0.776;6.118;117.1;23.6
0.783;6.100;118.2;23.6
0.791;6.083;119.4;23.6
0.798;6.064;120.5;23.6
0.806;6.045;121.7;23.6
0.814;6.027;122.8;23.6
0.821;6.008;123.9;23.6
0.829;5.989;125.1;23.6
0.836;5.971;126.2;23.6
0.844;5.951;127.4;23.6
0.852;5.931;128.5;23.6
0.859;5.911;129.6;23.6
0.867;5.890;130.8;23.6
0.875;5.870;131.9;23.6
0.882;5.849;133.1;23.6
0.890;5.828;134.2;23.6
0.897;5.807;135.4;23.6
0.905;5.786;136.5;23.6
0.913;5.764;137.6;23.6
0.920;5.743;138.8;23.6
0.928;5.720;139.9;23.6
0.935;5.697;141.1;23.6
0.943;5.673;142.2;23.6
0.951;5.647;143.3;23.6
0.958;5.569;144.5;23.6
0.966;5.547;145.6;23.6
0.973;5.528;146.8;23.6
0.981;5.508;147.9;23.6
0.989;5.484;149.0;23.6
0.996;5.457;150.2;23.6
1.004;5.429;151.3;23.6
1.011;5.398;152.5;23.6
1.019;5.368;153.6;23.6
1.027;5.338;154.7;23.6
1.034;5.304;155.9;23.6
1.042;5.266;157.0;23.6
1.050;5.226;158.2;23.6
1.057;5.178;159.3;23.6
1.065;5.136;160.4;23.6
1.072;5.094;161.6;23.6
1.080;5.045;162.7;23.6
1.088;4.991;163.9;23.6
1.095;4.934;165.0;23.6
1.105;4.580;186.7;23.8
1.115;4.481;198.3;23.8
1.125;4.400;209.9;23.8
1.135;4.301;221.4;23.8
1.145;4.227;233.0;23.8
1.155;4.144;244.6;23.8
1.165;4.083;256.2;23.8
1.175;4.014;267.8;23.8
1.185;3.965;279.4;23.8
1.195;3.910;291.0;23.9
1.205;3.870;302.6;23.9
1.215;3.823;314.2;23.8
1.225;3.789;325.8;23.9
1.235;3.752;337.4;23.9
1.245;3.724;349.0;23.9
1.255;3.691;360.6;23.9
1.265;3.667;372.1;23.9
1.275;3.639;383.7;23.9
1.285;3.617;395.3;23.9
1.295;3.590;406.9;23.9
1.305;3.569;418.5;23.9
1.315;3.545;430.1;23.9
1.325;3.525;441.7;24.0
1.335;3.502;453.3;23.9
1.345;3.483;464.9;23.9
1.345;3.483;475.0;23.9
