ml;pH;sec;°C
0.000;8.038;0.0;22.5
0.000;8.038;0.4;22.5
0.000;8.038;0.8;22.5
0.007;8.038;1.9;22.5
0.015;8.038;3.0;22.5
0.022;8.035;4.2;22.5
0.030;8.029;5.3;22.5
0.037;8.020;6.5;22.5
0.045;8.010;7.6;22.5
0.053;7.997;8.7;22.5
0.060;7.982;9.9;22.5
0.068;7.966;11.0;22.5
0.075;7.948;12.2;22.5
0.083;7.930;13.3;22.5
0.091;7.910;14.5;22.5
0.098;7.890;15.6;22.5
0.106;7.868;16.7;22.5
0.114;7.845;17.9;22.5
0.121;7.821;19.0;22.5
0.129;7.794;20.2;22.5
0.136;7.767;21.3;22.5
0.144;7.739;22.4;22.5
0.152;7.711;23.6;22.5
0.159;7.682;24.7;22.5
0.167;7.650;25.9;22.5
0.174;7.616;27.0;22.5
0.182;7.584;28.1;22.5
0.190;7.551;29.3;22.5
0.197;7.516;30.4;22.5
0.205;7.482;31.6;22.5
0.212;7.449;32.7;22.5
0.220;7.418;33.8;22.5
0.228;7.388;35.0;22.5
0.235;7.359;36.1;22.5
0.243;7.332;37.3;22.5
0.251;7.306;38.4;22.5
0.258;7.281;39.6;22.5
0.266;7.258;40.7;22.5
0.273;7.234;41.8;22.5
0.281;7.212;43.0;22.5
0.289;7.191;44.1;22.5
0.296;7.171;45.3;22.5
0.304;7.150;46.4;22.5
0.311;7.130;47.5;22.5
0.319;7.110;48.7;22.5
0.327;7.092;49.8;22.5
0.334;7.074;51.0;22.5
0.342;7.056;52.1;22.5
0.349;7.037;53.2;22.5
0.357;7.020;54.4;22.5
0.365;7.003;55.5;22.5
0.372;6.985;56.7;22.5
0.380;6.969;57.8;22.5
0.388;6.952;58.9;22.5
0.395;6.936;60.1;22.5
0.403;6.919;61.2;22.5
0.410;6.903;62.4;22.5
0.418;6.887;63.5;22.5
0.426;6.871;64.7;22.5
0.433;6.856;65.8;22.5
0.441;6.840;66.9;22.5
0.448;6.823;68.1;22.5
0.456;6.808;69.2;22.5
0.464;6.792;70.4;22.5
0.471;6.777;71.5;22.5
0.479;6.761;72.6;22.5
0.486;6.746;73.8;22.5
0.494;6.730;74.9;22.5
0.502;6.714;76.1;22.5
0.509;6.699;77.2;22.5
0.517;6.684;78.3;22.5
0.525;6.669;79.5;22.5
0.532;6.652;80.6;22.5
0.540;6.637;81.8;22.5
0.547;6.620;82.9;22.5
0.555;6.605;84.0;22.5
0.563;6.589;85.2;22.5
0.570;6.574;86.3;22.5
0.578;6.558;87.5;22.5
0.585;6.542;88.6;22.5
0.593;6.526;89.7;22.5
0.601;6.510;90.9;22.5
0.608;6.494;92.0;22.5
0.616;6.478;93.2;22.5
0.623;6.462;94.3;22.5
0.631;6.444;95.4;22.5
0.639;6.427;96.6;22.5
0.646;6.411;97.7;22.5
0.654;6.395;98.9;22.5
0.661;6.378;100.0;22.5
0.669;6.362;101.1;22.5
0.677;6.344;102.3;22.5
0.684;6.327;103.4;22.5
0.692;6.310;104.6;22.5
0.700;6.293;105.7;22.5
0.707;6.275;106.9;22.5
0.715;6.258;108.0;22.5
0.722;6.240;109.1;22.5
0.730;6.222;110.3;22.5
0.738;6.204;111.4;22.5
0.745;6.186;112.6;22.5
0.753;6.167;113.7;22.5
0.760;6.148;114.8;22.5
0.768;6.125;116.0;22.5
0.776;6.087;117.1;22.5
0.783;6.068;118.3;22.5
0.791;6.044;119.4;22.5
0.798;6.020;120.5;22.5
0.806;5.998;121.7;22.5
0.814;5.978;122.8;22.5
0.821;5.956;124.0;22.5
0.829;5.934;125.1;22.5
0.837;5.911;126.2;22.5
0.844;5.887;127.4;22.5
0.852;5.866;128.5;22.5
0.859;5.845;129.7;22.5
0.867;5.823;130.8;22.5
0.875;5.797;131.9;22.5
0.882;5.768;133.1;22.5
0.890;5.741;134.2;22.5
0.897;5.718;135.4;22.5
0.905;5.691;136.5;22.5
0.913;5.667;137.6;22.5
0.920;5.639;138.8;22.5
0.928;5.609;139.9;22.5
0.935;5.577;141.1;22.5
0.943;5.546;142.2;22.5
0.951;5.517;143.4;22.5
0.958;5.485;144.5;22.5
0.966;5.451;145.6;22.5
0.974;5.405;146.8;22.5
0.981;5.367;147.9;22.5
0.989;5.325;149.1;22.5
0.996;5.285;150.2;22.5
1.004;5.240;151.3;22.5
1.012;5.197;152.5;22.5
1.019;5.149;153.6;22.5
1.027;5.093;154.8;22.5
1.034;5.033;155.9;22.5
1.042;4.973;157.0;22.5
1.047;4.927;157.8;22.5
1.057;4.521;179.5;22.7
1.067;4.435;191.1;22.7
1.077;4.351;202.6;22.7
1.087;4.273;214.2;22.7
1.097;4.193;225.8;22.7
1.107;4.123;237.4;22.7
1.117;4.055;249.0;22.7
1.127;3.996;260.6;22.7
1.137;3.937;272.2;22.7
1.147;3.889;283.8;22.7
1.157;3.843;295.4;22.7
1.167;3.803;307.0;22.7
1.177;3.764;318.6;22.7
1.187;3.730;330.2;22.8
1.197;3.696;341.8;22.8
1.207;3.667;353.3;22.8
1.217;3.638;364.9;22.8
1.227;3.612;376.5;22.8
1.237;3.588;388.1;22.8
1.247;3.565;399.7;22.8
1.257;3.543;411.3;22.8
1.267;3.524;422.9;22.8
1.277;3.504;434.5;22.8
1.287;3.486;446.1;22.8
1.287;3.486;456.1;22.8
