ml;pH;sec;°C
0.000;7.976;0.0;23.3
0.000;7.976;0.4;23.3
0.000;7.976;0.8;23.3
0.007;7.976;1.9;23.3
0.015;7.976;3.0;23.3
0.022;7.973;4.2;23.3
0.030;7.967;5.3;23.3
0.037;7.958;6.5;23.3
0.045;7.947;7.6;23.3
0.053;7.934;8.7;23.3
0.060;7.920;9.9;23.3
0.068;7.904;11.0;23.3
0.075;7.887;12.2;23.3
0.083;7.868;13.3;23.3
0.091;7.849;14.4;23.3
0.098;7.828;15.6;23.3
0.106;7.805;16.7;23.3
0.114;7.782;17.9;23.3
0.121;7.755;19.0;23.3
0.129;7.730;20.2;23.3
0.136;7.702;21.3;23.3
0.144;7.675;22.4;23.3
0.152;7.647;23.6;23.3
0.159;7.617;24.7;23.3
0.167;7.586;25.9;23.3
0.174;7.556;27.0;23.3
0.182;7.523;28.1;23.3
0.190;7.490;29.3;23.3
0.197;7.458;30.4;23.3
0.205;7.426;31.6;23.3
0.212;7.396;32.7;23.3
0.220;7.366;33.8;23.3
0.228;7.338;35.0;23.3
0.235;7.312;36.1;23.3
0.243;7.287;37.3;23.3
0.250;7.261;38.4;23.3
0.258;7.238;39.5;23.3
0.266;7.215;40.7;23.3
0.273;7.193;41.8;23.3
0.281;7.173;43.0;23.3
0.289;7.152;44.1;23.3
0.296;7.132;45.2;23.3
0.304;7.113;46.4;23.3
0.311;7.095;47.5;23.3
0.319;7.076;48.7;23.3
0.327;7.058;49.8;23.3
0.334;7.040;50.9;23.3
0.342;7.023;52.1;23.3
0.349;7.005;53.2;23.3
0.357;6.989;54.4;23.3
0.365;6.972;55.5;23.3
0.372;6.956;56.7;23.3
0.380;6.939;57.8;23.3
0.387;6.923;58.9;23.3
0.395;6.907;60.1;23.3
0.403;6.890;61.2;23.3
0.410;6.874;62.4;23.3
0.418;6.859;63.5;23.3
0.426;6.843;64.6;23.3
0.433;6.828;65.8;23.3
0.441;6.812;66.9;23.3
0.448;6.796;68.1;23.3
0.456;6.781;69.2;23.3
0.464;6.766;70.3;23.3
0.471;6.752;71.5;23.3
0.479;6.737;72.6;23.3
0.486;6.722;73.8;23.3
0.494;6.707;74.9;23.3
0.502;6.691;76.0;23.3
0.509;6.677;77.2;23.3
0.517;6.662;78.3;23.3
0.524;6.647;79.5;23.3
0.532;6.633;80.6;23.3
0.540;6.618;81.7;23.3
0.547;6.603;82.9;23.3
0.555;6.588;84.0;23.3
0.562;6.573;85.2;23.3
0.570;6.558;86.3;23.3
0.578;6.543;87.4;23.3
0.585;6.527;88.6;23.3
0.593;6.512;89.7;23.3
0.601;6.497;90.9;23.3
0.608;6.481;92.0;23.3
0.616;6.466;93.2;23.3
0.623;6.451;94.3;23.3
0.631;6.433;95.4;23.3
0.639;6.418;96.6;23.3
0.646;6.402;97.7;23.3
0.654;6.382;98.9;23.3
0.661;6.364;100.0;23.3
0.669;6.348;101.1;23.3
0.677;6.333;102.3;23.3
0.684;6.318;103.4;23.3
0.692;6.302;104.6;23.3
0.699;6.287;105.7;23.3
0.707;6.271;106.8;23.3
0.715;6.255;108.0;23.3
0.722;6.238;109.1;23.3
0.730;6.220;110.3;23.3
0.738;6.204;111.4;23.3
0.745;6.188;112.5;23.3
0.753;6.171;113.7;23.3
0.760;6.154;114.8;23.3
0.768;6.136;116.0;23.3
0.776;6.119;117.1;23.3
0.783;6.101;118.2;23.3
0.791;6.083;119.4;23.3
0.798;6.065;120.5;23.3
0.806;6.047;121.7;23.3
0.814;6.028;122.8;23.3
0.821;6.009;123.9;23.3
0.829;5.991;125.1;23.3
0.836;5.972;126.2;23.3
0.844;5.953;127.4;23.3
0.852;5.933;128.5;23.3
0.859;5.913;129.6;23.3
0.867;5.893;130.8;23.3
0.874;5.873;131.9;23.3
0.882;5.853;133.1;23.3
0.890;5.833;134.2;23.3
0.897;5.810;135.3;23.3
0.905;5.788;136.5;23.3
0.913;5.767;137.6;23.3
0.920;5.745;138.8;23.3
0.928;5.722;139.9;23.3
0.935;5.698;141.1;23.3
0.943;5.674;142.2;23.3
0.951;5.650;143.3;23.3
0.958;5.623;144.5;23.3
0.966;5.597;145.6;23.3
0.973;5.569;146.8;23.3
0.981;5.542;147.9;23.3
0.989;5.515;149.0;23.3
0.996;5.486;150.2;23.3
1.004;5.455;151.3;23.3
1.011;5.422;152.5;23.3
1.019;5.388;153.6;23.3
1.027;5.353;154.7;23.3
1.034;5.317;155.9;23.3
1.042;5.280;157.0;23.3
1.050;5.240;158.2;23.3
1.057;5.196;159.3;23.3
1.065;5.151;160.4;23.3
1.072;5.102;161.6;23.3
1.080;5.053;162.7;23.3
1.088;5.001;163.9;23.3
1.095;4.947;165.0;23.3
1.097;4.928;165.4;23.3
1.107;4.588;187.1;23.5
1.117;4.495;198.6;23.5
1.127;4.408;210.2;23.5
1.137;4.315;221.8;23.5
1.147;4.233;233.4;23.5
1.157;4.156;245.0;23.6
1.167;4.089;256.6;23.6
1.177;4.025;268.2;23.6
1.187;3.971;279.8;23.6
1.197;3.919;291.4;23.6
1.207;3.875;303.0;23.6
1.217;3.831;314.6;23.6
1.227;3.794;326.1;23.6
1.237;3.759;337.7;23.6
1.247;3.728;349.3;23.6
1.257;3.698;360.9;23.6
1.267;3.671;372.5;23.7
1.277;3.645;384.1;23.7
1.287;3.620;395.7;23.7
1.297;3.595;407.3;23.7
1.307;3.572;418.9;23.7
1.317;3.549;430.5;23.7
1.327;3.527;442.1;23.7
1.337;3.505;453.7;23.7
1.347;3.485;465.3;23.7
1.347;3.485;475.3;23.7
