ml;pH;sec;°C
0.000;8.167;0.0;23.0
0.000;8.166;0.4;23.0
0.000;8.166;0.8;23.0
0.007;8.167;1.9;23.0
0.015;8.165;3.0;23.0
0.022;8.161;4.2;23.0
0.030;8.152;5.3;23.0
0.038;8.143;6.5;23.0
0.045;8.134;7.6;23.0
0.053;8.123;8.8;23.0
0.060;8.109;9.9;23.0
0.068;8.095;11.0;23.0
0.076;8.080;12.2;23.0
0.083;8.064;13.3;23.0
0.091;8.048;14.5;23.0
0.098;8.031;15.6;23.0
0.106;8.012;16.7;23.0
0.114;7.993;17.9;23.0
0.121;7.973;19.0;23.0
0.129;7.951;20.2;23.0
0.136;7.929;21.3;23.0
0.144;7.905;22.4;23.0
0.152;7.880;23.6;23.0
0.159;7.855;24.7;23.0
0.167;7.828;25.9;23.0
0.175;7.800;27.0;23.0
0.182;7.769;28.1;23.0
0.190;7.736;29.3;23.0
0.197;7.705;30.4;23.0
0.205;7.675;31.6;23.0
0.213;7.647;32.7;23.0
0.220;7.621;33.9;23.0
0.228;7.596;35.0;23.0
0.235;7.572;36.1;23.0
0.243;7.550;37.3;23.0
0.251;7.526;38.4;23.0
0.258;7.499;39.6;23.0
0.266;7.474;40.7;23.0
0.274;7.443;41.8;23.0
0.281;7.414;43.0;23.0
0.289;7.385;44.1;23.0
0.296;7.348;45.3;23.0
0.304;7.319;46.4;23.0
0.312;7.291;47.5;23.0
0.319;7.264;48.7;23.0
0.327;7.240;49.8;23.0
0.334;7.215;51.0;23.0
0.342;7.193;52.1;23.0
0.350;7.170;53.3;23.0
0.357;7.149;54.4;23.0
0.365;7.128;55.5;23.0
0.372;7.108;56.7;23.0
0.380;7.087;57.8;23.0
0.388;7.063;59.0;23.0
0.395;7.044;60.1;23.0
0.403;7.025;61.2;23.0
0.411;7.006;62.4;23.0
0.418;6.975;63.5;23.0
0.426;6.957;64.7;23.0
0.433;6.941;65.8;23.0
0.441;6.924;66.9;23.0
0.449;6.908;68.1;23.0
0.456;6.892;69.2;23.0
0.464;6.875;70.4;23.0
0.471;6.859;71.5;23.0
0.479;6.843;72.6;23.0
0.487;6.824;73.8;23.0
0.494;6.807;74.9;23.0
0.502;6.789;76.1;23.0
0.509;6.768;77.2;23.0
0.517;6.749;78.3;23.0
0.525;6.733;79.5;23.0
0.532;6.718;80.6;23.0
0.540;6.703;81.8;23.0
0.548;6.686;82.9;23.0
0.555;6.664;84.1;23.0
0.563;6.649;85.2;23.0
0.570;6.635;86.3;23.0
0.578;6.620;87.5;23.0
0.586;6.605;88.6;23.0
0.593;6.588;89.8;23.0
0.601;6.570;90.9;23.0
0.608;6.554;92.0;23.0
0.616;6.539;93.2;23.0
0.624;6.524;94.3;23.0
0.631;6.508;95.5;23.0
0.639;6.493;96.6;23.0
0.647;6.477;97.7;23.0
0.654;6.460;98.9;23.0
0.662;6.443;100.0;23.0
0.669;6.425;101.2;23.0
0.677;6.404;102.3;23.0
0.685;6.384;103.4;23.0
0.692;6.366;104.6;23.0
0.700;6.350;105.7;23.0
0.707;6.330;106.9;23.0
0.715;6.314;108.0;23.0
0.723;6.297;109.2;23.0
0.730;6.280;110.3;23.0
0.738;6.263;111.4;23.0
0.745;6.239;112.6;23.0
0.753;6.222;113.7;23.0
0.761;6.189;114.9;23.0
0.768;6.171;116.0;23.0
0.776;6.153;117.1;23.0
0.784;6.137;118.3;23.0
0.791;6.115;119.4;23.0
0.799;6.098;120.6;23.0
0.806;6.081;121.7;23.0
0.814;6.065;122.8;23.0
0.822;6.046;124.0;23.0
0.829;6.028;125.1;23.0
0.837;6.009;126.3;23.0
0.844;5.988;127.4;23.0
0.852;5.970;128.6;23.0
0.860;5.950;129.7;23.0
0.867;5.928;130.8;23.0
0.875;5.909;132.0;23.0
0.883;5.882;133.1;23.0
0.890;5.865;134.3;23.0
0.898;5.848;135.4;23.0
0.905;5.829;136.5;23.0
0.913;5.802;137.7;23.0
0.921;5.784;138.8;23.0
0.928;5.752;140.0;23.0
0.936;5.726;141.1;23.0
0.943;5.692;142.2;23.0
0.951;5.676;143.4;23.0
0.959;5.635;144.5;23.0
0.966;5.611;145.7;23.0
0.974;5.590;146.8;23.0
0.982;5.555;148.0;23.0
0.989;5.532;149.1;23.0
0.997;5.513;150.2;23.0
1.004;5.470;151.4;23.0
1.012;5.438;152.5;23.0
1.020;5.409;153.7;23.0
1.027;5.381;154.8;23.0
1.035;5.352;155.9;23.0
1.042;5.326;157.1;23.0
1.050;5.274;158.2;23.0
1.058;5.240;159.4;23.0
1.065;5.206;160.5;23.0
1.073;5.176;161.7;23.0
1.081;5.138;162.8;23.0
1.088;5.099;163.9;23.0
1.096;5.055;165.1;23.0
1.103;5.008;166.2;23.0
1.111;4.950;167.4;23.0
1.113;4.932;167.7;23.0
1.123;4.650;189.4;23.1
1.133;4.552;201.0;23.2
1.143;4.458;212.6;23.1
1.153;4.363;224.2;23.2
1.163;4.277;235.8;23.2
1.173;4.193;247.4;23.2
1.183;4.121;259.0;23.2
1.193;4.054;270.6;23.2
1.203;3.997;282.2;23.2
1.213;3.942;293.8;23.2
1.223;3.894;305.4;23.2
1.233;3.851;317.0;23.2
1.243;3.812;328.6;23.2
1.253;3.776;340.2;23.2
1.263;3.743;351.8;23.2
1.273;3.712;363.4;23.2
1.283;3.684;375.0;23.2
1.293;3.656;386.6;23.3
1.303;3.630;398.2;23.3
1.313;3.604;409.8;23.3
1.323;3.580;421.4;23.3
1.333;3.555;433.0;23.3
1.343;3.532;444.6;23.3
1.353;3.510;456.2;23.3
1.363;3.491;467.8;23.3
1.363;3.490;477.9;23.3
