ml;pH;sec;°C
0.000;7.976;0.0;23.6
0.000;7.976;0.4;23.6
0.000;7.976;0.8;23.6
0.007;7.976;1.9;23.6
0.015;7.976;3.0;23.6
0.022;7.972;4.2;23.6
0.030;7.964;5.3;23.6
0.038;7.955;6.5;23.6
0.045;7.944;7.6;23.6
0.053;7.931;8.7;23.6
0.060;7.915;9.9;23.6
0.068;7.899;11.0;23.6
0.076;7.879;12.2;23.6
0.083;7.860;13.3;23.6
0.091;7.841;14.4;23.6
0.098;7.821;15.6;23.6
0.106;7.800;16.7;23.6
0.114;7.775;17.9;23.6
0.121;7.750;19.0;23.6
0.129;7.724;20.2;23.6
0.136;7.698;21.3;23.6
0.144;7.670;22.4;23.6
0.152;7.640;23.6;23.6
0.159;7.609;24.7;23.6
0.167;7.577;25.9;23.6
0.174;7.544;27.0;23.6
0.182;7.511;28.1;23.6
0.190;7.477;29.3;23.6
0.197;7.445;30.4;23.6
0.205;7.413;31.6;23.6
0.213;7.382;32.7;23.6
0.220;7.351;33.8;23.6
0.228;7.323;35.0;23.6
0.235;7.297;36.1;23.6
0.243;7.271;37.3;23.6
0.251;7.247;38.4;23.6
0.258;7.223;39.5;23.6
0.266;7.200;40.7;23.6
0.273;7.179;41.8;23.6
0.281;7.159;43.0;23.6
0.289;7.139;44.1;23.6
0.296;7.119;45.2;23.6
0.304;7.100;46.4;23.6
0.311;7.082;47.5;23.6
0.319;7.063;48.7;23.6
0.327;7.045;49.8;23.6
0.334;7.027;50.9;23.6
0.342;7.009;52.1;23.6
0.350;6.992;53.2;23.6
0.357;6.975;54.4;23.6
0.365;6.958;55.5;23.6
0.372;6.942;56.7;23.6
0.380;6.925;57.8;23.6
0.388;6.909;58.9;23.6
0.395;6.891;60.1;23.6
0.403;6.875;61.2;23.6
0.410;6.860;62.4;23.6
0.418;6.845;63.5;23.6
0.426;6.829;64.6;23.6
0.433;6.813;65.8;23.6
0.441;6.797;66.9;23.6
0.448;6.782;68.1;23.6
0.456;6.767;69.2;23.6
0.464;6.752;70.3;23.6
0.471;6.737;71.5;23.6
0.479;6.722;72.6;23.6
0.487;6.707;73.8;23.6
0.494;6.692;74.9;23.6
0.502;6.678;76.0;23.6
0.509;6.663;77.2;23.6
0.517;6.648;78.3;23.6
0.525;6.633;79.5;23.6
0.532;6.618;80.6;23.6
0.540;6.603;81.8;23.6
0.547;6.588;82.9;23.6
0.555;6.573;84.0;23.6
0.563;6.558;85.2;23.6
0.570;6.543;86.3;23.6
0.578;6.527;87.5;23.6
0.585;6.512;88.6;23.6
0.593;6.497;89.7;23.6
0.601;6.482;90.9;23.6
0.608;6.466;92.0;23.6
0.616;6.451;93.2;23.6
0.624;6.435;94.3;23.6
0.631;6.420;95.4;23.6
0.639;6.405;96.6;23.6
0.646;6.389;97.7;23.6
0.654;6.371;98.9;23.6
0.662;6.353;100.0;23.6
0.669;6.337;101.1;23.6
0.677;6.321;102.3;23.6
0.684;6.304;103.4;23.6
0.692;6.286;104.6;23.6
0.700;6.270;105.7;23.6
0.707;6.254;106.8;23.6
0.715;6.238;108.0;23.6
0.722;6.221;109.1;23.6
0.730;6.205;110.3;23.6
0.738;6.188;111.4;23.6
0.745;6.171;112.5;23.6
0.753;6.154;113.7;23.6
0.760;6.137;114.8;23.6
0.768;6.118;116.0;23.6
0.776;6.101;117.1;23.6
0.783;6.084;118.3;23.6
0.791;6.065;119.4;23.6
0.799;6.044;120.5;23.6
0.806;6.026;121.7;23.6
0.814;6.008;122.8;23.6
0.821;5.989;124.0;23.6
0.829;5.969;125.1;23.6
0.837;5.948;126.2;23.6
0.844;5.929;127.4;23.6
0.852;5.907;128.5;23.6
0.859;5.888;129.7;23.6
0.867;5.868;130.8;23.6
0.875;5.840;131.9;23.6
0.882;5.818;133.1;23.6
0.890;5.797;134.2;23.6
0.897;5.776;135.4;23.6
0.905;5.753;136.5;23.6
0.913;5.721;137.6;23.6
0.920;5.700;138.8;23.6
0.928;5.680;139.9;23.6
0.936;5.652;141.1;23.6
0.943;5.630;142.2;23.6
0.951;5.607;143.3;23.6
0.958;5.581;144.5;23.6
0.966;5.553;145.6;23.6
0.974;5.523;146.8;23.6
0.981;5.495;147.9;23.6
0.989;5.458;149.1;23.6
0.996;5.429;150.2;23.6
1.004;5.399;151.3;23.6
1.012;5.368;152.5;23.6
1.019;5.331;153.6;23.6
1.027;5.292;154.8;23.6
1.034;5.248;155.9;23.6
1.042;5.208;157.0;23.6
1.050;5.168;158.2;23.6
1.057;5.126;159.3;23.6
1.065;5.080;160.5;23.6
1.073;5.031;161.6;23.6
1.080;4.982;162.7;23.6
1.086;4.935;163.7;23.6
1.096;4.605;185.3;23.8
1.106;4.520;196.9;23.8
1.116;4.428;208.5;23.7
1.126;4.342;220.1;23.8
1.136;4.253;231.7;23.8
1.146;4.176;243.3;23.8
1.156;4.103;254.9;23.8
1.166;4.042;266.5;23.8
1.176;3.982;278.1;23.8
1.186;3.932;289.7;23.8
1.196;3.884;301.3;23.8
1.206;3.842;312.9;23.8
1.216;3.800;324.5;23.8
1.226;3.765;336.1;23.8
1.236;3.733;347.6;23.9
1.246;3.703;359.2;23.8
1.256;3.674;370.8;23.8
1.266;3.648;382.4;23.9
1.276;3.623;394.0;23.9
1.286;3.600;405.6;23.9
1.296;3.576;417.2;23.9
1.306;3.554;428.8;23.9
1.316;3.531;440.4;23.9
1.326;3.511;452.0;23.9
1.336;3.489;463.6;23.9
1.336;3.489;473.6;23.9
