ml;pH;sec;°C
0.000;7.976;0.0;23.5
0.000;7.977;0.4;23.5
0.000;7.977;0.8;23.5
0.007;7.977;1.9;23.5
0.015;7.976;3.0;23.5
0.022;7.972;4.2;23.5
0.030;7.964;5.3;23.5
0.037;7.954;6.5;23.5
0.045;7.941;7.6;23.5
0.053;7.927;8.7;23.5
0.060;7.911;9.9;23.5
0.068;7.894;11.0;23.5
0.075;7.876;12.2;23.5
0.083;7.856;13.3;23.5
0.091;7.835;14.4;23.5
0.098;7.814;15.6;23.5
0.106;7.790;16.7;23.5
0.114;7.765;17.9;23.5
0.121;7.738;19.0;23.5
0.129;7.710;20.1;23.5
0.136;7.682;21.3;23.5
0.144;7.651;22.4;23.5
0.152;7.621;23.6;23.5
0.159;7.588;24.7;23.5
0.167;7.555;25.9;23.5
0.174;7.520;27.0;23.5
0.182;7.486;28.1;23.5
0.190;7.452;29.3;23.5
0.197;7.419;30.4;23.5
0.205;7.388;31.6;23.5
0.212;7.358;32.7;23.5
0.220;7.329;33.8;23.5
0.228;7.302;35.0;23.5
0.235;7.275;36.1;23.5
0.243;7.251;37.3;23.5
0.251;7.228;38.4;23.5
0.258;7.205;39.5;23.5
0.266;7.183;40.7;23.5
0.273;7.163;41.8;23.5
0.281;7.143;43.0;23.5
0.289;7.124;44.1;23.5
0.296;7.105;45.2;23.5
0.304;7.086;46.4;23.5
0.311;7.067;47.5;23.5
0.319;7.049;48.7;23.5
0.327;7.032;49.8;23.5
0.334;7.015;50.9;23.5
0.342;6.998;52.1;23.5
0.349;6.981;53.2;23.5
0.357;6.964;54.4;23.5
0.365;6.946;55.5;23.5
0.372;6.930;56.6;23.5
0.380;6.914;57.8;23.5
0.387;6.898;58.9;23.5
0.395;6.873;60.1;23.5
0.403;6.858;61.2;23.5
0.410;6.843;62.3;23.5
0.418;6.828;63.5;23.5
0.426;6.813;64.6;23.5
0.433;6.798;65.8;23.5
0.441;6.783;66.9;23.5
0.448;6.766;68.1;23.5
0.456;6.752;69.2;23.5
0.464;6.737;70.3;23.5
0.471;6.723;71.5;23.5
0.479;6.708;72.6;23.5
0.486;6.694;73.8;23.5
0.494;6.680;74.9;23.5
0.502;6.665;76.0;23.5
0.509;6.651;77.2;23.5
0.517;6.637;78.3;23.5
0.524;6.622;79.5;23.5
0.532;6.608;80.6;23.5
0.540;6.594;81.7;23.5
0.547;6.579;82.9;23.5
0.555;6.564;84.0;23.5
0.563;6.550;85.2;23.5
0.570;6.535;86.3;23.5
0.578;6.518;87.4;23.5
0.585;6.504;88.6;23.5
0.593;6.489;89.7;23.5
0.601;6.474;90.9;23.5
0.608;6.458;92.0;23.5
0.616;6.443;93.1;23.5
0.623;6.427;94.3;23.5
0.631;6.412;95.4;23.5
0.639;6.392;96.6;23.5
0.646;6.372;97.7;23.5
0.654;6.357;98.8;23.5
0.661;6.342;100.0;23.5
0.669;6.327;101.1;23.5
0.677;6.312;102.3;23.5
0.684;6.296;103.4;23.5
0.692;6.281;104.6;23.5
0.699;6.265;105.7;23.5
0.707;6.249;106.8;23.5
0.715;6.232;108.0;23.5
0.722;6.215;109.1;23.5
0.730;6.199;110.3;23.5
0.738;6.183;111.4;23.5
0.745;6.166;112.5;23.5
0.753;6.149;113.7;23.5
0.760;6.132;114.8;23.5
0.768;6.115;116.0;23.5
0.776;6.096;117.1;23.5
0.783;6.078;118.2;23.5
0.791;6.061;119.4;23.5
0.798;6.042;120.5;23.5
0.806;6.023;121.7;23.5
0.814;6.004;122.8;23.5
0.821;5.985;123.9;23.5
0.829;5.967;125.1;23.5
0.836;5.948;126.2;23.5
0.844;5.929;127.4;23.5
0.852;5.909;128.5;23.5
0.859;5.889;129.6;23.5
0.867;5.869;130.8;23.5
0.874;5.849;131.9;23.5
0.882;5.828;133.1;23.5
0.890;5.802;134.2;23.5
0.897;5.780;135.3;23.5
0.905;5.748;136.5;23.5
0.913;5.726;137.6;23.5
0.920;5.705;138.8;23.5
0.928;5.681;139.9;23.5
0.935;5.658;141.0;23.5
0.943;5.634;142.2;23.5
0.951;5.610;143.3;23.5
0.958;5.582;144.5;23.5
0.966;5.556;145.6;23.5
0.973;5.529;146.8;23.5
0.981;5.501;147.9;23.5
0.989;5.472;149.0;23.5
0.996;5.439;150.2;23.5
1.004;5.409;151.3;23.5
1.011;5.372;152.5;23.5
1.019;5.337;153.6;23.5
1.027;5.302;154.7;23.5
1.034;5.266;155.9;23.5
1.042;5.226;157.0;23.5
1.050;5.182;158.2;23.5
1.057;5.140;159.3;23.5
1.065;5.094;160.4;23.5
1.072;5.044;161.6;23.5
1.080;4.989;162.7;23.5
1.087;4.929;163.9;23.5
1.097;4.616;185.5;23.7
1.107;4.530;197.1;23.7
1.117;4.437;208.7;23.7
1.127;4.351;220.3;23.7
1.137;4.263;231.9;23.7
1.147;4.185;243.5;23.7
1.157;4.111;255.1;23.7
1.167;4.048;266.7;23.7
1.177;3.988;278.3;23.8
1.187;3.937;289.9;23.7
1.197;3.889;301.5;23.8
1.207;3.846;313.1;23.7
1.217;3.805;324.6;23.8
1.227;3.769;336.2;23.8
1.237;3.736;347.8;23.8
1.247;3.706;359.4;23.8
1.257;3.677;371.0;23.8
1.267;3.652;382.6;23.8
1.277;3.626;394.2;23.8
1.287;3.603;405.8;23.8
1.297;3.579;417.4;23.8
1.307;3.557;429.0;23.8
1.317;3.534;440.6;23.8
1.327;3.514;452.2;23.8
1.337;3.492;463.8;23.8
1.337;3.492;473.8;23.8
