ml;pH;sec;°C
0.000;8.035;0.0;23.4
0.000;8.035;0.4;23.4
0.000;8.035;0.8;23.4
0.007;8.035;1.9;23.4
0.015;8.035;3.0;23.4
0.022;8.032;4.2;23.4
0.030;8.025;5.3;23.4
0.038;8.018;6.5;23.4
0.045;8.007;7.6;23.4
0.053;7.995;8.7;23.4
0.060;7.982;9.9;23.4
0.068;7.967;11.0;23.4
0.076;7.952;12.2;23.4
0.083;7.936;13.3;23.4
0.091;7.917;14.5;23.4
0.098;7.898;15.6;23.4
0.106;7.879;16.7;23.4
0.114;7.859;17.9;23.4
0.121;7.837;19.0;23.4
0.129;7.814;20.2;23.4
0.136;7.790;21.3;23.4
0.144;7.764;22.4;23.4
0.152;7.738;23.6;23.4
0.159;7.712;24.7;23.4
0.167;7.682;25.9;23.4
0.175;7.652;27.0;23.4
0.182;7.621;28.1;23.4
0.190;7.589;29.3;23.4
0.197;7.555;30.4;23.4
0.205;7.521;31.6;23.4
0.213;7.488;32.7;23.4
0.220;7.455;33.8;23.4
0.228;7.423;35.0;23.4
0.235;7.393;36.1;23.4
0.243;7.364;37.3;23.4
0.251;7.334;38.4;23.4
0.258;7.308;39.5;23.4
0.266;7.282;40.7;23.4
0.273;7.257;41.8;23.4
0.281;7.233;43.0;23.4
0.289;7.210;44.1;23.4
0.296;7.187;45.3;23.4
0.304;7.166;46.4;23.4
0.312;7.146;47.5;23.4
0.319;7.126;48.7;23.4
0.327;7.106;49.8;23.4
0.334;7.087;51.0;23.4
0.342;7.067;52.1;23.4
0.350;7.048;53.2;23.4
0.357;7.030;54.4;23.4
0.365;7.012;55.5;23.4
0.372;6.994;56.7;23.4
0.380;6.976;57.8;23.4
0.388;6.959;58.9;23.4
0.395;6.942;60.1;23.4
0.403;6.924;61.2;23.4
0.411;6.906;62.4;23.4
0.418;6.887;63.5;23.4
0.426;6.870;64.7;23.4
0.433;6.853;65.8;23.4
0.441;6.837;66.9;23.4
0.449;6.821;68.1;23.4
0.456;6.805;69.2;23.4
0.464;6.790;70.4;23.4
0.471;6.773;71.5;23.4
0.479;6.758;72.6;23.4
0.487;6.743;73.8;23.4
0.494;6.728;74.9;23.4
0.502;6.713;76.1;23.4
0.510;6.698;77.2;23.4
0.517;6.683;78.3;23.4
0.525;6.667;79.5;23.4
0.532;6.650;80.6;23.4
0.540;6.635;81.8;23.4
0.548;6.620;82.9;23.4
0.555;6.604;84.1;23.4
0.563;6.588;85.2;23.4
0.570;6.573;86.3;23.4
0.578;6.558;87.5;23.4
0.586;6.542;88.6;23.4
0.593;6.527;89.8;23.4
0.601;6.510;90.9;23.4
0.609;6.494;92.0;23.4
0.616;6.478;93.2;23.4
0.624;6.462;94.3;23.4
0.631;6.447;95.5;23.4
0.639;6.431;96.6;23.4
0.647;6.415;97.8;23.4
0.654;6.399;98.9;23.4
0.662;6.383;100.0;23.4
0.669;6.366;101.2;23.4
0.677;6.351;102.3;23.4
0.685;6.332;103.5;23.4
0.692;6.311;104.6;23.4
0.700;6.294;105.7;23.4
0.708;6.278;106.9;23.4
0.715;6.258;108.0;23.4
0.723;6.242;109.2;23.4
0.730;6.225;110.3;23.4
0.738;6.208;111.5;23.4
0.746;6.190;112.6;23.4
0.753;6.171;113.7;23.4
0.761;6.152;114.9;23.4
0.768;6.135;116.0;23.4
0.776;6.116;117.2;23.4
0.784;6.098;118.3;23.4
0.791;6.078;119.4;23.4
0.799;6.059;120.6;23.4
0.807;6.040;121.7;23.4
0.814;6.020;122.9;23.4
0.822;6.001;124.0;23.4
0.829;5.983;125.1;23.4
0.837;5.964;126.3;23.4
0.845;5.945;127.4;23.4
0.852;5.910;128.6;23.4
0.860;5.891;129.7;23.4
0.867;5.873;130.9;23.4
0.875;5.854;132.0;23.4
0.883;5.828;133.1;23.4
0.890;5.809;134.3;23.4
0.898;5.789;135.4;23.4
0.906;5.767;136.6;23.4
0.913;5.747;137.7;23.4
0.921;5.728;138.8;23.4
0.928;5.705;140.0;23.4
0.936;5.679;141.1;23.4
0.944;5.655;142.3;23.4
0.951;5.632;143.4;23.4
0.959;5.608;144.5;23.4
0.966;5.583;145.7;23.4
0.974;5.559;146.8;23.4
0.982;5.531;148.0;23.4
0.989;5.502;149.1;23.4
0.997;5.474;150.3;23.4
1.004;5.445;151.4;23.4
1.012;5.414;152.5;23.4
1.020;5.380;153.7;23.4
1.027;5.348;154.8;23.4
1.035;5.313;156.0;23.4
1.043;5.277;157.1;23.4
1.050;5.240;158.2;23.4
1.058;5.200;159.4;23.4
1.065;5.158;160.5;23.4
1.073;5.111;161.7;23.4
1.081;5.062;162.8;23.4
1.088;5.011;163.9;23.4
1.096;4.961;165.1;23.4
1.099;4.934;165.7;23.4
1.109;4.590;187.3;23.6
1.119;4.498;198.9;23.6
1.129;4.409;210.5;23.6
1.139;4.316;222.1;23.6
1.149;4.234;233.7;23.6
1.159;4.156;245.3;23.6
1.169;4.089;256.9;23.6
1.179;4.024;268.5;23.6
1.189;3.970;280.1;23.7
1.199;3.919;291.7;23.7
1.209;3.874;303.3;23.7
1.219;3.830;314.9;23.7
1.229;3.793;326.5;23.7
1.239;3.759;338.1;23.7
1.249;3.727;349.7;23.7
1.259;3.697;361.3;23.7
1.269;3.670;372.9;23.7
1.279;3.643;384.5;23.7
1.289;3.619;396.1;23.7
1.299;3.594;407.7;23.7
1.309;3.571;419.3;23.8
1.319;3.547;430.9;23.7
1.329;3.526;442.5;23.7
1.339;3.504;454.1;23.7
1.349;3.484;465.7;23.8
1.349;3.484;475.7;23.8
