ml;pH;sec;°C
0.000;8.032;0.0;23.5
0.000;8.032;0.4;23.5
0.000;8.032;0.8;23.5
0.007;8.032;1.9;23.5
0.015;8.032;3.0;23.5
0.022;8.028;4.2;23.5
0.030;8.021;5.3;23.5
0.037;8.012;6.5;23.5
0.045;8.000;7.6;23.5
0.053;7.988;8.7;23.5
0.060;7.975;9.9;23.5
0.068;7.960;11.0;23.5
0.075;7.944;12.2;23.5
0.083;7.927;13.3;23.5
0.091;7.909;14.4;23.5
0.098;7.888;15.6;23.5
0.106;7.867;16.7;23.5
0.114;7.845;17.9;23.5
0.121;7.822;19.0;23.5
0.129;7.800;20.2;23.5
0.136;7.774;21.3;23.5
0.144;7.748;22.4;23.5
0.152;7.720;23.6;23.5
0.159;7.691;24.7;23.5
0.167;7.660;25.9;23.5
0.174;7.629;27.0;23.5
0.182;7.596;28.1;23.5
0.190;7.564;29.3;23.5
0.197;7.529;30.4;23.5
0.205;7.495;31.6;23.5
0.212;7.463;32.7;23.5
0.220;7.431;33.8;23.5
0.228;7.399;35.0;23.5
0.235;7.369;36.1;23.5
0.243;7.341;37.3;23.5
0.251;7.313;38.4;23.5
0.258;7.285;39.5;23.5
0.266;7.258;40.7;23.5
0.273;7.234;41.8;23.5
0.281;7.212;43.0;23.5
0.289;7.190;44.1;23.5
0.296;7.169;45.2;23.5
0.304;7.148;46.4;23.5
0.311;7.128;47.5;23.5
0.319;7.108;48.7;23.5
0.327;7.087;49.8;23.5
0.334;7.067;51.0;23.5
0.342;7.048;52.1;23.5
0.349;7.030;53.2;23.5
0.357;7.012;54.4;23.5
0.365;6.994;55.5;23.5
0.372;6.977;56.7;23.5
0.380;6.960;57.8;23.5
0.388;6.943;58.9;23.5
0.395;6.926;60.1;23.5
0.403;6.909;61.2;23.5
0.410;6.892;62.4;23.5
0.418;6.876;63.5;23.5
0.426;6.859;64.6;23.5
0.433;6.840;65.8;23.5
0.441;6.824;66.9;23.5
0.448;6.808;68.1;23.5
0.456;6.792;69.2;23.5
0.464;6.777;70.3;23.5
0.471;6.762;71.5;23.5
0.479;6.746;72.6;23.5
0.486;6.731;73.8;23.5
0.494;6.716;74.9;23.5
0.502;6.701;76.0;23.5
0.509;6.685;77.2;23.5
0.517;6.669;78.3;23.5
0.524;6.654;79.5;23.5
0.532;6.639;80.6;23.5
0.540;6.624;81.7;23.5
0.547;6.608;82.9;23.5
0.555;6.592;84.0;23.5
0.563;6.576;85.2;23.5
0.570;6.559;86.3;23.5
0.578;6.543;87.4;23.5
0.585;6.528;88.6;23.5
0.593;6.513;89.7;23.5
0.601;6.497;90.9;23.5
0.608;6.481;92.0;23.5
0.616;6.465;93.2;23.5
0.623;6.450;94.3;23.5
0.631;6.432;95.4;23.5
0.639;6.417;96.6;23.5
0.646;6.401;97.7;23.5
0.654;6.385;98.9;23.5
0.661;6.369;100.0;23.5
0.669;6.353;101.1;23.5
0.677;6.336;102.3;23.5
0.684;6.320;103.4;23.5
0.692;6.304;104.6;23.5
0.700;6.288;105.7;23.5
0.707;6.272;106.8;23.5
0.715;6.255;108.0;23.5
0.722;6.239;109.1;23.5
0.730;6.221;110.3;23.5
0.738;6.205;111.4;23.5
0.745;6.188;112.5;23.5
0.753;6.171;113.7;23.5
0.760;6.153;114.8;23.5
0.768;6.136;116.0;23.5
0.776;6.118;117.1;23.5
0.783;6.099;118.2;23.5
0.791;6.081;119.4;23.5
0.798;6.063;120.5;23.5
0.806;6.044;121.7;23.5
0.814;6.025;122.8;23.5
0.821;6.005;124.0;23.5
0.829;5.985;125.1;23.5
0.837;5.965;126.2;23.5
0.844;5.945;127.4;23.5
0.852;5.923;128.5;23.5
0.859;5.903;129.7;23.5
0.867;5.880;130.8;23.5
0.875;5.859;131.9;23.5
0.882;5.839;133.1;23.5
0.890;5.817;134.2;23.5
0.897;5.790;135.4;23.5
0.905;5.769;136.5;23.5
0.913;5.748;137.6;23.5
0.920;5.725;138.8;23.5
0.928;5.702;139.9;23.5
0.935;5.679;141.1;23.5
0.943;5.656;142.2;23.5
0.951;5.631;143.3;23.5
0.958;5.608;144.5;23.5
0.966;5.581;145.6;23.5
0.973;5.554;146.8;23.5
0.981;5.528;147.9;23.5
0.989;5.498;149.0;23.5
0.996;5.468;150.2;23.5
1.004;5.433;151.3;23.5
1.012;5.386;152.5;23.5
1.019;5.332;153.6;23.5
1.027;5.303;154.7;23.5
1.034;5.271;155.9;23.5
1.042;5.233;157.0;23.5
1.050;5.199;158.2;23.5
1.057;5.162;159.3;23.5
1.065;5.119;160.5;23.5
1.072;5.079;161.6;23.5
1.080;5.025;162.7;23.5
1.088;4.976;163.9;23.5
1.094;4.931;164.8;23.5
1.104;4.612;186.5;23.6
1.114;4.519;198.1;23.6
1.124;4.430;209.7;23.6
1.134;4.336;221.3;23.6
1.144;4.254;232.8;23.7
1.154;4.173;244.4;23.7
1.164;4.103;256.0;23.7
1.174;4.038;267.6;23.7
1.184;3.984;279.2;23.7
1.194;3.930;290.8;23.7
1.204;3.884;302.4;23.7
1.214;3.840;314.0;23.7
1.224;3.802;325.6;23.7
1.234;3.766;337.2;23.7
1.244;3.734;348.8;23.7
1.254;3.703;360.4;23.7
1.264;3.676;372.0;23.8
1.274;3.649;383.6;23.8
1.284;3.624;395.1;23.8
1.294;3.600;406.7;23.8
1.304;3.577;418.3;23.8
1.314;3.553;429.9;23.8
1.324;3.531;441.5;23.8
1.334;3.509;453.1;23.8
1.344;3.490;464.7;23.8
1.344;3.489;474.8;23.8
