ml;pH;sec;°C
0.000;8.134;0.0;23.6
0.000;8.134;0.4;23.6
0.000;8.134;0.8;23.6
0.007;8.135;1.9;23.6
0.015;8.135;3.0;23.6
0.022;8.132;4.2;23.6
0.030;8.127;5.3;23.6
0.038;8.120;6.5;23.6
0.045;8.112;7.6;23.6
0.053;8.102;8.7;23.6
0.060;8.092;9.9;23.6
0.068;8.080;11.0;23.6
0.076;8.066;12.2;23.6
0.083;8.052;13.3;23.6
0.091;8.037;14.5;23.6
0.098;8.021;15.6;23.6
0.106;8.004;16.7;23.6
0.114;7.986;17.9;23.6
0.121;7.967;19.0;23.6
0.129;7.946;20.2;23.6
0.137;7.925;21.3;23.6
0.144;7.903;22.4;23.6
0.152;7.879;23.6;23.6
0.159;7.854;24.7;23.6
0.167;7.828;25.9;23.6
0.175;7.802;27.0;23.6
0.182;7.771;28.2;23.6
0.190;7.739;29.3;23.6
0.197;7.708;30.4;23.6
0.205;7.676;31.6;23.6
0.213;7.645;32.7;23.6
0.220;7.612;33.9;23.6
0.228;7.578;35.0;23.6
0.235;7.544;36.1;23.6
0.243;7.509;37.3;23.6
0.251;7.475;38.4;23.6
0.258;7.441;39.6;23.6
0.266;7.407;40.7;23.6
0.274;7.374;41.8;23.6
0.281;7.343;43.0;23.6
0.289;7.314;44.1;23.6
0.296;7.287;45.3;23.6
0.304;7.260;46.4;23.6
0.312;7.234;47.5;23.6
0.319;7.210;48.7;23.6
0.327;7.186;49.8;23.6
0.334;7.164;51.0;23.6
0.342;7.140;52.1;23.6
0.350;7.118;53.2;23.6
0.357;7.097;54.4;23.6
0.365;7.077;55.5;23.6
0.372;7.057;56.7;23.6
0.380;7.037;57.8;23.6
0.388;7.018;59.0;23.6
0.395;6.998;60.1;23.6
0.403;6.980;61.2;23.6
0.411;6.961;62.4;23.6
0.418;6.943;63.5;23.6
0.426;6.925;64.7;23.6
0.433;6.907;65.8;23.6
0.441;6.890;66.9;23.6
0.449;6.873;68.1;23.6
0.456;6.855;69.2;23.6
0.464;6.838;70.4;23.6
0.471;6.818;71.5;23.6
0.479;6.801;72.6;23.6
0.487;6.784;73.8;23.6
0.494;6.767;74.9;23.6
0.502;6.751;76.1;23.6
0.510;6.734;77.2;23.6
0.517;6.718;78.3;23.6
0.525;6.699;79.5;23.6
0.532;6.679;80.6;23.6
0.540;6.662;81.8;23.6
0.548;6.646;82.9;23.6
0.555;6.630;84.1;23.6
0.563;6.613;85.2;23.6
0.570;6.596;86.3;23.6
0.578;6.570;87.5;23.6
0.586;6.553;88.6;23.6
0.593;6.536;89.8;23.6
0.601;6.520;90.9;23.6
0.608;6.504;92.0;23.6
0.616;6.488;93.2;23.6
0.624;6.472;94.3;23.6
0.631;6.455;95.5;23.6
0.639;6.438;96.6;23.6
0.647;6.421;97.7;23.6
0.654;6.405;98.9;23.6
0.662;6.383;100.0;23.6
0.669;6.366;101.2;23.6
0.677;6.346;102.3;23.6
0.685;6.328;103.5;23.6
0.692;6.311;104.6;23.6
0.700;6.295;105.7;23.6
0.707;6.275;106.9;23.6
0.715;6.257;108.0;23.6
0.723;6.238;109.2;23.6
0.730;6.221;110.3;23.6
0.738;6.203;111.4;23.6
0.746;6.184;112.6;23.6
0.753;6.166;113.7;23.6
0.761;6.146;114.9;23.6
0.768;6.129;116.0;23.6
0.776;6.108;117.1;23.6
0.784;6.089;118.3;23.6
0.791;6.062;119.4;23.6
0.799;6.043;120.6;23.6
0.806;6.021;121.7;23.6
0.814;6.003;122.9;23.6
0.822;5.983;124.0;23.6
0.829;5.963;125.1;23.6
0.837;5.942;126.3;23.6
0.844;5.919;127.4;23.6
0.852;5.897;128.6;23.6
0.860;5.872;129.7;23.6
0.867;5.850;130.8;23.6
0.875;5.825;132.0;23.6
0.883;5.798;133.1;23.6
0.890;5.776;134.3;23.6
0.898;5.753;135.4;23.6
0.905;5.728;136.5;23.6
0.913;5.698;137.7;23.6
0.921;5.673;138.8;23.6
0.928;5.647;140.0;23.6
0.936;5.624;141.1;23.6
0.943;5.591;142.2;23.6
0.951;5.564;143.4;23.6
0.959;5.520;144.5;23.6
0.966;5.493;145.7;23.6
0.974;5.462;146.8;23.6
0.982;5.433;148.0;23.6
0.989;5.401;149.1;23.6
0.997;5.364;150.2;23.6
1.004;5.323;151.4;23.6
1.012;5.283;152.5;23.6
1.020;5.246;153.7;23.6
1.027;5.209;154.8;23.6
1.035;5.161;155.9;23.6
1.042;5.085;157.1;23.6
1.050;5.037;158.2;23.6
1.058;4.992;159.4;23.6
1.066;4.931;160.7;23.6
1.076;4.632;182.4;23.7
1.086;4.544;194.0;23.7
1.096;4.456;205.6;23.7
1.106;4.363;217.2;23.7
1.116;4.278;228.7;23.7
1.126;4.193;240.3;23.7
1.136;4.120;251.9;23.7
1.146;4.050;263.5;23.7
1.156;3.992;275.1;23.8
1.166;3.937;286.7;23.7
1.176;3.890;298.3;23.7
1.186;3.844;309.9;23.7
1.196;3.805;321.5;23.8
1.206;3.767;333.1;23.8
1.216;3.733;344.7;23.7
1.226;3.701;356.3;23.8
1.236;3.673;367.9;23.7
1.246;3.645;379.5;23.7
1.256;3.621;391.1;23.8
1.266;3.596;402.7;23.8
1.276;3.575;414.3;23.8
1.286;3.553;425.9;23.8
1.296;3.533;437.5;23.8
1.306;3.511;449.1;23.8
1.316;3.492;460.7;23.8
1.316;3.492;470.8;23.8
