ml;pH;sec;°C
0.000;8.020;0.0;23.5
0.000;8.020;0.4;23.5
0.000;8.020;0.8;23.5
0.007;8.020;1.9;23.5
0.015;8.019;3.0;23.5
0.022;8.015;4.2;23.5
0.030;8.007;5.3;23.5
0.038;7.996;6.5;23.5
0.045;7.983;7.6;23.5
0.053;7.968;8.7;23.5
0.060;7.952;9.9;23.5
0.068;7.936;11.0;23.5
0.076;7.918;12.2;23.5
0.083;7.897;13.3;23.5
0.091;7.877;14.4;23.5
0.098;7.856;15.6;23.5
0.106;7.833;16.7;23.5
0.114;7.809;17.9;23.5
0.121;7.783;19.0;23.5
0.129;7.756;20.2;23.5
0.136;7.728;21.3;23.5
0.144;7.698;22.4;23.5
0.152;7.668;23.6;23.5
0.159;7.636;24.7;23.5
0.167;7.603;25.9;23.5
0.175;7.568;27.0;23.5
0.182;7.534;28.1;23.5
0.190;7.500;29.3;23.5
0.197;7.465;30.4;23.5
0.205;7.431;31.6;23.5
0.213;7.398;32.7;23.5
0.220;7.367;33.8;23.5
0.228;7.337;35.0;23.5
0.235;7.308;36.1;23.5
0.243;7.281;37.3;23.5
0.251;7.256;38.4;23.5
0.258;7.230;39.5;23.5
0.266;7.207;40.7;23.5
0.273;7.180;41.8;23.5
0.281;7.158;43.0;23.5
0.289;7.137;44.1;23.5
0.296;7.117;45.2;23.5
0.304;7.098;46.4;23.5
0.312;7.078;47.5;23.5
0.319;7.060;48.7;23.5
0.327;7.041;49.8;23.5
0.334;7.023;51.0;23.5
0.342;7.005;52.1;23.5
0.350;6.988;53.2;23.5
0.357;6.972;54.4;23.5
0.365;6.955;55.5;23.5
0.372;6.938;56.7;23.5
0.380;6.922;57.8;23.5
0.388;6.905;58.9;23.5
0.395;6.889;60.1;23.5
0.403;6.865;61.2;23.5
0.410;6.847;62.4;23.5
0.418;6.832;63.5;23.5
0.426;6.817;64.6;23.5
0.433;6.802;65.8;23.5
0.441;6.787;66.9;23.5
0.448;6.773;68.1;23.5
0.456;6.756;69.2;23.5
0.464;6.742;70.3;23.5
0.471;6.727;71.5;23.5
0.479;6.713;72.6;23.5
0.487;6.698;73.8;23.5
0.494;6.682;74.9;23.5
0.502;6.666;76.0;23.5
0.509;6.652;77.2;23.5
0.517;6.637;78.3;23.5
0.525;6.623;79.5;23.5
0.532;6.607;80.6;23.5
0.540;6.593;81.7;23.5
0.547;6.576;82.9;23.5
0.555;6.561;84.0;23.5
0.563;6.546;85.2;23.5
0.570;6.531;86.3;23.5
0.578;6.516;87.4;23.5
0.585;6.501;88.6;23.5
0.593;6.485;89.7;23.5
0.601;6.469;90.9;23.5
0.608;6.454;92.0;23.5
0.616;6.439;93.2;23.5
0.624;6.423;94.3;23.5
0.631;6.408;95.4;23.5
0.639;6.393;96.6;23.5
0.646;6.377;97.7;23.5
0.654;6.361;98.9;23.5
0.662;6.345;100.0;23.5
0.669;6.330;101.1;23.5
0.677;6.314;102.3;23.5
0.684;6.299;103.4;23.5
0.692;6.283;104.6;23.5
0.700;6.267;105.7;23.5
0.707;6.252;106.8;23.5
0.715;6.235;108.0;23.5
0.722;6.214;109.1;23.5
0.730;6.196;110.3;23.5
0.738;6.176;111.4;23.5
0.745;6.159;112.5;23.5
0.753;6.142;113.7;23.5
0.760;6.125;114.8;23.5
0.768;6.108;116.0;23.5
0.776;6.091;117.1;23.5
0.783;6.074;118.2;23.5
0.791;6.056;119.4;23.5
0.799;6.038;120.5;23.5
0.806;6.020;121.7;23.5
0.814;6.002;122.8;23.5
0.821;5.983;123.9;23.5
0.829;5.959;125.1;23.5
0.837;5.935;126.2;23.5
0.844;5.918;127.4;23.5
0.852;5.900;128.5;23.5
0.859;5.881;129.7;23.5
0.867;5.854;130.8;23.5
0.875;5.834;131.9;23.5
0.882;5.814;133.1;23.5
0.890;5.793;134.2;23.5
0.897;5.772;135.4;23.5
0.905;5.752;136.5;23.5
0.913;5.731;137.6;23.5
0.920;5.709;138.8;23.5
0.928;5.685;139.9;23.5
0.936;5.663;141.1;23.5
0.943;5.636;142.2;23.5
0.951;5.612;143.3;23.5
0.958;5.586;144.5;23.5
0.966;5.559;145.6;23.5
0.974;5.523;146.8;23.5
0.981;5.491;147.9;23.5
0.989;5.464;149.0;23.5
0.996;5.424;150.2;23.5
1.004;5.395;151.3;23.5
1.012;5.366;152.5;23.5
1.019;5.333;153.6;23.5
1.027;5.295;154.7;23.5
1.034;5.259;155.9;23.5
1.042;5.215;157.0;23.5
1.050;5.178;158.2;23.5
1.057;5.135;159.3;23.5
1.065;5.088;160.4;23.5
1.072;5.041;161.6;23.5
1.080;4.992;162.7;23.5
1.089;4.928;164.1;23.5
1.099;4.598;185.7;23.7
1.109;4.513;197.3;23.7
1.119;4.419;208.9;23.7
1.129;4.331;220.5;23.7
1.139;4.245;232.1;23.7
1.149;4.170;243.7;23.7
1.159;4.097;255.3;23.7
1.169;4.035;266.9;23.7
1.179;3.977;278.4;23.7
1.189;3.928;290.0;23.7
1.199;3.879;301.6;23.7
1.209;3.837;313.2;23.8
1.219;3.798;324.8;23.8
1.229;3.763;336.4;23.8
1.239;3.730;348.0;23.8
1.249;3.701;359.6;23.8
1.259;3.673;371.2;23.8
1.269;3.647;382.8;23.8
1.279;3.622;394.4;23.8
1.289;3.599;406.0;23.8
1.299;3.575;417.6;23.8
1.309;3.553;429.1;23.8
1.319;3.530;440.7;23.8
1.329;3.509;452.3;23.8
1.339;3.488;463.9;23.8
1.339;3.488;474.0;23.8
