ml;pH;sec;°C
0.000;8.020;0.0;23.9
0.000;8.020;0.4;23.9
0.000;8.020;0.8;23.9
0.007;8.020;1.9;23.9
0.015;8.011;3.0;23.9
0.022;8.006;4.2;23.9
0.030;7.999;5.3;23.9
0.038;7.989;6.5;23.9
0.045;7.977;7.6;23.9
0.053;7.961;8.8;23.9
0.060;7.944;9.9;23.9
0.068;7.925;11.0;23.9
0.076;7.904;12.2;23.9
0.083;7.883;13.3;23.9
0.091;7.862;14.5;23.9
0.098;7.838;15.6;23.9
0.106;7.808;16.7;23.9
0.114;7.780;17.9;23.9
0.121;7.753;19.0;23.9
0.129;7.725;20.2;23.9
0.137;7.695;21.3;23.9
0.144;7.663;22.4;23.9
0.152;7.631;23.6;23.9
0.159;7.596;24.7;23.9
0.167;7.561;25.9;23.9
0.175;7.525;27.0;23.9
0.182;7.491;28.1;23.9
0.190;7.456;29.3;23.9
0.197;7.423;30.4;23.9
0.205;7.393;31.6;23.9
0.213;7.363;32.7;23.9
0.220;7.336;33.9;23.9
0.228;7.310;35.0;23.9
0.235;7.284;36.1;23.9
0.243;7.260;37.3;23.9
0.251;7.237;38.4;23.9
0.258;7.215;39.6;23.9
0.266;7.194;40.7;23.9
0.274;7.174;41.8;23.9
0.281;7.154;43.0;23.9
0.289;7.135;44.1;23.9
0.296;7.116;45.3;23.9
0.304;7.097;46.4;23.9
0.312;7.079;47.5;23.9
0.319;7.061;48.7;23.9
0.327;7.043;49.8;23.9
0.334;7.024;51.0;23.9
0.342;7.006;52.1;23.9
0.350;6.989;53.2;23.9
0.357;6.973;54.4;23.9
0.365;6.955;55.5;23.9
0.372;6.936;56.7;23.9
0.380;6.920;57.8;23.9
0.388;6.905;59.0;23.9
0.395;6.889;60.1;23.9
0.403;6.874;61.2;23.9
0.411;6.850;62.4;23.9
0.418;6.835;63.5;23.9
0.426;6.817;64.7;23.9
0.433;6.802;65.8;23.9
0.441;6.787;66.9;23.9
0.449;6.772;68.1;23.9
0.456;6.758;69.2;23.9
0.464;6.744;70.4;23.9
0.471;6.730;71.5;23.9
0.479;6.715;72.6;23.9
0.487;6.696;73.8;23.9
0.494;6.672;74.9;23.9
0.502;6.656;76.1;23.9
0.510;6.639;77.2;23.9
0.517;6.625;78.3;23.9
0.525;6.611;79.5;23.9
0.532;6.595;80.6;23.9
0.540;6.580;81.8;23.9
0.548;6.567;82.9;23.9
0.555;6.545;84.0;23.9
0.563;6.531;85.2;23.9
0.570;6.517;86.3;23.9
0.578;6.496;87.5;23.9
0.586;6.482;88.6;23.9
0.593;6.469;89.8;23.9
