ml;pH;sec;°C
0.000;7.995;0.0;23.6
0.000;7.995;0.4;23.6
0.000;7.995;0.8;23.6
0.007;7.995;1.9;23.6
0.015;7.992;3.0;23.6
0.022;7.990;4.2;23.6
0.030;7.984;5.3;23.6
0.037;7.975;6.5;23.6
0.045;7.964;7.6;23.6
0.053;7.950;8.7;23.6
0.060;7.934;9.9;23.6
0.068;7.918;11.0;23.6
0.075;7.900;12.2;23.6
0.083;7.880;13.3;23.6
0.091;7.860;14.4;23.6
0.098;7.837;15.6;23.6
0.106;7.814;16.7;23.6
0.114;7.790;17.9;23.6
0.121;7.765;19.0;23.6
0.129;7.738;20.2;23.6
0.136;7.709;21.3;23.6
0.144;7.679;22.4;23.6
0.152;7.648;23.6;23.6
0.159;7.616;24.7;23.6
0.167;7.585;25.9;23.6
0.174;7.552;27.0;23.6
0.182;7.520;28.1;23.6
0.190;7.486;29.3;23.6
0.197;7.453;30.4;23.6
0.205;7.419;31.6;23.6
0.212;7.386;32.7;23.6
0.220;7.357;33.8;23.6
0.228;7.328;35.0;23.6
0.235;7.302;36.1;23.6
0.243;7.277;37.3;23.6
0.251;7.253;38.4;23.6
0.258;7.230;39.5;23.6
0.266;7.207;40.7;23.6
0.273;7.186;41.8;23.6
0.281;7.166;43.0;23.6
0.289;7.146;44.1;23.6
0.296;7.126;45.3;23.6
0.304;7.106;46.4;23.6
0.311;7.087;47.5;23.6
0.319;7.068;48.7;23.6
0.327;7.050;49.8;23.6
0.334;7.033;51.0;23.6
0.342;7.015;52.1;23.6
0.349;6.998;53.2;23.6
0.357;6.981;54.4;23.6
0.365;6.965;55.5;23.6
0.372;6.948;56.7;23.6
0.380;6.932;57.8;23.6
0.387;6.915;58.9;23.6
0.395;6.899;60.1;23.6
0.403;6.883;61.2;23.6
0.410;6.868;62.4;23.6
0.418;6.852;63.5;23.6
0.426;6.837;64.6;23.6
0.433;6.821;65.8;23.6
0.441;6.806;66.9;23.6
0.448;6.791;68.1;23.6
0.456;6.776;69.2;23.6
0.464;6.760;70.3;23.6
0.471;6.745;71.5;23.6
0.479;6.730;72.6;23.6
0.486;6.716;73.8;23.6
0.494;6.701;74.9;23.6
0.502;6.686;76.0;23.6
0.509;6.671;77.2;23.6
0.517;6.656;78.3;23.6
0.524;6.642;79.5;23.6
0.532;6.627;80.6;23.6
0.540;6.612;81.8;23.6
0.547;6.597;82.9;23.6
0.555;6.582;84.0;23.6
0.563;6.567;85.2;23.6
0.570;6.552;86.3;23.6
0.578;6.536;87.5;23.6
0.585;6.521;88.6;23.6
0.593;6.506;89.7;23.6
0.601;6.490;90.9;23.6
0.608;6.475;92.0;23.6
0.616;6.460;93.2;23.6
0.623;6.444;94.3;23.6
0.631;6.429;95.4;23.6
0.639;6.413;96.6;23.6
0.646;6.394;97.7;23.6
0.654;6.378;98.9;23.6
0.661;6.363;100.0;23.6
0.669;6.347;101.1;23.6
0.677;6.331;102.3;23.6
0.684;6.316;103.4;23.6
0.692;6.300;104.6;23.6
0.700;6.284;105.7;23.6
0.707;6.268;106.8;23.6
0.715;6.251;108.0;23.6
0.722;6.235;109.1;23.6
0.730;6.218;110.3;23.6
0.738;6.201;111.4;23.6
0.745;6.185;112.6;23.6
0.753;6.168;113.7;23.6
0.760;6.150;114.8;23.6
0.768;6.133;116.0;23.6
0.776;6.115;117.1;23.6
0.783;6.098;118.3;23.6
0.791;6.079;119.4;23.6
0.798;6.061;120.5;23.6
0.806;6.042;121.7;23.6
0.814;6.024;122.8;23.6
0.821;6.005;124.0;23.6
0.829;5.986;125.1;23.6
0.837;5.966;126.2;23.6
0.844;5.947;127.4;23.6
0.852;5.927;128.5;23.6
0.859;5.907;129.7;23.6
0.867;5.887;130.8;23.6
0.875;5.866;131.9;23.6
0.882;5.846;133.1;23.6
0.890;5.825;134.2;23.6
0.897;5.804;135.4;23.6
0.905;5.782;136.5;23.6
0.913;5.760;137.6;23.6
0.920;5.737;138.8;23.6
0.928;5.715;139.9;23.6
0.935;5.691;141.1;23.6
0.943;5.667;142.2;23.6
0.951;5.642;143.3;23.6
0.958;5.617;144.5;23.6
0.966;5.590;145.6;23.6
0.973;5.563;146.8;23.6
0.981;5.535;147.9;23.6
0.989;5.504;149.1;23.6
0.996;5.473;150.2;23.6
1.004;5.441;151.3;23.6
1.012;5.408;152.5;23.6
1.019;5.372;153.6;23.6
1.027;5.338;154.8;23.6
1.034;5.300;155.9;23.6
1.042;5.258;157.0;23.6
1.050;5.220;158.2;23.6
1.057;5.178;159.3;23.6
1.065;5.133;160.5;23.6
1.072;5.085;161.6;23.6
1.080;5.033;162.7;23.6
1.088;4.977;163.9;23.6
1.094;4.929;164.8;23.6
1.104;4.566;186.5;23.8
1.114;4.477;198.1;23.8
1.124;4.385;209.7;23.8
1.134;4.300;221.3;23.8
1.144;4.215;232.9;23.8
1.154;4.142;244.5;23.8
1.164;4.073;256.0;23.8
1.174;4.015;267.6;23.8
1.184;3.958;279.2;23.8
1.194;3.910;290.8;23.8
1.204;3.864;302.4;23.8
1.214;3.823;314.0;23.9
1.224;3.785;325.6;23.9
1.234;3.752;337.2;23.9
1.244;3.720;348.8;23.9
1.254;3.691;360.4;23.9
1.264;3.663;372.0;23.9
1.274;3.638;383.6;23.9
1.284;3.614;395.2;23.9
1.294;3.590;406.7;23.9
1.304;3.567;418.3;23.9
1.314;3.545;429.9;23.9
1.324;3.522;441.5;23.9
1.334;3.502;453.1;23.9
1.344;3.481;464.7;23.9
1.344;3.481;474.8;23.9
