ml;pH;sec;°C
0.000;7.983;0.0;22.3
0.000;7.983;0.4;22.3
0.000;7.983;0.8;22.3
0.007;7.983;1.9;22.3
0.015;7.983;3.0;22.3
0.022;7.980;4.2;22.3
0.030;7.971;5.3;22.3
0.037;7.960;6.5;22.3
0.045;7.947;7.6;22.3
0.053;7.934;8.7;22.3
0.060;7.918;9.9;22.3
0.068;7.901;11.0;22.3
0.075;7.882;12.2;22.3
0.083;7.862;13.3;22.3
0.091;7.841;14.4;22.3
0.098;7.818;15.6;22.3
0.106;7.793;16.7;22.3
0.114;7.768;17.9;22.3
0.121;7.740;19.0;22.3
0.129;7.714;20.2;22.3
0.136;7.686;21.3;22.3
0.144;7.656;22.4;22.3
0.152;7.624;23.6;22.3
0.159;7.592;24.7;22.3
0.167;7.560;25.9;22.3
0.174;7.527;27.0;22.3
0.182;7.493;28.1;22.3
0.190;7.459;29.3;22.3
0.197;7.421;30.4;22.3
0.205;7.389;31.6;22.3
0.212;7.360;32.7;22.3
0.220;7.332;33.8;22.3
0.228;7.303;35.0;22.3
0.235;7.277;36.1;22.3
0.243;7.252;37.3;22.3
0.251;7.229;38.4;22.3
0.258;7.206;39.5;22.3
0.266;7.185;40.7;22.3
0.273;7.164;41.8;22.3
0.281;7.144;43.0;22.3
0.289;7.121;44.1;22.3
0.296;7.102;45.3;22.3
0.304;7.082;46.4;22.3
0.311;7.063;47.5;22.3
0.319;7.044;48.7;22.3
0.327;7.025;49.8;22.3
0.334;7.006;51.0;22.3
0.342;6.988;52.1;22.3
0.349;6.971;53.2;22.3
0.357;6.954;54.4;22.3
0.365;6.937;55.5;22.3
0.372;6.921;56.7;22.3
0.380;6.905;57.8;22.3
0.388;6.889;58.9;22.3
0.395;6.873;60.1;22.3
0.403;6.857;61.2;22.3
0.410;6.842;62.4;22.3
0.418;6.820;63.5;22.3
0.426;6.804;64.6;22.3
0.433;6.790;65.8;22.3
0.441;6.775;66.9;22.3
0.448;6.760;68.1;22.3
0.456;6.745;69.2;22.3
0.464;6.729;70.4;22.3
0.471;6.713;71.5;22.3
0.479;6.698;72.6;22.3
0.486;6.683;73.8;22.3
0.494;6.669;74.9;22.3
0.502;6.653;76.1;22.3
0.509;6.638;77.2;22.3
0.517;6.623;78.3;22.3
0.525;6.609;79.5;22.3
0.532;6.593;80.6;22.3
0.540;6.578;81.8;22.3
0.547;6.562;82.9;22.3
0.555;6.547;84.0;22.3
0.563;6.529;85.2;22.3
0.570;6.512;86.3;22.3
0.578;6.495;87.5;22.3
0.585;6.477;88.6;22.3
0.593;6.462;89.8;22.3
0.601;6.446;90.9;22.3
0.608;6.431;92.0;22.3
0.616;6.416;93.2;22.3
0.624;6.399;94.3;22.3
0.631;6.383;95.5;22.3
0.639;6.367;96.6;22.3
0.646;6.349;97.7;22.3
0.654;6.333;98.9;22.3
0.662;6.316;100.0;22.3
0.669;6.299;101.2;22.3
0.677;6.281;102.3;22.3
0.684;6.264;103.4;22.3
0.692;6.245;104.6;22.3
0.700;6.225;105.7;22.3
0.707;6.207;106.9;22.3
0.715;6.189;108.0;22.3
0.722;6.170;109.2;22.3
0.730;6.151;110.3;22.3
0.738;6.134;111.4;22.3
0.745;6.115;112.6;22.3
0.753;6.097;113.7;22.3
0.761;6.078;114.9;22.3
0.768;6.060;116.0;22.3
0.776;6.042;117.1;22.3
0.783;6.023;118.3;22.3
0.791;6.005;119.4;22.3
0.799;5.984;120.6;22.3
0.806;5.962;121.7;22.3
0.814;5.941;122.9;22.3
0.822;5.918;124.0;22.3
0.829;5.896;125.1;22.3
0.837;5.874;126.3;22.3
0.844;5.849;127.4;22.3
0.852;5.826;128.6;22.3
0.860;5.794;129.7;22.3
0.867;5.767;130.8;22.3
0.875;5.745;132.0;22.3
0.882;5.723;133.1;22.3
0.890;5.699;134.3;22.3
0.898;5.673;135.4;22.3
0.905;5.648;136.5;22.3
0.913;5.623;137.7;22.3
0.920;5.588;138.8;22.3
0.928;5.560;140.0;22.3
0.936;5.534;141.1;22.3
0.943;5.502;142.2;22.3
0.951;5.473;143.4;22.3
0.959;5.439;144.5;22.3
0.966;5.372;145.7;22.3
0.974;5.340;146.8;22.3
0.981;5.306;148.0;22.3
0.989;5.269;149.1;22.3
0.997;5.230;150.2;22.3
1.004;5.190;151.4;22.3
1.012;5.143;152.5;22.3
1.019;5.087;153.7;22.3
1.027;5.031;154.8;22.3
1.035;4.972;155.9;22.3
1.039;4.933;156.7;22.3
1.049;4.592;178.4;22.6
1.059;4.509;190.0;22.6
1.069;4.424;201.6;22.6
1.079;4.345;213.1;22.6
1.089;4.261;224.7;22.6
1.099;4.186;236.3;22.6
1.109;4.114;247.9;22.6
1.119;4.049;259.5;22.6
1.129;3.986;271.1;22.6
1.139;3.932;282.7;22.6
1.149;3.882;294.3;22.6
1.159;3.839;305.9;22.7
1.169;3.796;317.5;22.6
1.179;3.760;329.1;22.6
1.189;3.724;340.7;22.6
1.199;3.694;352.3;22.7
1.209;3.662;363.9;22.7
1.219;3.635;375.5;22.7
1.229;3.608;387.1;22.7
1.239;3.585;398.7;22.7
1.249;3.562;410.3;22.7
1.259;3.541;421.9;22.7
1.269;3.520;433.5;22.7
1.279;3.502;445.1;22.7
1.289;3.483;456.7;22.7
1.289;3.482;466.8;22.7
