ml;pH;sec;°C
0.000;8.034;0.0;23.6
0.000;8.034;0.4;23.6
0.000;8.034;0.8;23.6
0.007;8.034;1.9;23.6
0.015;8.034;3.0;23.6
0.022;8.031;4.2;23.6
0.030;8.023;5.3;23.6
0.038;8.013;6.5;23.6
0.045;8.003;7.6;23.6
0.053;7.991;8.7;23.6
0.060;7.977;9.9;23.6
0.068;7.962;11.0;23.6
0.076;7.946;12.2;23.6
0.083;7.930;13.3;23.6
0.091;7.912;14.4;23.6
0.098;7.892;15.6;23.6
0.106;7.871;16.7;23.6
0.114;7.849;17.9;23.6
0.121;7.826;19.0;23.6
0.129;7.802;20.1;23.6
0.136;7.776;21.3;23.6
0.144;7.749;22.4;23.6
0.152;7.721;23.6;23.6
0.159;7.692;24.7;23.6
0.167;7.662;25.9;23.6
0.174;7.630;27.0;23.6
0.182;7.597;28.1;23.6
0.190;7.565;29.3;23.6
0.197;7.530;30.4;23.6
0.205;7.496;31.6;23.6
0.213;7.463;32.7;23.6
0.220;7.430;33.8;23.6
0.228;7.398;35.0;23.6
0.235;7.368;36.1;23.6
0.243;7.338;37.3;23.6
0.251;7.310;38.4;23.6
0.258;7.284;39.5;23.6
0.266;7.259;40.7;23.6
0.273;7.235;41.8;23.6
0.281;7.212;43.0;23.6
0.289;7.190;44.1;23.6
0.296;7.169;45.2;23.6
0.304;7.147;46.4;23.6
0.312;7.127;47.5;23.6
0.319;7.106;48.7;23.6
0.327;7.087;49.8;23.6
0.334;7.068;51.0;23.6
0.342;7.049;52.1;23.6
0.350;7.032;53.2;23.6
0.357;7.013;54.4;23.6
0.365;6.994;55.5;23.6
0.372;6.977;56.7;23.6
0.380;6.959;57.8;23.6
0.388;6.941;58.9;23.6
0.395;6.924;60.1;23.6
0.403;6.906;61.2;23.6
0.410;6.891;62.4;23.6
0.418;6.875;63.5;23.6
0.426;6.859;64.6;23.6
0.433;6.843;65.8;23.6
0.441;6.827;66.9;23.6
0.449;6.810;68.1;23.6
0.456;6.794;69.2;23.6
0.464;6.779;70.3;23.6
0.471;6.764;71.5;23.6
0.479;6.749;72.6;23.6
0.487;6.734;73.8;23.6
0.494;6.718;74.9;23.6
0.502;6.704;76.1;23.6
0.509;6.688;77.2;23.6
0.517;6.673;78.3;23.6
0.525;6.657;79.5;23.6
0.532;6.642;80.6;23.6
0.540;6.626;81.8;23.6
0.547;6.611;82.9;23.6
0.555;6.596;84.0;23.6
0.563;6.579;85.2;23.6
0.570;6.564;86.3;23.6
0.578;6.549;87.5;23.6
0.586;6.533;88.6;23.6
0.593;6.518;89.7;23.6
0.601;6.501;90.9;23.6
0.608;6.485;92.0;23.6
0.616;6.469;93.2;23.6
0.624;6.454;94.3;23.6
0.631;6.438;95.4;23.6
0.639;6.423;96.6;23.6
0.646;6.408;97.7;23.6
0.654;6.391;98.9;23.6
0.662;6.375;100.0;23.6
0.669;6.359;101.1;23.6
0.677;6.343;102.3;23.6
0.684;6.327;103.4;23.6
0.692;6.310;104.6;23.6
0.700;6.294;105.7;23.6
0.707;6.277;106.8;23.6
0.715;6.260;108.0;23.6
0.722;6.243;109.1;23.6
0.730;6.226;110.3;23.6
0.738;6.209;111.4;23.6
0.745;6.191;112.6;23.6
0.753;6.173;113.7;23.6
0.761;6.155;114.8;23.6
0.768;6.137;116.0;23.6
0.776;6.114;117.1;23.6
0.783;6.095;118.3;23.6
0.791;6.077;119.4;23.6
0.799;6.058;120.5;23.6
0.806;6.039;121.7;23.6
0.814;6.019;122.8;23.6
0.821;6.000;124.0;23.6
0.829;5.979;125.1;23.6
0.837;5.952;126.2;23.6
0.844;5.934;127.4;23.6
0.852;5.916;128.5;23.6
0.859;5.896;129.7;23.6
0.867;5.875;130.8;23.6
0.875;5.854;131.9;23.6
0.882;5.833;133.1;23.6
0.890;5.810;134.2;23.6
0.898;5.788;135.4;23.6
0.905;5.767;136.5;23.6
0.913;5.746;137.6;23.6
0.920;5.721;138.8;23.6
0.928;5.699;139.9;23.6
0.936;5.677;141.1;23.6
0.943;5.646;142.2;23.6
0.951;5.623;143.3;23.6
0.958;5.600;144.5;23.6
0.966;5.576;145.6;23.6
0.974;5.550;146.8;23.6
0.981;5.519;147.9;23.6
0.989;5.494;149.0;23.6
0.996;5.465;150.2;23.6
1.004;5.433;151.3;23.6
1.012;5.400;152.5;23.6
1.019;5.370;153.6;23.6
1.027;5.338;154.8;23.6
1.034;5.297;155.9;23.6
1.042;5.263;157.0;23.6
1.050;5.225;158.2;23.6
1.057;5.185;159.3;23.6
1.065;5.143;160.5;23.6
1.073;5.098;161.6;23.6
1.080;5.051;162.7;23.6
1.088;5.004;163.9;23.6
1.095;4.952;165.0;23.6
1.098;4.932;165.4;23.6
1.108;4.602;187.1;23.8
1.118;4.520;198.7;23.8
1.128;4.420;210.2;23.8
1.138;4.338;221.8;23.8
1.148;4.246;233.4;23.8
1.158;4.178;245.0;23.8
1.168;4.099;256.6;23.8
1.178;4.042;268.2;23.9
1.188;3.981;279.8;23.9
1.198;3.935;291.4;23.9
1.208;3.882;303.0;23.8
1.218;3.843;314.6;23.8
1.228;3.801;326.2;23.9
1.238;3.770;337.8;23.9
1.248;3.734;349.4;23.9
1.258;3.707;360.9;23.9
1.268;3.677;372.5;23.9
1.278;3.653;384.1;23.9
1.288;3.625;395.7;23.9
1.298;3.603;407.3;23.9
1.308;3.577;418.9;23.9
1.318;3.556;430.5;23.9
1.328;3.531;442.1;23.9
1.338;3.512;453.7;23.9
1.348;3.490;465.3;23.9
1.348;3.490;475.4;23.9
