ml;pH;sec;°C
0.000;8.005;0.0;23.8
0.000;8.005;0.4;23.8
0.000;8.005;0.8;23.8
0.007;8.005;1.9;23.8
0.015;8.003;3.0;23.8
0.022;8.000;4.2;23.8
0.030;7.989;5.3;23.8
0.037;7.977;6.5;23.8
0.045;7.967;7.6;23.8
0.053;7.954;8.7;23.8
0.060;7.939;9.9;23.8
0.068;7.921;11.0;23.8
0.075;7.904;12.2;23.8
0.083;7.884;13.3;23.8
0.091;7.834;14.4;23.8
0.098;7.813;15.6;23.8
0.106;7.793;16.7;23.8
0.113;7.769;17.9;23.8
0.121;7.739;19.0;23.8
0.129;7.712;20.2;23.8
0.136;7.685;21.3;23.8
0.144;7.659;22.4;23.8
0.151;7.624;23.6;23.8
0.159;7.595;24.7;23.8
0.167;7.565;25.9;23.8
0.174;7.523;27.0;23.8
0.182;7.487;28.1;23.8
0.190;7.454;29.3;23.8
0.197;7.419;30.4;23.8
0.205;7.383;31.6;23.8
0.212;7.349;32.7;23.8
0.220;7.320;33.8;23.8
0.228;7.292;35.0;23.8
0.235;7.262;36.1;23.8
0.243;7.237;37.3;23.8
0.250;7.210;38.4;23.8
0.258;7.189;39.5;23.8
0.266;7.170;40.7;23.8
0.273;7.145;41.8;23.8
0.281;7.126;43.0;23.8
0.288;7.097;44.1;23.8
0.296;7.075;45.2;23.8
0.304;7.054;46.4;23.8
0.311;7.037;47.5;23.8
0.319;7.017;48.7;23.8
0.327;7.001;49.8;23.8
0.334;6.980;50.9;23.8
0.342;6.957;52.1;23.8
0.349;6.892;53.2;23.8
0.357;6.860;54.4;23.8
0.365;6.844;55.5;23.8
0.372;6.829;56.6;23.8
0.380;6.811;57.8;23.8
0.387;6.800;58.9;23.8
0.395;6.786;60.1;23.8
0.403;6.774;61.2;23.8
0.410;6.751;62.4;23.8
0.418;6.738;63.5;23.8
0.425;6.727;64.6;23.8
0.433;6.713;65.8;23.8
0.441;6.699;66.9;23.8
0.448;6.683;68.1;23.8
0.456;6.671;69.2;23.8
0.464;6.658;70.3;23.8
0.471;6.644;71.5;23.8
0.479;6.627;72.6;23.8
0.486;6.605;73.8;23.8
0.494;6.589;74.9;23.8
0.502;6.566;76.0;23.8
0.509;6.551;77.2;23.8
0.517;6.518;78.3;23.8
0.524;6.505;79.5;23.8
0.532;6.472;80.6;23.8
0.540;6.456;81.7;23.8
0.547;6.448;82.9;23.8
0.555;6.435;84.0;23.8
0.562;6.423;85.2;23.8
0.570;6.400;86.3;23.8
0.578;6.390;87.4;23.8
0.585;6.368;88.6;23.8
0.593;6.349;89.7;23.8
0.600;6.327;90.9;23.8
0.608;6.302;92.0;23.8
0.616;6.276;93.1;23.8
0.623;6.264;94.3;23.8
0.631;6.249;95.4;23.8
0.639;6.219;96.6;23.8
0.646;6.210;97.7;23.8
0.654;6.102;98.9;23.8
0.661;6.067;100.0;23.8
0.669;6.075;101.1;23.8
0.677;6.078;102.3;23.8
0.684;6.072;103.4;23.8
0.692;6.070;104.6;23.8
0.699;6.060;105.7;23.8
0.707;6.051;106.8;23.8
0.715;6.046;108.0;23.8
0.722;6.037;109.1;23.8
0.730;5.998;110.3;23.8
0.737;5.988;111.4;23.8
0.745;5.952;112.5;23.8
0.753;5.918;113.7;23.8
0.760;5.874;114.8;23.8
0.768;5.877;116.0;23.8
0.776;5.876;117.1;23.8
0.783;5.874;118.2;23.8
0.791;5.859;119.4;23.8
0.798;5.809;120.5;23.8
0.806;5.619;121.7;23.8
0.814;5.538;122.8;23.8
0.821;5.541;124.0;23.8
0.829;5.564;125.1;23.8
0.836;5.581;126.2;23.8
0.844;5.547;127.4;23.8
0.852;5.552;128.5;23.8
0.859;5.563;129.7;23.8
0.867;5.563;130.8;23.8
0.874;5.564;131.9;23.8
0.882;5.532;133.1;23.8
0.890;5.536;134.2;23.8
0.897;5.525;135.4;23.8
0.905;5.520;136.5;23.8
0.913;5.506;137.6;23.8
0.920;5.450;138.8;23.8
0.928;5.419;139.9;23.8
0.935;5.376;141.1;23.8
0.943;5.378;142.2;23.8
0.951;5.377;143.3;23.8
0.958;5.336;144.5;23.8
0.966;5.332;145.6;23.8
0.973;5.304;146.8;23.8
0.981;5.296;147.9;23.8
0.989;5.286;149.0;23.8
0.996;5.254;150.2;23.8
1.004;5.216;151.3;23.8
1.011;5.116;152.5;23.8
1.019;5.109;153.6;23.8
1.027;5.110;154.7;23.8
1.034;5.100;155.9;23.8
1.042;5.064;157.0;23.8
1.050;5.005;158.2;23.8
1.057;4.968;159.3;23.8
1.065;4.952;160.4;23.8
1.070;4.922;161.2;23.8
1.080;4.719;182.9;24.0
1.090;4.644;194.5;24.0
1.100;4.560;206.1;23.9
1.110;4.475;217.6;23.9
1.120;4.383;229.2;24.0
1.130;4.296;240.8;23.9
1.140;4.214;252.4;23.9
1.150;4.140;264.0;23.9
1.160;4.071;275.6;24.0
1.170;4.012;287.2;24.0
1.180;3.956;298.8;24.0
1.190;3.909;310.4;24.0
1.200;3.862;322.0;24.0
1.210;3.822;333.6;24.0
1.220;3.784;345.2;24.0
1.230;3.750;356.8;24.0
1.240;3.718;368.3;24.0
1.250;3.690;379.9;24.0
1.260;3.662;391.5;24.0
1.270;3.637;403.1;24.0
1.280;3.613;414.7;24.0
1.290;3.589;426.3;24.0
1.300;3.566;437.9;24.0
1.310;3.545;449.5;24.1
1.320;3.522;461.1;24.0
1.330;3.502;472.7;24.1
1.340;3.481;484.3;24.1
1.340;3.481;494.3;24.1
