ml;pH;sec;°C
0.000;7.969;0.0;22.7
0.000;7.969;0.4;22.7
0.000;7.969;0.8;22.7
0.007;7.969;1.9;22.7
0.015;7.969;3.0;22.7
0.022;7.964;4.2;22.7
0.030;7.953;5.3;22.7
0.038;7.941;6.5;22.7
0.045;7.923;7.6;22.7
0.053;7.893;8.7;22.7
0.060;7.877;9.9;22.7
0.068;7.859;11.0;22.7
0.076;7.840;12.2;22.7
0.083;7.820;13.3;22.7
0.091;7.800;14.5;22.7
0.098;7.777;15.6;22.7
0.106;7.752;16.7;22.7
0.114;7.726;17.9;22.7
0.121;7.697;19.0;22.7
0.129;7.668;20.2;22.7
0.136;7.636;21.3;22.7
0.144;7.602;22.4;22.7
0.152;7.569;23.6;22.7
0.159;7.535;24.7;22.7
0.167;7.501;25.9;22.7
0.175;7.467;27.0;22.7
0.182;7.433;28.1;22.7
0.190;7.400;29.3;22.7
0.197;7.368;30.4;22.7
0.205;7.331;31.6;22.7
0.213;7.303;32.7;22.7
0.220;7.269;33.8;22.7
0.228;7.244;35.0;22.7
0.235;7.218;36.1;22.7
0.243;7.188;37.3;22.7
0.251;7.167;38.4;22.7
0.258;7.147;39.5;22.7
0.266;7.123;40.7;22.7
0.273;7.102;41.8;22.7
0.281;7.084;43.0;22.7
0.289;7.067;44.1;22.7
0.296;7.048;45.3;22.7
0.304;7.027;46.4;22.7
0.312;7.010;47.5;22.7
0.319;6.992;48.7;22.7
0.327;6.975;49.8;22.7
0.334;6.958;51.0;22.7
0.342;6.938;52.1;22.7
0.350;6.918;53.2;22.7
0.357;6.901;54.4;22.7
0.365;6.876;55.5;22.7
0.372;6.855;56.7;22.7
0.380;6.840;57.8;22.7
0.388;6.825;58.9;22.7
0.395;6.810;60.1;22.7
0.403;6.791;61.2;22.7
0.410;6.769;62.4;22.7
0.418;6.753;63.5;22.7
0.426;6.739;64.6;22.7
0.433;6.726;65.8;22.7
0.441;6.713;66.9;22.7
0.449;6.688;68.1;22.7
0.456;6.672;69.2;22.7
0.464;6.658;70.3;22.7
0.471;6.645;71.5;22.7
0.479;6.629;72.6;22.7
0.487;6.615;73.8;22.7
0.494;6.602;74.9;22.7
0.502;6.588;76.1;22.7
0.509;6.575;77.2;22.7
0.517;6.547;78.3;22.7
0.525;6.523;79.5;22.7
0.532;6.510;80.6;22.7
0.540;6.492;81.8;22.7
0.548;6.478;82.9;22.7
0.555;6.434;84.0;22.7
0.563;6.415;85.2;22.7
0.570;6.402;86.3;22.7
0.578;6.390;87.5;22.7
0.586;6.378;88.6;22.7
0.593;6.362;89.8;22.7
0.601;6.350;90.9;22.7
0.608;6.332;92.0;22.7
0.616;6.318;93.2;22.7
0.624;6.304;94.3;22.7
0.631;6.292;95.5;22.7
0.639;6.273;96.6;22.7
0.646;6.250;97.7;22.7
0.654;6.238;98.9;22.7
0.662;6.199;100.0;22.7
0.669;6.162;101.2;22.7
0.677;6.150;102.3;22.7
0.685;6.138;103.4;22.7
0.692;6.124;104.6;22.7
0.700;6.033;105.7;22.7
0.707;6.024;106.9;22.7
0.715;6.017;108.0;22.7
0.723;6.007;109.1;22.7
0.730;5.999;110.3;22.7
0.738;5.987;111.4;22.7
0.745;5.974;112.6;22.7
0.753;5.963;113.7;22.7
0.761;5.950;114.8;22.7
0.768;5.938;116.0;22.7
0.776;5.916;117.1;22.7
0.783;5.903;118.3;22.7
0.791;5.860;119.4;22.7
0.799;5.838;120.5;22.7
0.806;5.825;121.7;22.7
0.814;5.810;122.8;22.7
0.821;5.795;124.0;22.7
0.829;5.774;125.1;22.7
0.837;5.726;126.2;22.7
0.844;5.713;127.4;22.7
0.852;5.691;128.5;22.7
0.860;5.672;129.7;22.7
0.867;5.649;130.8;22.7
0.875;5.623;132.0;22.7
0.882;5.610;133.1;22.7
0.890;5.591;134.2;22.7
0.898;5.568;135.4;22.7
0.905;5.552;136.5;22.7
0.913;5.531;137.7;22.7
0.920;5.508;138.8;22.7
0.928;5.479;139.9;22.7
0.936;5.458;141.1;22.7
0.943;5.397;142.2;22.7
0.951;5.372;143.4;22.7
0.958;5.347;144.5;22.7
0.966;5.324;145.6;22.7
0.974;5.296;146.8;22.7
0.981;5.253;147.9;22.7
0.989;5.220;149.1;22.7
0.997;5.185;150.2;22.7
1.004;5.133;151.3;22.7
1.012;5.098;152.5;22.7
1.019;5.053;153.6;22.7
1.027;4.952;154.8;22.7
1.029;4.938;155.1;22.7
1.039;4.673;176.8;22.8
1.049;4.602;188.4;22.9
1.059;4.513;200.0;22.9
1.069;4.438;211.6;22.9
1.079;4.347;223.2;22.9
1.089;4.275;234.8;22.9
1.099;4.190;246.4;22.9
1.109;4.127;258.0;22.9
1.119;4.052;269.5;22.9
1.129;3.996;281.1;22.9
1.139;3.936;292.7;22.9
1.149;3.892;304.3;22.9
1.159;3.842;315.9;22.9
1.169;3.805;327.5;22.9
1.179;3.763;339.1;23.0
1.189;3.733;350.7;22.9
1.199;3.696;362.3;23.0
1.209;3.669;373.9;23.0
1.219;3.638;385.5;23.0
1.229;3.615;397.1;23.0
1.239;3.588;408.6;23.0
1.249;3.568;420.2;23.0
1.259;3.544;431.8;23.0
1.269;3.526;443.4;23.0
1.279;3.505;455.0;23.0
1.289;3.488;466.6;23.0
1.289;3.488;476.7;23.0
