ml;pH;sec;°C
0.000;7.988;0.0;23.0
0.000;7.988;0.4;23.0
0.000;7.988;0.8;23.0
0.007;7.989;1.9;23.0
0.015;7.989;3.0;23.0
0.022;7.986;4.2;23.0
0.030;7.980;5.3;23.0
0.037;7.970;6.5;23.0
0.045;7.958;7.6;23.0
0.053;7.944;8.7;23.0
0.060;7.929;9.9;23.0
0.068;7.913;11.0;23.0
0.076;7.896;12.2;23.0
0.083;7.877;13.3;23.0
0.091;7.856;14.5;23.0
0.098;7.835;15.6;23.0
0.106;7.812;16.7;23.0
0.114;7.788;17.9;23.0
0.121;7.764;19.0;23.0
0.129;7.738;20.2;23.0
0.136;7.711;21.3;23.0
0.144;7.682;22.4;23.0
0.152;7.652;23.6;23.0
0.159;7.622;24.7;23.0
0.167;7.591;25.9;23.0
0.175;7.558;27.0;23.0
0.182;7.526;28.1;23.0
0.190;7.493;29.3;23.0
0.197;7.461;30.4;23.0
0.205;7.429;31.6;23.0
0.213;7.398;32.7;23.0
0.220;7.368;33.8;23.0
0.228;7.338;35.0;23.0
0.235;7.311;36.1;23.0
0.243;7.285;37.3;23.0
0.251;7.260;38.4;23.0
0.258;7.237;39.6;23.0
0.266;7.214;40.7;23.0
0.273;7.192;41.8;23.0
0.281;7.172;43.0;23.0
0.289;7.151;44.1;23.0
0.296;7.131;45.3;23.0
0.304;7.111;46.4;23.0
0.312;7.092;47.5;23.0
0.319;7.073;48.7;23.0
0.327;7.055;49.8;23.0
0.334;7.037;51.0;23.0
0.342;7.019;52.1;23.0
0.350;7.002;53.2;23.0
0.357;6.985;54.4;23.0
0.365;6.968;55.5;23.0
0.372;6.952;56.7;23.0
0.380;6.935;57.8;23.0
0.388;6.919;58.9;23.0
0.395;6.902;60.1;23.0
0.403;6.882;61.2;23.0
0.410;6.866;62.4;23.0
0.418;6.851;63.5;23.0
0.426;6.835;64.7;23.0
0.433;6.819;65.8;23.0
0.441;6.803;66.9;23.0
0.449;6.788;68.1;23.0
0.456;6.773;69.2;23.0
0.464;6.758;70.4;23.0
0.471;6.742;71.5;23.0
0.479;6.727;72.6;23.0
0.487;6.712;73.8;23.0
0.494;6.697;74.9;23.0
0.502;6.682;76.1;23.0
0.509;6.668;77.2;23.0
0.517;6.652;78.3;23.0
0.525;6.638;79.5;23.0
0.532;6.623;80.6;23.0
0.540;6.607;81.8;23.0
0.547;6.592;82.9;23.0
0.555;6.577;84.0;23.0
0.563;6.562;85.2;23.0
0.570;6.547;86.3;23.0
0.578;6.532;87.5;23.0
0.586;6.516;88.6;23.0
0.593;6.501;89.7;23.0
0.601;6.486;90.9;23.0
0.608;6.471;92.0;23.0
0.616;6.455;93.2;23.0
0.624;6.439;94.3;23.0
0.631;6.424;95.5;23.0
0.639;6.408;96.6;23.0
0.646;6.392;97.7;23.0
0.654;6.376;98.9;23.0
0.662;6.360;100.0;23.0
0.669;6.345;101.2;23.0
0.677;6.329;102.3;23.0
0.684;6.313;103.4;23.0
0.692;6.297;104.6;23.0
0.700;6.280;105.7;23.0
0.707;6.264;106.9;23.0
0.715;6.248;108.0;23.0
0.723;6.230;109.1;23.0
0.730;6.214;110.3;23.0
0.738;6.197;111.4;23.0
0.745;6.179;112.6;23.0
0.753;6.162;113.7;23.0
0.761;6.145;114.8;23.0
0.768;6.127;116.0;23.0
0.776;6.109;117.1;23.0
0.783;6.091;118.3;23.0
0.791;6.072;119.4;23.0
0.799;6.053;120.5;23.0
0.806;6.034;121.7;23.0
0.814;6.014;122.8;23.0
0.821;5.995;124.0;23.0
0.829;5.975;125.1;23.0
0.837;5.955;126.3;23.0
0.844;5.936;127.4;23.0
0.852;5.916;128.5;23.0
0.860;5.895;129.7;23.0
0.867;5.874;130.8;23.0
0.875;5.853;132.0;23.0
0.882;5.832;133.1;23.0
0.890;5.812;134.2;23.0
0.898;5.790;135.4;23.0
0.905;5.768;136.5;23.0
0.913;5.745;137.7;23.0
0.920;5.722;138.8;23.0
0.928;5.698;139.9;23.0
0.936;5.674;141.1;23.0
0.943;5.648;142.2;23.0
0.951;5.622;143.4;23.0
0.958;5.594;144.5;23.0
0.966;5.567;145.6;23.0
0.974;5.538;146.8;23.0
0.981;5.509;147.9;23.0
0.989;5.478;149.1;23.0
0.997;5.446;150.2;23.0
1.004;5.413;151.3;23.0
1.012;5.379;152.5;23.0
1.019;5.343;153.6;23.0
1.027;5.305;154.8;23.0
1.035;5.267;155.9;23.0
1.042;5.225;157.1;23.0
1.050;5.178;158.2;23.0
1.057;5.130;159.3;23.0
1.065;5.080;160.5;23.0
1.073;5.021;161.6;23.0
1.080;4.968;162.8;23.0
1.085;4.928;163.5;23.0
1.095;4.559;185.2;23.3
1.105;4.477;196.8;23.2
1.115;4.380;208.4;23.2
1.125;4.302;220.0;23.3
1.135;4.210;231.6;23.3
1.145;4.142;243.1;23.3
1.155;4.067;254.7;23.3
1.165;4.014;266.3;23.3
1.175;3.951;277.9;23.3
1.185;3.907;289.5;23.3
1.195;3.857;301.1;23.4
1.205;3.820;312.7;23.3
1.215;3.777;324.3;23.3
1.225;3.746;335.9;23.3
1.235;3.712;347.5;23.4
1.245;3.685;359.1;23.3
1.255;3.655;370.7;23.4
1.265;3.632;382.3;23.4
1.275;3.606;393.9;23.4
1.285;3.585;405.5;23.4
1.295;3.560;417.1;23.4
1.305;3.540;428.6;23.4
1.315;3.517;440.2;23.4
1.325;3.498;451.8;23.4
1.335;3.476;463.4;23.4
1.335;3.475;473.5;23.4
