ml;pH;sec;°C
0.000;8.008;0.0;23.6
0.000;8.008;0.4;23.6
0.000;8.008;0.8;23.6
0.007;8.008;1.9;23.6
0.015;8.007;3.0;23.6
0.022;8.003;4.2;23.6
0.030;7.996;5.3;23.6
0.037;7.986;6.5;23.6
0.045;7.975;7.6;23.6
0.053;7.962;8.7;23.6
0.060;7.947;9.9;23.6
0.068;7.931;11.0;23.6
0.076;7.914;12.2;23.6
0.083;7.894;13.3;23.6
0.091;7.875;14.5;23.6
0.098;7.853;15.6;23.6
0.106;7.830;16.7;23.6
0.114;7.806;17.9;23.6
0.121;7.781;19.0;23.6
0.129;7.755;20.2;23.6
0.136;7.727;21.3;23.6
0.144;7.698;22.4;23.6
0.152;7.669;23.6;23.6
0.159;7.638;24.7;23.6
0.167;7.606;25.9;23.6
0.174;7.573;27.0;23.6
0.182;7.539;28.1;23.6
0.190;7.506;29.3;23.6
0.197;7.474;30.4;23.6
0.205;7.441;31.6;23.6
0.212;7.409;32.7;23.6
0.220;7.378;33.8;23.6
0.228;7.349;35.0;23.6
0.235;7.322;36.1;23.6
0.243;7.295;37.3;23.6
0.251;7.271;38.4;23.6
0.258;7.246;39.5;23.6
0.266;7.224;40.7;23.6
0.273;7.202;41.8;23.6
0.281;7.180;43.0;23.6
0.289;7.159;44.1;23.6
0.296;7.139;45.2;23.6
0.304;7.120;46.4;23.6
0.311;7.101;47.5;23.6
0.319;7.082;48.7;23.6
0.327;7.064;49.8;23.6
0.334;7.046;50.9;23.6
0.342;7.028;52.1;23.6
0.349;7.010;53.2;23.6
0.357;6.994;54.4;23.6
0.365;6.977;55.5;23.6
0.372;6.960;56.7;23.6
0.380;6.943;57.8;23.6
0.388;6.927;58.9;23.6
0.395;6.911;60.1;23.6
0.403;6.895;61.2;23.6
0.410;6.880;62.4;23.6
0.418;6.864;63.5;23.6
0.426;6.848;64.6;23.6
0.433;6.832;65.8;23.6
0.441;6.817;66.9;23.6
0.448;6.801;68.1;23.6
0.456;6.786;69.2;23.6
0.464;6.771;70.3;23.6
0.471;6.755;71.5;23.6
0.479;6.738;72.6;23.6
0.486;6.724;73.8;23.6
0.494;6.708;74.9;23.6
0.502;6.694;76.0;23.6
0.509;6.678;77.2;23.6
0.517;6.663;78.3;23.6
0.524;6.648;79.5;23.6
0.532;6.633;80.6;23.6
0.540;6.618;81.7;23.6
0.547;6.603;82.9;23.6
0.555;6.588;84.0;23.6
0.563;6.574;85.2;23.6
0.570;6.557;86.3;23.6
0.578;6.542;87.4;23.6
0.585;6.526;88.6;23.6
0.593;6.511;89.7;23.6
0.601;6.496;90.9;23.6
0.608;6.481;92.0;23.6
0.616;6.465;93.1;23.6
0.623;6.450;94.3;23.6
0.631;6.434;95.4;23.6
0.639;6.408;96.6;23.6
0.646;6.393;97.7;23.6
0.654;6.378;98.9;23.6
0.661;6.362;100.0;23.6
0.669;6.345;101.1;23.6
0.677;6.330;102.3;23.6
0.684;6.314;103.4;23.6
0.692;6.299;104.6;23.6
0.700;6.283;105.7;23.6
0.707;6.267;106.8;23.6
0.715;6.251;108.0;23.6
0.722;6.235;109.1;23.6
0.730;6.218;110.3;23.6
0.738;6.202;111.4;23.6
0.745;6.185;112.5;23.6
0.753;6.168;113.7;23.6
0.760;6.151;114.8;23.6
0.768;6.134;116.0;23.6
0.776;6.113;117.1;23.6
0.783;6.095;118.2;23.6
0.791;6.077;119.4;23.6
0.798;6.059;120.5;23.6
0.806;6.040;121.7;23.6
0.814;6.017;122.8;23.6
0.821;5.994;123.9;23.6
0.829;5.976;125.1;23.6
0.837;5.956;126.2;23.6
0.844;5.937;127.4;23.6
0.852;5.917;128.5;23.6
0.859;5.897;129.7;23.6
0.867;5.874;130.8;23.6
0.875;5.855;131.9;23.6
0.882;5.835;133.1;23.6
0.890;5.815;134.2;23.6
0.897;5.794;135.4;23.6
0.905;5.773;136.5;23.6
0.913;5.752;137.6;23.6
0.920;5.730;138.8;23.6
0.928;5.708;139.9;23.6
0.935;5.684;141.1;23.6
0.943;5.660;142.2;23.6
0.951;5.636;143.3;23.6
0.958;5.610;144.5;23.6
0.966;5.584;145.6;23.6
0.973;5.558;146.8;23.6
0.981;5.530;147.9;23.6
0.989;5.500;149.0;23.6
0.996;5.470;150.2;23.6
1.004;5.439;151.3;23.6
1.012;5.407;152.5;23.6
1.019;5.372;153.6;23.6
1.027;5.336;154.7;23.6
1.034;5.300;155.9;23.6
1.042;5.263;157.0;23.6
1.050;5.220;158.2;23.6
1.057;5.178;159.3;23.6
1.065;5.131;160.4;23.6
1.072;5.079;161.6;23.6
1.080;5.027;162.7;23.6
1.088;4.973;163.9;23.6
1.092;4.934;164.6;23.6
1.102;4.598;186.3;23.7
1.112;4.499;197.9;23.7
1.122;4.417;209.5;23.7
1.132;4.318;221.1;23.7
1.142;4.244;232.7;23.7
1.152;4.158;244.2;23.8
1.162;4.096;255.8;23.7
1.172;4.027;267.4;23.8
1.182;3.977;279.0;23.8
1.192;3.920;290.6;23.8
1.202;3.878;302.2;23.8
1.212;3.831;313.8;23.8
1.222;3.797;325.4;23.8
1.232;3.758;337.0;23.8
1.242;3.729;348.6;23.8
1.252;3.697;360.2;23.8
1.262;3.672;371.8;23.8
1.272;3.643;383.4;23.8
1.282;3.621;394.9;23.9
1.292;3.595;406.5;23.8
1.302;3.574;418.1;23.8
1.312;3.549;429.7;23.8
1.322;3.529;441.3;23.9
1.332;3.506;452.9;23.9
1.342;3.487;464.5;23.8
1.342;3.487;474.6;23.8
