ml;pH;sec;°C
0.000;8.027;0.0;23.1
0.000;8.027;0.4;23.1
0.000;8.027;0.8;23.1
0.007;8.027;1.9;23.1
0.015;8.027;3.0;23.1
0.022;8.021;4.2;23.1
0.030;8.012;5.3;23.1
0.037;8.001;6.5;23.1
0.045;7.988;7.6;23.1
0.053;7.973;8.7;23.1
0.060;7.955;9.9;23.1
0.068;7.937;11.0;23.1
0.076;7.917;12.2;23.1
0.083;7.895;13.3;23.1
0.091;7.873;14.4;23.1
0.098;7.849;15.6;23.1
0.106;7.824;16.7;23.1
0.114;7.796;17.9;23.1
0.121;7.768;19.0;23.1
0.129;7.740;20.2;23.1
0.136;7.709;21.3;23.1
0.144;7.677;22.4;23.1
0.152;7.644;23.6;23.1
0.159;7.609;24.7;23.1
0.167;7.573;25.9;23.1
0.174;7.539;27.0;23.1
0.182;7.504;28.1;23.1
0.190;7.470;29.3;23.1
0.197;7.439;30.4;23.1
0.205;7.408;31.6;23.1
0.212;7.379;32.7;23.1
0.220;7.351;33.8;23.1
0.228;7.325;35.0;23.1
0.235;7.300;36.1;23.1
0.243;7.276;37.3;23.1
0.251;7.253;38.4;23.1
0.258;7.231;39.5;23.1
0.266;7.210;40.7;23.1
0.273;7.190;41.8;23.1
0.281;7.170;43.0;23.1
0.289;7.151;44.1;23.1
0.296;7.132;45.2;23.1
0.304;7.113;46.4;23.1
0.311;7.095;47.5;23.1
0.319;7.077;48.7;23.1
0.327;7.060;49.8;23.1
0.334;7.042;51.0;23.1
0.342;7.026;52.1;23.1
0.350;7.009;53.2;23.1
0.357;6.993;54.4;23.1
0.365;6.976;55.5;23.1
0.372;6.960;56.7;23.1
0.380;6.944;57.8;23.1
0.388;6.928;58.9;23.1
0.395;6.912;60.1;23.1
0.403;6.897;61.2;23.1
0.410;6.882;62.4;23.1
0.418;6.865;63.5;23.1
0.426;6.851;64.6;23.1
0.433;6.835;65.8;23.1
0.441;6.820;66.9;23.1
0.448;6.805;68.1;23.1
0.456;6.790;69.2;23.1
0.464;6.775;70.3;23.1
0.471;6.760;71.5;23.1
0.479;6.746;72.6;23.1
0.487;6.728;73.8;23.1
0.494;6.713;74.9;23.1
0.502;6.699;76.0;23.1
0.509;6.685;77.2;23.1
0.517;6.670;78.3;23.1
0.525;6.655;79.5;23.1
0.532;6.641;80.6;23.1
0.540;6.627;81.8;23.1
0.547;6.612;82.9;23.1
0.555;6.598;84.0;23.1
0.563;6.583;85.2;23.1
0.570;6.568;86.3;23.1
0.578;6.553;87.5;23.1
0.585;6.539;88.6;23.1
0.593;6.524;89.7;23.1
0.601;6.509;90.9;23.1
0.608;6.494;92.0;23.1
0.616;6.479;93.2;23.1
0.624;6.464;94.3;23.1
0.631;6.448;95.4;23.1
0.639;6.433;96.6;23.1
0.646;6.418;97.7;23.1
0.654;6.403;98.9;23.1
0.662;6.388;100.0;23.1
0.669;6.372;101.1;23.1
0.677;6.357;102.3;23.1
0.684;6.341;103.4;23.1
0.692;6.325;104.6;23.1
0.700;6.309;105.7;23.1
0.707;6.293;106.8;23.1
0.715;6.277;108.0;23.1
0.722;6.261;109.1;23.1
0.730;6.244;110.3;23.1
0.738;6.228;111.4;23.1
0.745;6.212;112.6;23.1
0.753;6.194;113.7;23.1
0.761;6.176;114.8;23.1
0.768;6.154;116.0;23.1
0.776;6.136;117.1;23.1
0.783;6.118;118.3;23.1
0.791;6.100;119.4;23.1
0.799;6.083;120.5;23.1
0.806;6.065;121.7;23.1
0.814;6.046;122.8;23.1
0.821;6.028;124.0;23.1
0.829;6.009;125.1;23.1
0.837;5.991;126.3;23.1
0.844;5.970;127.4;23.1
0.852;5.951;128.5;23.1
0.860;5.932;129.7;23.1
0.867;5.910;130.8;23.1
0.875;5.890;132.0;23.1
0.882;5.870;133.1;23.1
0.890;5.850;134.2;23.1
0.898;5.829;135.4;23.1
0.905;5.809;136.5;23.1
0.913;5.787;137.7;23.1
0.920;5.766;138.8;23.1
0.928;5.742;139.9;23.1
0.936;5.715;141.1;23.1
0.943;5.692;142.2;23.1
0.951;5.669;143.4;23.1
0.958;5.631;144.5;23.1
0.966;5.606;145.6;23.1
0.974;5.580;146.8;23.1
0.981;5.549;147.9;23.1
0.989;5.523;149.1;23.1
0.997;5.495;150.2;23.1
1.004;5.466;151.3;23.1
1.012;5.434;152.5;23.1
1.019;5.402;153.6;23.1
1.027;5.368;154.8;23.1
1.035;5.332;155.9;23.1
1.042;5.290;157.1;23.1
1.050;5.253;158.2;23.1
1.057;5.212;159.3;23.1
1.065;5.167;160.5;23.1
1.073;5.122;161.6;23.1
1.080;5.076;162.8;23.1
1.088;5.029;163.9;23.1
1.095;4.971;165.0;23.1
1.100;4.930;165.8;23.1
1.110;4.597;187.5;23.3
1.120;4.504;199.1;23.3
1.130;4.414;210.7;23.3
1.140;4.323;222.3;23.3
1.150;4.244;233.9;23.3
1.160;4.165;245.5;23.3
1.170;4.097;257.1;23.3
1.180;4.033;268.7;23.3
1.190;3.980;280.3;23.3
1.200;3.927;291.9;23.3
1.210;3.883;303.5;23.4
1.220;3.840;315.1;23.3
1.230;3.803;326.7;23.3
1.240;3.768;338.3;23.4
1.250;3.737;349.9;23.3
1.260;3.707;361.5;23.4
1.270;3.680;373.1;23.4
1.280;3.653;384.7;23.4
1.290;3.629;396.3;23.4
1.300;3.604;407.8;23.4
1.310;3.581;419.4;23.4
1.320;3.557;431.0;23.4
1.330;3.535;442.6;23.4
1.340;3.514;454.2;23.4
1.350;3.495;465.8;23.4
1.350;3.494;475.9;23.4
