ml;pH;sec;°C
0.000;7.975;0.0;23.3
0.000;7.975;0.4;23.3
0.000;7.975;0.8;23.3
0.007;7.975;1.9;23.3
0.015;7.975;3.0;23.3
0.022;7.972;4.2;23.3
0.030;7.966;5.3;23.3
0.037;7.957;6.5;23.3
0.045;7.947;7.6;23.3
0.053;7.934;8.7;23.3
0.060;7.920;9.9;23.3
0.068;7.904;11.0;23.3
0.076;7.886;12.2;23.3
0.083;7.867;13.3;23.3
0.091;7.847;14.5;23.3
0.098;7.826;15.6;23.3
0.106;7.804;16.7;23.3
0.114;7.782;17.9;23.3
0.121;7.758;19.0;23.3
0.129;7.732;20.2;23.3
0.136;7.705;21.3;23.3
0.144;7.676;22.4;23.3
0.152;7.646;23.6;23.3
0.159;7.615;24.7;23.3
0.167;7.583;25.9;23.3
0.175;7.550;27.0;23.3
0.182;7.517;28.1;23.3
0.190;7.485;29.3;23.3
0.197;7.452;30.4;23.3
0.205;7.420;31.6;23.3
0.213;7.389;32.7;23.3
0.220;7.358;33.9;23.3
0.228;7.329;35.0;23.3
0.235;7.302;36.1;23.3
0.243;7.276;37.3;23.3
0.251;7.251;38.4;23.3
0.258;7.226;39.6;23.3
0.266;7.203;40.7;23.3
0.274;7.180;41.8;23.3
0.281;7.159;43.0;23.3
0.289;7.139;44.1;23.3
0.296;7.118;45.3;23.3
0.304;7.098;46.4;23.3
0.312;7.079;47.5;23.3
0.319;7.060;48.7;23.3
0.327;7.042;49.8;23.3
0.334;7.025;51.0;23.3
0.342;7.007;52.1;23.3
0.350;6.989;53.2;23.3
0.357;6.971;54.4;23.3
0.365;6.954;55.5;23.3
0.372;6.938;56.7;23.3
0.380;6.921;57.8;23.3
0.388;6.904;59.0;23.3
0.395;6.888;60.1;23.3
0.403;6.872;61.2;23.3
0.411;6.857;62.4;23.3
0.418;6.841;63.5;23.3
0.426;6.825;64.7;23.3
0.433;6.809;65.8;23.3
0.441;6.794;66.9;23.3
0.449;6.779;68.1;23.3
0.456;6.764;69.2;23.3
0.464;6.749;70.4;23.3
0.471;6.734;71.5;23.3
0.479;6.719;72.6;23.3
0.487;6.704;73.8;23.3
0.494;6.689;74.9;23.3
0.502;6.674;76.1;23.3
0.509;6.660;77.2;23.3
0.517;6.645;78.3;23.3
0.525;6.630;79.5;23.3
0.532;6.615;80.6;23.3
0.540;6.601;81.8;23.3
0.548;6.586;82.9;23.3
0.555;6.571;84.1;23.3
0.563;6.556;85.2;23.3
0.570;6.541;86.3;23.3
0.578;6.526;87.5;23.3
0.586;6.511;88.6;23.3
0.593;6.495;89.8;23.3
0.601;6.480;90.9;23.3
0.608;6.465;92.0;23.3
0.616;6.450;93.2;23.3
0.624;6.434;94.3;23.3
0.631;6.419;95.5;23.3
0.639;6.403;96.6;23.3
0.646;6.388;97.7;23.3
0.654;6.371;98.9;23.3
0.662;6.355;100.0;23.3
0.669;6.339;101.2;23.3
0.677;6.323;102.3;23.3
0.685;6.307;103.4;23.3
0.692;6.291;104.6;23.3
0.700;6.275;105.7;23.3
0.707;6.258;106.9;23.3
0.715;6.242;108.0;23.3
0.723;6.225;109.1;23.3
0.730;6.208;110.3;23.3
0.738;6.192;111.4;23.3
0.745;6.175;112.6;23.3
0.753;6.157;113.7;23.3
0.761;6.139;114.9;23.3
0.768;6.122;116.0;23.3
0.776;6.103;117.1;23.3
0.783;6.085;118.3;23.3
0.791;6.067;119.4;23.3
0.799;6.048;120.6;23.3
0.806;6.029;121.7;23.3
0.814;6.009;122.8;23.3
0.822;5.990;124.0;23.3
0.829;5.970;125.1;23.3
0.837;5.947;126.3;23.3
0.844;5.927;127.4;23.3
0.852;5.907;128.5;23.3
0.860;5.887;129.7;23.3
0.867;5.866;130.8;23.3
0.875;5.845;132.0;23.3
0.882;5.822;133.1;23.3
0.890;5.798;134.2;23.3
0.898;5.778;135.4;23.3
0.905;5.756;136.5;23.3
0.913;5.732;137.7;23.3
0.920;5.709;138.8;23.3
0.928;5.686;140.0;23.3
0.936;5.662;141.1;23.3
0.943;5.638;142.2;23.3
0.951;5.611;143.4;23.3
0.959;5.583;144.5;23.3
0.966;5.556;145.7;23.3
0.974;5.525;146.8;23.3
0.981;5.497;147.9;23.3
0.989;5.467;149.1;23.3
0.997;5.437;150.2;23.3
1.004;5.404;151.4;23.3
1.012;5.371;152.5;23.3
1.019;5.336;153.6;23.3
1.027;5.299;154.8;23.3
1.035;5.260;155.9;23.3
1.042;5.220;157.1;23.3
1.050;5.179;158.2;23.3
1.057;5.134;159.3;23.3
1.065;5.087;160.5;23.3
1.073;5.038;161.6;23.3
1.080;4.983;162.8;23.3
1.088;4.926;163.9;23.3
1.098;4.582;185.6;23.5
1.108;4.493;197.2;23.5
1.118;4.406;208.8;23.5
1.128;4.315;220.4;23.5
1.138;4.233;232.0;23.5
1.148;4.155;243.6;23.5
1.158;4.088;255.2;23.5
1.168;4.023;266.7;23.5
1.178;3.968;278.3;23.5
1.188;3.917;289.9;23.5
1.198;3.873;301.5;23.5
1.208;3.829;313.1;23.6
1.218;3.791;324.7;23.6
1.228;3.755;336.3;23.5
1.238;3.724;347.9;23.6
1.248;3.694;359.5;23.6
1.258;3.666;371.1;23.6
1.268;3.640;382.7;23.6
1.278;3.617;394.3;23.6
1.288;3.592;405.9;23.6
1.298;3.570;417.5;23.6
1.308;3.547;429.1;23.6
1.318;3.525;440.7;23.6
1.328;3.503;452.3;23.6
1.338;3.483;463.9;23.6
1.338;3.483;473.9;23.6
