ml;pH;sec;°C
0.000;8.155;0.0;23.5
0.000;8.155;0.4;23.5
0.000;8.155;0.8;23.5
0.007;8.155;1.9;23.5
0.015;8.154;3.0;23.5
0.022;8.151;4.2;23.5
0.030;8.145;5.3;23.5
0.038;8.137;6.5;23.5
0.045;8.127;7.6;23.5
0.053;8.116;8.8;23.5
0.060;8.104;9.9;23.5
0.068;8.091;11.0;23.5
0.076;8.078;12.2;23.5
0.083;8.063;13.3;23.5
0.091;8.047;14.5;23.5
0.098;8.027;15.6;23.5
0.106;8.010;16.7;23.5
0.114;7.992;17.9;23.5
0.121;7.973;19.0;23.5
0.129;7.952;20.2;23.5
0.137;7.929;21.3;23.5
0.144;7.906;22.4;23.5
0.152;7.882;23.6;23.5
0.159;7.857;24.7;23.5
0.167;7.829;25.9;23.5
0.175;7.801;27.0;23.5
0.182;7.773;28.1;23.5
0.190;7.744;29.3;23.5
0.197;7.713;30.4;23.5
0.205;7.681;31.6;23.5
0.213;7.648;32.7;23.5
0.220;7.613;33.8;23.5
0.228;7.579;35.0;23.5
0.235;7.543;36.1;23.5
0.243;7.507;37.3;23.5
0.251;7.469;38.4;23.5
0.258;7.435;39.5;23.5
0.266;7.400;40.7;23.5
0.273;7.367;41.8;23.5
0.281;7.336;43.0;23.5
0.289;7.306;44.1;23.5
0.296;7.278;45.3;23.5
0.304;7.252;46.4;23.5
0.312;7.227;47.5;23.5
0.319;7.202;48.7;23.5
0.327;7.178;49.8;23.5
0.334;7.154;51.0;23.5
0.342;7.132;52.1;23.5
0.350;7.110;53.2;23.5
0.357;7.088;54.4;23.5
0.365;7.067;55.5;23.5
0.372;7.047;56.7;23.5
0.380;7.027;57.8;23.5
0.388;7.008;58.9;23.5
0.395;6.989;60.1;23.5
0.403;6.967;61.2;23.5
0.410;6.948;62.4;23.5
0.418;6.929;63.5;23.5
0.426;6.910;64.6;23.5
0.433;6.892;65.8;23.5
0.441;6.875;66.9;23.5
0.449;6.857;68.1;23.5
0.456;6.840;69.2;23.5
0.464;6.823;70.3;23.5
0.471;6.806;71.5;23.5
0.479;6.789;72.6;23.5
0.487;6.773;73.8;23.5
0.494;6.755;74.9;23.5
0.502;6.739;76.0;23.5
0.509;6.723;77.2;23.5
0.517;6.706;78.3;23.5
0.525;6.690;79.5;23.5
0.532;6.674;80.6;23.5
0.540;6.657;81.8;23.5
0.547;6.641;82.9;23.5
0.555;6.624;84.0;23.5
0.563;6.607;85.2;23.5
0.570;6.590;86.3;23.5
0.578;6.573;87.5;23.5
0.585;6.556;88.6;23.5
0.593;6.537;89.7;23.5
0.601;6.521;90.9;23.5
0.608;6.504;92.0;23.5
0.616;6.487;93.2;23.5
0.624;6.470;94.3;23.5
0.631;6.453;95.4;23.5
0.639;6.436;96.6;23.5
0.646;6.419;97.7;23.5
0.654;6.402;98.9;23.5
0.662;6.385;100.0;23.5
0.669;6.368;101.1;23.5
0.677;6.351;102.3;23.5
0.684;6.334;103.4;23.5
0.692;6.317;104.6;23.5
0.700;6.300;105.7;23.5
0.707;6.282;106.8;23.5
0.715;6.263;108.0;23.5
0.722;6.244;109.1;23.5
0.730;6.226;110.3;23.5
0.738;6.207;111.4;23.5
0.745;6.189;112.5;23.5
0.753;6.169;113.7;23.5
0.761;6.150;114.8;23.5
0.768;6.130;116.0;23.5
0.776;6.111;117.1;23.5
0.783;6.091;118.3;23.5
0.791;6.069;119.4;23.5
0.799;6.049;120.5;23.5
0.806;6.029;121.7;23.5
0.814;6.008;122.8;23.5
0.821;5.988;124.0;23.5
0.829;5.966;125.1;23.5
0.837;5.945;126.2;23.5
0.844;5.923;127.4;23.5
0.852;5.901;128.5;23.5
0.859;5.878;129.7;23.5
0.867;5.856;130.8;23.5
0.875;5.832;131.9;23.5
0.882;5.809;133.1;23.5
0.890;5.784;134.2;23.5
0.898;5.762;135.4;23.5
0.905;5.739;136.5;23.5
0.913;5.714;137.6;23.5
0.920;5.690;138.8;23.5
0.928;5.659;139.9;23.5
0.936;5.631;141.1;23.5
0.943;5.603;142.2;23.5
0.951;5.575;143.4;23.5
0.958;5.544;144.5;23.5
0.966;5.510;145.6;23.5
0.974;5.480;146.8;23.5
0.981;5.447;147.9;23.5
0.989;5.411;149.1;23.5
0.997;5.378;150.2;23.5
1.004;5.341;151.3;23.5
1.012;5.301;152.5;23.5
1.019;5.251;153.6;23.5
1.027;5.207;154.8;23.5
1.035;5.153;155.9;23.5
1.042;5.109;157.0;23.5
1.050;5.062;158.2;23.5
1.057;5.013;159.3;23.5
1.065;4.957;160.5;23.5
1.069;4.929;161.0;23.5
1.079;4.592;182.7;23.7
1.089;4.501;194.3;23.7
1.099;4.414;205.9;23.7
1.109;4.325;217.5;23.7
1.119;4.242;229.1;23.7
1.129;4.160;240.7;23.7
1.139;4.090;252.3;23.7
1.149;4.025;263.9;23.7
1.159;3.970;275.5;23.7
1.169;3.916;287.1;23.7
1.179;3.871;298.7;23.7
1.189;3.828;310.3;23.7
1.199;3.790;321.9;23.7
1.209;3.752;333.5;23.7
1.219;3.720;345.1;23.7
1.229;3.689;356.7;23.7
1.239;3.662;368.3;23.7
1.249;3.635;379.9;23.7
1.259;3.611;391.5;23.7
1.269;3.587;403.1;23.7
1.279;3.566;414.7;23.8
1.289;3.544;426.3;23.8
1.299;3.524;437.9;23.8
1.309;3.503;449.5;23.8
1.319;3.484;461.1;23.7
1.319;3.484;471.2;23.7
