ml;pH;sec;°C
0.000;7.957;0.0;23.4
0.000;7.957;0.4;23.4
0.000;7.957;0.8;23.4
0.007;7.957;1.9;23.4
0.015;7.956;3.0;23.4
0.022;7.951;4.2;23.4
0.030;7.943;5.3;23.4
0.037;7.933;6.5;23.4
0.045;7.920;7.6;23.4
0.053;7.906;8.7;23.4
0.060;7.890;9.9;23.4
0.068;7.874;11.0;23.4
0.075;7.856;12.2;23.4
0.083;7.837;13.3;23.4
0.091;7.816;14.5;23.4
0.098;7.794;15.6;23.4
0.106;7.769;16.7;23.4
0.114;7.746;17.9;23.4
0.121;7.719;19.0;23.4
0.129;7.693;20.2;23.4
0.136;7.663;21.3;23.4
0.144;7.634;22.4;23.4
0.152;7.605;23.6;23.4
0.159;7.574;24.7;23.4
0.167;7.543;25.9;23.4
0.174;7.510;27.0;23.4
0.182;7.478;28.1;23.4
0.190;7.447;29.3;23.4
0.197;7.416;30.4;23.4
0.205;7.386;31.6;23.4
0.212;7.356;32.7;23.4
0.220;7.328;33.8;23.4
0.228;7.302;35.0;23.4
0.235;7.276;36.1;23.4
0.243;7.252;37.3;23.4
0.251;7.229;38.4;23.4
0.258;7.207;39.5;23.4
0.266;7.185;40.7;23.4
0.273;7.164;41.8;23.4
0.281;7.144;43.0;23.4
0.289;7.123;44.1;23.4
0.296;7.104;45.3;23.4
0.304;7.085;46.4;23.4
0.311;7.067;47.5;23.4
0.319;7.049;48.7;23.4
0.327;7.031;49.8;23.4
0.334;7.012;51.0;23.4
0.342;6.995;52.1;23.4
0.349;6.978;53.2;23.4
0.357;6.961;54.4;23.4
0.365;6.944;55.5;23.4
0.372;6.926;56.7;23.4
0.380;6.910;57.8;23.4
0.387;6.894;58.9;23.4
0.395;6.878;60.1;23.4
0.403;6.863;61.2;23.4
0.410;6.847;62.4;23.4
0.418;6.831;63.5;23.4
0.426;6.814;64.6;23.4
0.433;6.798;65.8;23.4
0.441;6.783;66.9;23.4
0.448;6.767;68.1;23.4
0.456;6.752;69.2;23.4
0.464;6.737;70.3;23.4
0.471;6.722;71.5;23.4
0.479;6.707;72.6;23.4
0.486;6.693;73.8;23.4
0.494;6.678;74.9;23.4
0.502;6.663;76.0;23.4
0.509;6.649;77.2;23.4
0.517;6.634;78.3;23.4
0.524;6.619;79.5;23.4
0.532;6.604;80.6;23.4
0.540;6.588;81.8;23.4
0.547;6.572;82.9;23.4
0.555;6.556;84.0;23.4
0.563;6.540;85.2;23.4
0.570;6.525;86.3;23.4
0.578;6.511;87.5;23.4
0.585;6.496;88.6;23.4
0.593;6.481;89.7;23.4
0.601;6.466;90.9;23.4
0.608;6.450;92.0;23.4
0.616;6.435;93.2;23.4
0.623;6.420;94.3;23.4
0.631;6.404;95.4;23.4
0.639;6.388;96.6;23.4
0.646;6.371;97.7;23.4
0.654;6.356;98.9;23.4
0.661;6.340;100.0;23.4
0.669;6.324;101.1;23.4
0.677;6.304;102.3;23.4
0.684;6.289;103.4;23.4
0.692;6.273;104.6;23.4
0.700;6.257;105.7;23.4
0.707;6.241;106.8;23.4
0.715;6.225;108.0;23.4
0.722;6.209;109.1;23.4
0.730;6.193;110.3;23.4
0.738;6.175;111.4;23.4
0.745;6.148;112.5;23.4
0.753;6.131;113.7;23.4
0.760;6.115;114.8;23.4
0.768;6.096;116.0;23.4
0.776;6.079;117.1;23.4
0.783;6.062;118.3;23.4
0.791;6.044;119.4;23.4
0.798;6.025;120.5;23.4
0.806;6.008;121.7;23.4
0.814;5.987;122.8;23.4
0.821;5.969;124.0;23.4
0.829;5.950;125.1;23.4
0.836;5.932;126.2;23.4
0.844;5.913;127.4;23.4
0.852;5.894;128.5;23.4
0.859;5.874;129.7;23.4
0.867;5.854;130.8;23.4
0.875;5.810;131.9;23.4
0.882;5.791;133.1;23.4
0.890;5.773;134.2;23.4
0.897;5.754;135.4;23.4
0.905;5.732;136.5;23.4
0.913;5.712;137.6;23.4
0.920;5.691;138.8;23.4
0.928;5.667;139.9;23.4
0.935;5.643;141.1;23.4
0.943;5.617;142.2;23.4
0.951;5.593;143.3;23.4
0.958;5.567;144.5;23.4
0.966;5.536;145.6;23.4
0.973;5.508;146.8;23.4
0.981;5.481;147.9;23.4
0.989;5.453;149.0;23.4
0.996;5.424;150.2;23.4
1.004;5.390;151.3;23.4
1.012;5.359;152.5;23.4
1.019;5.325;153.6;23.4
1.027;5.289;154.8;23.4
1.034;5.253;155.9;23.4
1.042;5.216;157.0;23.4
1.050;5.176;158.2;23.4
1.057;5.131;159.3;23.4
1.065;5.076;160.5;23.4
1.072;5.027;161.6;23.4
1.080;4.977;162.7;23.4
1.086;4.930;163.7;23.4
1.096;4.617;185.3;23.6
1.106;4.537;196.9;23.6
1.116;4.441;208.5;23.6
1.126;4.362;220.1;23.6
1.136;4.265;231.7;23.6
1.146;4.193;243.3;23.6
1.156;4.114;254.9;23.6
1.166;4.056;266.5;23.6
1.176;3.991;278.1;23.6
1.186;3.944;289.7;23.6
1.196;3.891;301.3;23.6
1.206;3.852;312.9;23.6
1.216;3.807;324.5;23.6
1.226;3.774;336.1;23.7
1.236;3.738;347.6;23.6
1.246;3.711;359.2;23.7
1.256;3.679;370.8;23.7
1.266;3.655;382.4;23.7
1.276;3.628;394.0;23.7
1.286;3.607;405.6;23.7
1.296;3.581;417.2;23.7
1.306;3.560;428.8;23.7
1.316;3.536;440.4;23.7
1.326;3.516;452.0;23.7
1.336;3.493;463.6;23.7
1.336;3.493;473.6;23.7
