ml;pH;sec;°C
0.000;8.034;0.0;22.9
0.000;8.034;0.4;22.9
0.000;8.034;0.8;22.9
0.007;8.034;1.9;22.9
0.015;8.034;3.0;22.9
0.022;8.033;4.2;22.9
0.030;8.028;5.3;22.9
0.037;8.020;6.5;22.9
0.045;8.011;7.6;22.9
0.053;8.000;8.7;22.9
0.060;7.987;9.9;22.9
0.068;7.974;11.0;22.9
0.075;7.960;12.2;22.9
0.083;7.944;13.3;22.9
0.091;7.927;14.4;22.9
0.098;7.909;15.6;22.9
0.106;7.891;16.7;22.9
0.114;7.871;17.9;22.9
0.121;7.849;19.0;22.9
0.129;7.827;20.2;22.9
0.136;7.803;21.3;22.9
0.144;7.779;22.4;22.9
0.152;7.753;23.6;22.9
0.159;7.727;24.7;22.9
0.167;7.700;25.9;22.9
0.174;7.672;27.0;22.9
0.182;7.643;28.1;22.9
0.190;7.612;29.3;22.9
0.197;7.580;30.4;22.9
0.205;7.548;31.6;22.9
0.212;7.516;32.7;22.9
0.220;7.483;33.8;22.9
0.228;7.451;35.0;22.9
0.235;7.421;36.1;22.9
0.243;7.391;37.3;22.9
0.250;7.362;38.4;22.9
0.258;7.335;39.5;22.9
0.266;7.308;40.7;22.9
0.273;7.283;41.8;22.9
0.281;7.259;43.0;22.9
0.289;7.235;44.1;22.9
0.296;7.211;45.2;22.9
0.304;7.190;46.4;22.9
0.311;7.168;47.5;22.9
0.319;7.147;48.7;22.9
0.327;7.127;49.8;22.9
0.334;7.108;51.0;22.9
0.342;7.088;52.1;22.9
0.349;7.069;53.2;22.9
0.357;7.050;54.4;22.9
0.365;7.032;55.5;22.9
0.372;7.014;56.7;22.9
0.380;6.996;57.8;22.9
0.387;6.979;58.9;22.9
0.395;6.961;60.1;22.9
0.403;6.945;61.2;22.9
0.410;6.927;62.4;22.9
0.418;6.911;63.5;22.9
0.426;6.894;64.6;22.9
0.433;6.878;65.8;22.9
0.441;6.862;66.9;22.9
0.448;6.846;68.1;22.9
0.456;6.830;69.2;22.9
0.464;6.814;70.3;22.9
0.471;6.798;71.5;22.9
0.479;6.783;72.6;22.9
0.486;6.767;73.8;22.9
0.494;6.751;74.9;22.9
0.502;6.736;76.0;22.9
0.509;6.721;77.2;22.9
0.517;6.706;78.3;22.9
0.524;6.690;79.5;22.9
0.532;6.675;80.6;22.9
0.540;6.659;81.7;22.9
0.547;6.644;82.9;22.9
0.555;6.628;84.0;22.9
0.563;6.613;85.2;22.9
0.570;6.597;86.3;22.9
0.578;6.582;87.5;22.9
0.585;6.567;88.6;22.9
0.593;6.551;89.7;22.9
0.601;6.535;90.9;22.9
0.608;6.519;92.0;22.9
0.616;6.503;93.2;22.9
0.623;6.487;94.3;22.9
0.631;6.471;95.4;22.9
0.639;6.455;96.6;22.9
0.646;6.440;97.7;22.9
0.654;6.424;98.9;22.9
0.661;6.407;100.0;22.9
0.669;6.391;101.1;22.9
0.677;6.375;102.3;22.9
0.684;6.359;103.4;22.9
0.692;6.341;104.6;22.9
0.699;6.325;105.7;22.9
0.707;6.308;106.8;22.9
0.715;6.292;108.0;22.9
0.722;6.275;109.1;22.9
0.730;6.258;110.3;22.9
0.738;6.240;111.4;22.9
0.745;6.222;112.5;22.9
0.753;6.204;113.7;22.9
0.760;6.186;114.8;22.9
0.768;6.168;116.0;22.9
0.776;6.150;117.1;22.9
0.783;6.131;118.2;22.9
0.791;6.113;119.4;22.9
0.798;6.094;120.5;22.9
0.806;6.075;121.7;22.9
0.814;6.056;122.8;22.9
0.821;6.037;123.9;22.9
0.829;6.018;125.1;22.9
0.836;5.998;126.2;22.9
0.844;5.978;127.4;22.9
0.852;5.958;128.5;22.9
0.859;5.939;129.7;22.9
0.867;5.918;130.8;22.9
0.875;5.898;131.9;22.9
0.882;5.877;133.1;22.9
0.890;5.856;134.2;22.9
0.897;5.835;135.4;22.9
0.905;5.813;136.5;22.9
0.913;5.792;137.6;22.9
0.920;5.770;138.8;22.9
0.928;5.747;139.9;22.9
0.935;5.722;141.1;22.9
0.943;5.696;142.2;22.9
0.951;5.671;143.3;22.9
0.958;5.644;144.5;22.9
0.966;5.618;145.6;22.9
0.973;5.591;146.8;22.9
0.981;5.563;147.9;22.9
0.989;5.535;149.0;22.9
0.996;5.505;150.2;22.9
1.004;5.473;151.3;22.9
1.011;5.441;152.5;22.9
1.019;5.408;153.6;22.9
1.027;5.374;154.7;22.9
1.034;5.338;155.9;22.9
1.042;5.302;157.0;22.9
1.050;5.262;158.2;22.9
1.057;5.222;159.3;22.9
1.065;5.181;160.4;22.9
1.072;5.135;161.6;22.9
1.080;5.088;162.7;22.9
1.088;5.041;163.9;22.9
1.095;4.988;165.0;22.9
1.103;4.927;166.1;22.9
1.113;4.562;187.8;23.1
1.123;4.476;199.4;23.1
1.133;4.374;211.0;23.1
1.143;4.296;222.6;23.1
1.153;4.205;234.2;23.1
1.163;4.138;245.8;23.2
1.173;4.066;257.4;23.1
1.183;4.013;269.0;23.1
1.193;3.952;280.6;23.2
1.203;3.908;292.1;23.2
1.213;3.859;303.7;23.2
1.223;3.822;315.3;23.2
1.233;3.782;326.9;23.2
1.243;3.752;338.5;23.2
1.253;3.717;350.1;23.2
1.263;3.690;361.7;23.2
1.273;3.660;373.3;23.2
1.283;3.637;384.9;23.2
1.293;3.610;396.5;23.3
1.303;3.589;408.1;23.2
1.313;3.563;419.7;23.2
1.323;3.542;431.3;23.3
1.333;3.518;442.8;23.3
1.343;3.499;454.4;23.3
1.353;3.478;466.0;23.3
1.353;3.477;476.1;23.3
