ml;pH;sec;°C
0.000;8.000;0.0;22.8
0.000;8.000;0.4;22.8
0.000;8.000;0.8;22.8
0.007;8.000;1.9;22.8
0.015;7.993;3.0;22.8
0.022;7.984;4.2;22.8
0.030;7.958;5.3;22.8
0.038;7.943;6.5;22.8
0.045;7.933;7.6;22.8
0.053;7.925;8.7;22.8
0.060;7.910;9.9;22.8
0.068;7.883;11.0;22.8
0.076;7.855;12.2;22.8
0.083;7.838;13.3;22.8
0.091;7.822;14.4;22.8
0.098;7.801;15.6;22.8
0.106;7.771;16.7;22.8
0.114;7.750;17.9;22.8
0.121;7.716;19.0;22.8
0.129;7.676;20.2;22.8
0.136;7.640;21.3;22.8
0.144;7.606;22.4;22.8
0.152;7.575;23.6;22.8
0.159;7.547;24.7;22.8
0.167;7.513;25.9;22.8
0.175;7.483;27.0;22.8
0.182;7.443;28.1;22.8
0.190;7.363;29.3;22.8
0.197;7.328;30.4;22.8
0.205;7.234;31.6;22.8
0.213;7.209;32.7;22.8
0.220;7.168;33.8;22.8
0.228;7.145;35.0;22.8
0.235;7.094;36.1;22.8
0.243;6.964;37.3;22.8
0.251;6.949;38.4;22.8
0.258;6.918;39.5;22.8
0.266;6.850;40.7;22.8
0.273;6.838;41.8;22.8
0.281;6.833;43.0;22.8
0.289;6.828;44.1;22.8
0.296;6.821;45.3;22.8
0.304;6.791;46.4;22.8
0.312;6.776;47.5;22.8
0.319;6.766;48.7;22.8
0.327;6.756;49.8;22.8
0.334;6.732;51.0;22.8
0.342;6.704;52.1;22.8
0.350;6.696;53.2;22.8
0.357;6.687;54.4;22.8
0.365;6.668;55.5;22.8
0.372;6.654;56.7;22.8
0.380;6.639;57.8;22.8
0.388;6.625;58.9;22.8
0.395;6.597;60.1;22.8
0.403;6.587;61.2;22.8
0.410;6.578;62.4;22.8
0.418;6.571;63.5;22.8
0.426;6.561;64.6;22.8
0.433;6.549;65.8;22.8
0.441;6.539;66.9;22.8
0.448;6.526;68.1;22.8
0.456;6.517;69.2;22.8
0.464;6.506;70.3;22.8
0.471;6.497;71.5;22.8
0.479;6.489;72.6;22.8
0.487;6.479;73.8;22.8
0.494;6.469;74.9;22.8
0.502;6.456;76.0;22.8
0.509;6.447;77.2;22.8
0.517;6.435;78.3;22.8
0.525;6.418;79.5;22.8
0.532;6.408;80.6;22.8
0.540;6.391;81.7;22.8
0.547;6.376;82.9;22.8
0.555;6.361;84.0;22.8
0.563;6.341;85.2;22.8
0.570;6.326;86.3;22.8
0.578;6.312;87.4;22.8
0.585;6.296;88.6;22.8
0.593;6.283;89.7;22.8
0.601;6.268;90.9;22.8
0.608;6.251;92.0;22.8
0.616;6.239;93.2;22.8
0.624;6.214;94.3;22.8
0.631;6.203;95.4;22.8
0.639;6.175;96.6;22.8
0.646;6.165;97.7;22.8
0.654;6.156;98.9;22.8
0.662;6.146;100.0;22.8
0.669;6.124;101.1;22.8
0.677;6.109;102.3;22.8
0.684;6.094;103.4;22.8
0.692;6.079;104.6;22.8
0.700;6.063;105.7;22.8
0.707;6.050;106.8;22.8
0.715;6.037;108.0;22.8
0.722;6.024;109.1;22.8
0.730;6.010;110.3;22.8
0.738;5.994;111.4;22.8
0.745;5.958;112.5;22.8
0.753;5.941;113.7;22.8
0.760;5.899;114.8;22.8
0.768;5.873;116.0;22.8
0.776;5.845;117.1;22.8
0.783;5.830;118.2;22.8
0.791;5.812;119.4;22.8
0.799;5.800;120.5;22.8
0.806;5.778;121.7;22.8
0.814;5.750;122.8;22.8
0.821;5.735;123.9;22.8
0.829;5.719;125.1;22.8
0.837;5.696;126.2;22.8
0.844;5.679;127.4;22.8
0.852;5.651;128.5;22.8
0.859;5.618;129.7;22.8
0.867;5.586;130.8;22.8
0.875;5.565;131.9;22.8
0.882;5.544;133.1;22.8
0.890;5.522;134.2;22.8
0.897;5.502;135.4;22.8
0.905;5.478;136.5;22.8
0.913;5.460;137.6;22.8
0.920;5.434;138.8;22.8
0.928;5.401;139.9;22.8
0.936;5.379;141.1;22.8
0.943;5.353;142.2;22.8
0.951;5.332;143.3;22.8
0.958;5.287;144.5;22.8
0.966;5.251;145.6;22.8
0.974;5.212;146.8;22.8
0.981;5.156;147.9;22.8
0.989;5.118;149.0;22.8
0.996;5.091;150.2;22.8
1.004;5.020;151.3;22.8
1.012;4.988;152.5;22.8
1.019;4.923;153.6;22.8
1.029;4.773;175.3;22.9
1.039;4.690;186.9;22.9
1.049;4.620;198.5;22.9
1.059;4.530;210.0;22.9
1.069;4.455;221.6;22.9
1.079;4.363;233.2;23.0
1.089;4.289;244.8;22.9
1.099;4.203;256.4;23.0
1.109;4.139;268.0;23.0
1.119;4.063;279.6;23.0
1.129;4.006;291.2;23.0
1.139;3.945;302.8;23.0
1.149;3.900;314.4;23.0
1.159;3.850;326.0;23.0
1.169;3.811;337.6;23.0
1.179;3.769;349.2;23.0
1.189;3.738;360.7;23.0
1.199;3.702;372.3;23.0
1.209;3.674;383.9;23.0
1.219;3.643;395.5;23.0
1.229;3.619;407.1;23.0
1.239;3.593;418.7;23.1
1.249;3.572;430.3;23.1
1.259;3.549;441.9;23.1
1.269;3.531;453.5;23.1
1.279;3.509;465.1;23.1
1.289;3.492;476.7;23.1
1.289;3.491;486.7;23.1
