ml;pH;sec;°C
0.000;7.991;0.0;22.3
0.000;7.991;0.4;22.3
0.000;7.991;0.8;22.3
0.007;7.992;1.9;22.3
0.015;7.988;3.0;22.3
0.022;7.983;4.2;22.3
0.030;7.973;5.3;22.3
0.038;7.962;6.5;22.3
0.045;7.946;7.6;22.3
0.053;7.930;8.7;22.3
0.060;7.913;9.9;22.3
0.068;7.891;11.0;22.3
0.076;7.871;12.2;22.3
0.083;7.852;13.3;22.3
0.091;7.833;14.5;22.3
0.098;7.808;15.6;22.3
0.106;7.784;16.7;22.3
0.114;7.753;17.9;22.3
0.121;7.722;19.0;22.3
0.129;7.695;20.2;22.3
0.136;7.660;21.3;22.3
0.144;7.631;22.4;22.3
0.152;7.595;23.6;22.3
0.159;7.562;24.7;22.3
0.167;7.530;25.9;22.3
0.175;7.495;27.0;22.3
0.182;7.450;28.1;22.3
0.190;7.411;29.3;22.3
0.197;7.366;30.4;22.3
0.205;7.335;31.6;22.3
0.213;7.300;32.7;22.3
0.220;7.260;33.9;22.3
0.228;7.236;35.0;22.3
0.235;7.209;36.1;22.3
0.243;7.181;37.3;22.3
0.251;7.162;38.4;22.3
0.258;7.141;39.6;22.3
0.266;7.116;40.7;22.3
0.274;7.096;41.8;22.3
0.281;7.069;43.0;22.3
0.289;7.051;44.1;22.3
0.296;7.023;45.3;22.3
0.304;7.002;46.4;22.3
0.312;6.983;47.5;22.3
0.319;6.966;48.7;22.3
0.327;6.943;49.8;22.3
0.334;6.928;51.0;22.3
0.342;6.890;52.1;22.3
0.350;6.872;53.2;22.3
0.357;6.854;54.4;22.3
0.365;6.825;55.5;22.3
0.372;6.806;56.7;22.3
0.380;6.771;57.8;22.3
0.388;6.760;59.0;22.3
0.395;6.743;60.1;22.3
0.403;6.731;61.2;22.3
0.411;6.716;62.4;22.3
0.418;6.695;63.5;22.3
0.426;6.678;64.7;22.3
0.433;6.662;65.8;22.3
0.441;6.637;66.9;22.3
0.449;6.621;68.1;22.3
0.456;6.606;69.2;22.3
0.464;6.592;70.4;22.3
0.471;6.576;71.5;22.3
0.479;6.563;72.6;22.3
0.487;6.549;73.8;22.3
0.494;6.535;74.9;22.3
0.502;6.525;76.1;22.3
0.510;6.514;77.2;22.3
0.517;6.452;78.3;22.3
0.525;6.428;79.5;22.3
0.532;6.412;80.6;22.3
0.540;6.398;81.8;22.3
0.548;6.386;82.9;22.3
0.555;6.374;84.1;22.3
0.563;6.355;85.2;22.3
0.570;6.341;86.3;22.3
0.578;6.324;87.5;22.3
0.586;6.315;88.6;22.3
0.593;6.297;89.8;22.3
0.601;6.274;90.9;22.3
0.608;6.257;92.0;22.3
0.616;6.235;93.2;22.3
0.624;6.214;94.3;22.3
0.631;6.201;95.5;22.3
0.639;6.193;96.6;22.3
0.647;6.182;97.7;22.3
0.654;6.171;98.9;22.3
0.662;6.140;100.0;22.3
0.669;6.098;101.2;22.3
0.677;6.081;102.3;22.3
0.685;6.070;103.4;22.3
0.692;6.053;104.6;22.3
0.700;6.042;105.7;22.3
0.707;6.021;106.9;22.3
0.715;6.005;108.0;22.3
0.723;5.989;109.2;22.3
0.730;5.963;110.3;22.3
0.738;5.917;111.4;22.3
0.745;5.910;112.6;22.3
0.753;5.892;113.7;22.3
0.761;5.876;114.9;22.3
0.768;5.861;116.0;22.3
0.776;5.850;117.1;22.3
0.784;5.806;118.3;22.3
0.791;5.798;119.4;22.3
0.799;5.759;120.6;22.3
0.806;5.669;121.7;22.3
0.814;5.672;122.8;22.3
0.822;5.671;124.0;22.3
0.829;5.666;125.1;22.3
0.837;5.643;126.3;22.3
0.844;5.605;127.4;22.3
0.852;5.595;128.5;22.3
0.860;5.593;129.7;22.3
0.867;5.580;130.8;22.3
0.875;5.527;132.0;22.3
0.882;5.496;133.1;22.3
0.890;5.481;134.2;22.3
0.898;5.461;135.4;22.3
0.905;5.452;136.5;22.3
0.913;5.403;137.7;22.3
0.921;5.372;138.8;22.3
0.928;5.348;140.0;22.3
0.936;5.309;141.1;22.3
0.943;5.297;142.2;22.3
0.951;5.269;143.4;22.3
0.959;5.247;144.5;22.3
0.966;5.230;145.7;22.3
0.974;5.203;146.8;22.3
0.981;5.155;147.9;22.3
0.989;5.135;149.1;22.3
0.997;5.103;150.2;22.3
1.004;5.066;151.4;22.3
1.012;5.025;152.5;22.3
1.019;4.987;153.6;22.3
1.027;4.937;154.8;22.3
1.037;4.696;176.5;22.4
1.047;4.608;188.1;22.5
1.057;4.533;199.7;22.5
1.067;4.440;211.3;22.5
1.077;4.367;222.8;22.5
1.087;4.276;234.4;22.5
1.097;4.204;246.0;22.5
1.107;4.126;257.6;22.5
1.117;4.065;269.2;22.5
1.127;3.996;280.8;22.5
1.137;3.945;292.4;22.5
1.147;3.890;304.0;22.5
1.157;3.850;315.6;22.5
1.167;3.803;327.2;22.5
1.177;3.769;338.8;22.6
1.187;3.730;350.4;22.5
1.197;3.701;362.0;22.5
1.207;3.667;373.6;22.5
1.217;3.641;385.2;22.5
1.227;3.612;396.8;22.6
1.237;3.590;408.4;22.5
1.247;3.565;420.0;22.6
1.257;3.546;431.6;22.6
1.267;3.524;443.2;22.6
1.277;3.506;454.8;22.6
1.287;3.486;466.4;22.6
1.287;3.485;476.4;22.6
